date,open,high,low,close
2023-06-01 09:15:00,48.8,50.0,48.7,49.65
2023-06-01 10:15:00,49.7,50.5,49.55,50.45
2023-06-01 11:15:00,50.5,51.5,50.3,50.55
2023-06-01 12:15:00,50.55,51.5,50.55,50.65
2023-06-01 13:15:00,50.65,50.9,49.8,49.9
2023-06-01 14:15:00,49.85,50.3,49.75,49.85
2023-06-01 15:15:00,49.85,50.15,49.55,50.15
2023-06-02 09:15:00,50.3,51.3,50.2,50.5
2023-06-02 10:15:00,50.55,51.4,50.4,51.0
2023-06-02 11:15:00,51.0,52.0,50.95,51.4
2023-06-02 12:15:00,51.35,52.5,51.15,52.0
2023-06-02 13:15:00,52.0,52.1,51.7,51.8
2023-06-02 14:15:00,51.9,52.5,51.8,52.15
2023-06-02 15:15:00,52.15,52.95,52.1,52.95
2023-06-05 09:15:00,53.5,53.5,51.95,52.65
2023-06-05 10:15:00,52.6,53.4,52.4,53.15
2023-06-05 11:15:00,53.2,53.2,53.0,53.2
2023-06-05 12:15:00,53.1,53.45,52.8,52.85
2023-06-05 13:15:00,52.85,53.0,51.95,52.25
2023-06-05 14:15:00,52.25,52.4,50.6,50.75
2023-06-05 15:15:00,50.75,50.75,48.05,49.3
2023-06-06 09:15:00,49.3,50.9,49.3,49.95
2023-06-06 10:15:00,49.9,50.2,49.2,49.3
2023-06-06 11:15:00,49.25,49.5,48.7,48.8
2023-06-06 12:15:00,48.8,49.1,47.5,48.15
2023-06-06 13:15:00,48.15,48.45,48.1,48.3
2023-06-06 14:15:00,48.25,48.5,48.05,48.2
2023-06-06 15:15:00,48.15,48.2,47.55,47.9
2023-06-07 09:15:00,48.6,49.5,47.85,49.5
2023-06-07 10:15:00,49.5,50.9,49.4,50.25
2023-06-07 11:15:00,50.25,53.5,50.15,53.1
2023-06-07 12:15:00,53.1,54.75,52.85,53.35
2023-06-07 13:15:00,53.45,53.65,51.4,51.45
2023-06-07 14:15:00,51.4,51.8,50.6,51.45
2023-06-07 15:15:00,51.45,51.6,50.9,51.35
2023-06-08 09:15:00,53.1,54.6,52.05,52.2
2023-06-08 10:15:00,52.25,52.6,51.7,52.0
2023-06-08 11:15:00,52.05,52.1,50.4,51.5
2023-06-08 12:15:00,51.5,51.7,50.7,50.8
2023-06-08 13:15:00,50.85,52.0,50.8,51.15
2023-06-08 14:15:00,51.15,51.55,50.75,51.1
2023-06-08 15:15:00,51.05,51.5,50.8,51.5
2023-06-09 09:15:00,51.65,52.15,50.55,50.9
2023-06-09 10:15:00,50.9,51.25,50.1,50.3
2023-06-09 11:15:00,50.3,50.45,50.1,50.1
2023-06-09 12:15:00,50.2,50.25,49.65,49.95
2023-06-09 13:15:00,50.0,50.05,49.35,49.65
2023-06-09 14:15:00,49.7,50.4,49.5,49.85
2023-06-09 15:15:00,49.85,50.95,49.85,50.95
2023-06-12 09:15:00,50.85,53.3,50.7,51.85
2023-06-12 10:15:00,51.85,52.1,51.8,51.95
2023-06-12 11:15:00,51.9,52.1,51.7,51.95
2023-06-12 12:15:00,51.95,52.0,51.6,51.8
2023-06-12 13:15:00,51.7,51.95,51.45,51.85
2023-06-12 14:15:00,51.95,52.1,51.4,51.9
2023-06-12 15:15:00,51.95,52.0,51.75,52.0
2023-06-13 09:15:00,52.25,54.35,52.0,53.8
2023-06-13 10:15:00,53.8,54.6,53.6,54.3
2023-06-13 11:15:00,54.3,54.55,54.0,54.3
2023-06-13 12:15:00,54.3,54.6,54.1,54.4
2023-06-13 13:15:00,54.35,54.45,53.7,53.8
2023-06-13 14:15:00,53.8,56.0,53.7,55.7
2023-06-13 15:15:00,55.75,56.25,55.6,56.0
2023-06-14 09:15:00,56.35,56.4,54.6,55.15
2023-06-14 10:15:00,55.1,55.8,54.9,55.5
2023-06-14 11:15:00,55.6,55.7,55.2,55.3
2023-06-14 12:15:00,55.3,55.45,55.0,55.45
2023-06-14 13:15:00,55.35,55.35,54.7,55.15
2023-06-14 14:15:00,55.2,55.55,55.0,55.5
2023-06-14 15:15:00,55.55,55.6,55.0,55.25
2023-06-15 09:15:00,55.3,56.4,54.7,56.2
2023-06-15 10:15:00,56.15,56.7,55.7,56.15
2023-06-15 11:15:00,56.15,56.35,55.3,56.25
2023-06-15 12:15:00,56.2,56.3,55.7,55.85
2023-06-15 13:15:00,55.85,56.15,55.6,56.0
2023-06-15 14:15:00,55.9,55.95,55.3,55.5
2023-06-15 15:15:00,55.5,55.7,55.25,55.35
2023-06-16 09:15:00,55.6,55.9,54.85,55.45
2023-06-16 10:15:00,55.45,56.05,54.6,55.15
2023-06-16 11:15:00,55.1,55.55,55.05,55.3
2023-06-16 12:15:00,55.3,55.45,54.9,54.95
2023-06-16 13:15:00,54.95,55.4,54.9,55.35
2023-06-16 14:15:00,55.35,56.6,55.3,55.8
2023-06-16 15:15:00,55.8,55.8,55.4,55.55
2023-06-19 09:15:00,56.1,58.65,56.1,57.9
2023-06-19 10:15:00,57.9,58.15,57.5,57.7
2023-06-19 11:15:00,57.7,57.75,57.3,57.4
2023-06-19 12:15:00,57.4,57.8,57.35,57.35
2023-06-19 13:15:00,57.35,57.45,56.75,56.75
2023-06-19 14:15:00,56.8,57.45,56.75,56.9
2023-06-19 15:15:00,56.95,57.15,56.65,56.85
2023-06-20 09:15:00,57.1,57.65,56.0,56.4
2023-06-20 10:15:00,56.4,56.9,56.1,56.3
2023-06-20 11:15:00,56.3,56.4,56.1,56.15
2023-06-20 12:15:00,56.15,56.4,56.1,56.3
2023-06-20 13:15:00,56.3,56.3,55.65,56.05
2023-06-20 14:15:00,56.1,56.7,56.0,56.25
2023-06-20 15:15:00,56.25,56.45,56.15,56.35
2023-06-21 09:15:00,56.5,59.45,56.25,58.55
2023-06-21 10:15:00,58.55,58.6,57.65,58.3
2023-06-21 11:15:00,58.35,59.4,58.25,58.6
2023-06-21 12:15:00,58.6,58.8,58.4,58.45
2023-06-21 13:15:00,58.45,58.55,58.0,58.2
2023-06-21 14:15:00,58.2,58.2,57.4,57.45
2023-06-21 15:15:00,57.25,57.25,57.0,57.1
2023-06-22 09:15:00,57.3,57.8,56.15,56.35
2023-06-22 10:15:00,56.35,57.4,56.25,56.8
2023-06-22 11:15:00,56.85,57.05,56.15,56.25
2023-06-22 12:15:00,56.2,56.3,55.7,55.95
2023-06-22 13:15:00,55.95,56.0,55.8,56.0
2023-06-22 14:15:00,56.0,56.0,55.5,55.95
2023-06-22 15:15:00,55.8,55.95,55.5,55.65
2023-06-23 09:15:00,55.7,56.25,54.4,55.1
2023-06-23 10:15:00,55.0,56.25,55.0,55.95
2023-06-23 11:15:00,56.05,56.65,55.9,56.25
2023-06-23 12:15:00,56.25,57.2,56.15,57.0
2023-06-23 13:15:00,57.0,57.1,56.5,56.75
2023-06-23 14:15:00,56.7,56.85,56.4,56.45
2023-06-23 15:15:00,56.45,56.65,56.0,56.2
2023-06-26 09:15:00,56.25,57.25,55.8,55.85
2023-06-26 10:15:00,55.95,56.2,55.65,56.0
2023-06-26 11:15:00,56.0,56.65,56.0,56.3
2023-06-26 12:15:00,56.6,57.4,56.5,57.35
2023-06-26 13:15:00,57.35,57.7,57.05,57.4
2023-06-26 14:15:00,57.5,57.75,57.15,57.4
2023-06-26 15:15:00,57.5,57.7,57.15,57.45
2023-06-27 09:15:00,57.8,58.45,57.45,58.3
2023-06-27 10:15:00,58.3,59.0,58.2,58.4
2023-06-27 11:15:00,58.4,58.5,58.15,58.3
2023-06-27 12:15:00,58.25,58.6,58.15,58.5
2023-06-27 13:15:00,58.5,59.45,58.25,59.15
2023-06-27 14:15:00,59.2,59.3,58.65,58.7
2023-06-27 15:15:00,58.65,59.1,58.6,58.9
2023-06-28 09:15:00,58.6,59.25,58.25,58.4
2023-06-28 10:15:00,58.45,58.75,58.25,58.35
2023-06-28 11:15:00,58.4,58.8,58.3,58.5
2023-06-28 12:15:00,58.45,58.75,58.15,58.5
2023-06-28 13:15:00,58.5,58.65,58.4,58.6
2023-06-28 14:15:00,58.55,59.5,58.4,59.0
2023-06-28 15:15:00,59.0,59.4,59.0,59.1
2023-06-30 09:15:00,59.5,61.8,58.8,58.9
2023-06-30 10:15:00,58.9,59.6,58.5,59.35
2023-06-30 11:15:00,59.3,59.75,59.2,59.4
2023-06-30 12:15:00,59.45,60.15,59.35,59.6
2023-06-30 13:15:00,59.6,59.7,58.8,58.85
2023-06-30 14:15:00,58.85,59.15,58.2,58.8
2023-06-30 15:15:00,58.8,58.8,58.2,58.45
2023-07-03 09:15:00,58.8,59.85,58.0,58.15
2023-07-03 10:15:00,58.2,58.45,57.4,57.65
2023-07-03 11:15:00,57.6,58.3,57.55,58.0
2023-07-03 12:15:00,58.05,58.1,57.6,57.7
2023-07-03 13:15:00,57.7,57.7,56.6,56.9
2023-07-03 14:15:00,57.0,59.0,56.95,57.6
2023-07-03 15:15:00,57.6,58.2,57.2,57.8
2023-07-04 09:15:00,57.35,57.6,56.4,56.6
2023-07-04 10:15:00,56.6,57.35,56.5,57.15
2023-07-04 11:15:00,57.2,57.2,56.45,56.5
2023-07-04 12:15:00,56.5,56.6,56.2,56.4
2023-07-04 13:15:00,56.4,56.5,56.2,56.2
2023-07-04 14:15:00,56.2,56.2,55.85,55.9
2023-07-04 15:15:00,55.9,55.9,55.6,55.75
2023-07-05 09:15:00,55.9,56.65,55.85,56.5
2023-07-05 10:15:00,56.6,56.65,55.9,56.15
2023-07-05 11:15:00,56.1,56.15,55.75,55.8
2023-07-05 12:15:00,55.8,56.0,55.75,55.85
2023-07-05 13:15:00,55.85,56.0,55.5,55.8
2023-07-05 14:15:00,55.85,56.0,55.6,55.7
2023-07-05 15:15:00,55.65,56.25,55.5,56.25
2023-07-06 09:15:00,56.2,57.8,56.05,57.45
2023-07-06 10:15:00,57.35,60.0,57.35,59.8
2023-07-06 11:15:00,59.8,59.8,58.85,59.0
2023-07-06 12:15:00,59.0,59.25,58.0,58.05
2023-07-06 13:15:00,58.05,58.4,58.0,58.25
2023-07-06 14:15:00,58.2,58.4,58.1,58.2
2023-07-06 15:15:00,58.25,58.55,57.9,58.15
2023-07-07 09:15:00,58.8,59.05,57.7,58.0
2023-07-07 10:15:00,57.95,58.15,56.7,56.95
2023-07-07 11:15:00,57.0,58.3,56.95,57.9
2023-07-07 12:15:00,57.95,58.7,57.8,58.0
2023-07-07 13:15:00,58.0,58.4,58.0,58.0
2023-07-07 14:15:00,58.0,58.15,57.8,57.8
2023-07-07 15:15:00,57.75,57.85,57.4,57.65
2023-07-10 09:15:00,57.95,58.15,56.3,56.7
2023-07-10 10:15:00,56.75,57.9,56.4,57.8
2023-07-10 11:15:00,57.7,57.8,57.1,57.1
2023-07-10 12:15:00,57.25,58.5,57.15,58.5
2023-07-10 13:15:00,58.5,59.0,57.6,57.75
