time,open,high,low,close
2023-07-17 09:15:00,82.6,84.1,81.15,82.15
2023-07-17 10:15:00,82.15,83.4,81.4,82.05
2023-07-17 11:15:00,82.0,82.0,80.2,80.6
2023-07-17 12:15:00,80.8,80.8,80.4,80.45
2023-07-17 13:15:00,80.45,80.9,80.1,80.25
2023-07-17 14:15:00,80.25,81.5,80.25,81.1
2023-07-17 15:15:00,81.1,82.0,81.0,82.0
2023-07-18 09:15:00,81.9,81.9,80.0,81.1
2023-07-18 10:15:00,81.1,81.3,80.65,80.65
2023-07-18 11:15:00,80.5,80.95,80.0,80.0
2023-07-18 12:15:00,80.0,80.2,77.65,78.4
2023-07-18 13:15:00,78.4,80.3,78.3,80.1
2023-07-18 14:15:00,80.1,80.45,79.55,79.6
2023-07-18 15:15:00,79.65,79.9,78.1,79.0
2023-07-19 09:15:00,78.85,79.9,78.6,79.8
2023-07-19 10:15:00,79.75,79.85,79.25,79.35
2023-07-19 11:15:00,79.35,79.7,79.15,79.7
2023-07-19 12:15:00,79.7,87.1,79.25,83.6
2023-07-19 13:15:00,83.6,84.65,83.05,84.0
2023-07-19 14:15:00,84.0,85.0,83.25,83.9
2023-07-19 15:15:00,83.9,84.5,83.65,84.15
2023-07-20 09:15:00,85.0,85.95,82.2,83.5
2023-07-20 10:15:00,83.5,83.6,82.85,83.35
2023-07-20 11:15:00,83.35,83.35,82.15,83.15
2023-07-20 12:15:00,83.15,84.35,83.05,83.95
2023-07-20 13:15:00,83.95,86.65,83.2,86.0
2023-07-20 14:15:00,85.8,86.45,83.9,86.45
2023-07-20 15:15:00,86.45,86.7,85.3,86.1
2023-07-21 09:15:00,84.95,87.7,84.5,86.15
2023-07-21 10:15:00,86.15,86.8,86.15,86.55
2023-07-21 11:15:00,86.55,86.75,85.2,85.4
2023-07-21 12:15:00,85.4,85.95,85.05,85.85
2023-07-21 13:15:00,86.0,86.15,85.5,85.55
2023-07-21 14:15:00,85.55,87.3,85.55,86.05
2023-07-21 15:15:00,85.85,86.55,85.55,85.6
2023-07-24 09:15:00,87.0,87.5,82.6,84.5
2023-07-24 10:15:00,84.15,84.65,83.4,83.65
2023-07-24 11:15:00,83.65,84.05,82.1,82.8
2023-07-24 12:15:00,82.8,82.8,81.75,82.4
2023-07-24 13:15:00,82.4,82.7,82.15,82.7
2023-07-24 14:15:00,82.7,82.75,82.25,82.35
2023-07-24 15:15:00,82.4,83.65,82.0,82.6
2023-07-25 09:15:00,83.4,85.15,83.0,84.55
2023-07-25 10:15:00,84.6,84.75,83.4,83.6
2023-07-25 11:15:00,83.6,84.2,83.2,83.45
2023-07-25 12:15:00,83.45,84.35,82.85,84.35
2023-07-25 13:15:00,84.4,86.0,83.5,85.5
2023-07-25 14:15:00,85.5,85.7,83.25,84.15
2023-07-25 15:15:00,84.15,85.4,84.15,84.45
2023-07-26 09:15:00,85.65,85.65,80.7,82.55
2023-07-26 10:15:00,82.55,83.3,82.5,82.85
2023-07-26 11:15:00,82.85,83.35,82.55,82.7
2023-07-26 12:15:00,82.55,82.7,81.55,81.95
2023-07-26 13:15:00,81.95,82.15,78.25,80.0
2023-07-26 14:15:00,80.0,80.2,77.65,77.7
2023-07-26 15:15:00,77.7,79.4,77.65,78.1
2023-07-27 09:15:00,78.6,80.9,78.5,80.3
2023-07-27 10:15:00,80.3,82.35,80.0,81.6
2023-07-27 11:15:00,81.4,83.0,80.45,80.8
2023-07-27 12:15:00,80.8,81.9,80.15,81.3
2023-07-27 13:15:00,81.3,82.2,81.05,81.35
2023-07-27 14:15:00,81.35,81.65,80.3,81.05
2023-07-27 15:15:00,81.05,82.5,81.0,82.35
2023-07-28 09:15:00,82.7,85.7,82.7,84.6
2023-07-28 10:15:00,84.6,85.05,83.7,84.15
2023-07-28 11:15:00,84.15,85.15,84.1,84.3
2023-07-28 12:15:00,84.3,84.6,84.15,84.25
2023-07-28 13:15:00,84.25,84.7,83.65,84.55
2023-07-28 14:15:00,84.55,84.55,83.8,84.2
2023-07-28 15:15:00,84.2,84.45,83.4,84.2
2023-07-31 09:15:00,84.9,85.5,83.8,83.85
2023-07-31 10:15:00,83.8,84.0,83.1,83.3
2023-07-31 11:15:00,83.2,83.55,82.5,82.5
2023-07-31 12:15:00,82.5,82.95,82.05,82.5
2023-07-31 13:15:00,82.5,82.65,82.15,82.5
2023-07-31 14:15:00,82.5,82.65,81.4,81.95
2023-07-31 15:15:00,81.95,82.45,81.5,82.45
2023-08-01 09:15:00,82.65,82.65,81.45,82.0
2023-08-01 10:15:00,82.0,82.25,81.4,82.0
2023-08-01 11:15:00,82.0,82.0,80.55,81.15
2023-08-01 12:15:00,81.15,81.7,80.6,81.0
2023-08-01 13:15:00,81.0,81.45,80.75,81.25
2023-08-01 14:15:00,81.25,81.5,80.85,81.5
2023-08-01 15:15:00,81.5,81.5,81.1,81.5
2023-08-02 09:15:00,82.0,82.0,80.85,81.95
2023-08-02 10:15:00,81.95,82.1,81.0,81.7
2023-08-02 11:15:00,82.0,82.0,81.5,81.9
2023-08-02 12:15:00,81.9,81.9,81.5,81.5
2023-08-02 13:15:00,81.5,81.5,78.3,78.9
2023-08-02 14:15:00,78.6,79.35,78.5,79.35
2023-08-02 15:15:00,79.35,79.5,79.1,79.5
2023-08-03 09:15:00,79.4,80.5,79.4,79.85
2023-08-03 10:15:00,79.85,81.4,79.7,81.0
2023-08-03 11:15:00,81.0,81.3,80.75,81.0
2023-08-03 12:15:00,81.0,81.0,80.25,80.7
2023-08-03 13:15:00,80.7,80.7,80.0,80.0
2023-08-03 14:15:00,80.0,80.5,79.85,80.0
2023-08-03 15:15:00,79.95,80.95,79.75,79.75
2023-08-04 09:15:00,83.0,83.0,81.0,81.0
2023-08-04 10:15:00,81.4,81.5,80.9,81.0
2023-08-04 11:15:00,81.0,86.7,81.0,84.0
2023-08-04 12:15:00,84.0,84.75,82.95,83.5
2023-08-04 13:15:00,83.5,84.2,82.95,83.7
2023-08-04 14:15:00,83.7,84.0,82.85,83.75
2023-08-04 15:15:00,83.75,83.75,83.0,83.3
2023-08-07 09:15:00,84.1,84.2,83.1,83.35
2023-08-07 10:15:00,83.5,84.2,79.0,82.45
2023-08-07 11:15:00,82.45,83.25,82.0,82.35
2023-08-07 12:15:00,82.35,83.05,79.7,81.0
2023-08-07 13:15:00,81.0,81.15,80.3,80.55
2023-08-07 14:15:00,80.55,80.85,80.0,80.0
2023-08-07 15:15:00,80.0,80.95,80.0,80.35
2023-08-08 09:15:00,81.0,83.4,80.9,82.45
2023-08-08 10:15:00,82.45,82.45,81.25,81.4
2023-08-08 11:15:00,81.4,81.8,80.6,81.75
2023-08-08 12:15:00,81.75,81.75,81.15,81.5
2023-08-08 13:15:00,81.5,81.95,81.3,81.65
2023-08-08 14:15:00,81.65,81.9,81.5,81.9
