time,open,high,low,close
2023-07-17 09:15:00,70.1,72.0,70.1,71.9
2023-07-17 10:15:00,71.05,71.85,70.5,71.35
2023-07-17 11:15:00,70.75,71.45,70.75,71.45
2023-07-17 12:15:00,71.25,71.5,70.8,70.8
2023-07-17 13:15:00,70.8,71.45,70.6,71.45
2023-07-17 14:15:00,71.45,71.5,70.8,70.8
2023-07-17 15:15:00,70.8,71.2,70.8,71.1
2023-07-18 09:15:00,71.0,71.0,70.1,70.25
2023-07-18 10:15:00,70.25,70.85,70.15,70.15
2023-07-18 11:15:00,70.05,70.65,69.6,69.6
2023-07-18 12:15:00,69.6,70.3,69.6,70.3
2023-07-18 13:15:00,70.3,70.45,69.7,70.4
2023-07-18 14:15:00,70.4,70.65,70.25,70.25
2023-07-18 15:15:00,70.25,70.25,69.7,69.95
2023-07-19 09:15:00,71.2,71.2,69.85,70.2
2023-07-19 10:15:00,70.2,70.2,69.6,69.65
2023-07-19 11:15:00,69.65,70.95,69.6,70.95
2023-07-19 12:15:00,70.95,71.95,70.55,71.6
2023-07-19 13:15:00,71.6,71.6,70.65,71.25
2023-07-19 14:15:00,71.25,71.45,70.55,71.3
2023-07-19 15:15:00,71.0,71.5,70.6,71.5
2023-07-20 09:15:00,72.05,72.05,70.25,71.7
2023-07-20 10:15:00,71.7,71.9,70.7,71.7
2023-07-20 11:15:00,71.7,73.4,69.45,73.0
2023-07-20 12:15:00,72.9,73.25,72.7,72.95
2023-07-20 13:15:00,72.95,72.95,72.6,72.65
2023-07-20 14:15:00,72.65,73.0,72.1,72.55
2023-07-20 15:15:00,72.1,73.1,72.1,73.1
2023-07-21 09:15:00,73.0,74.8,71.8,73.2
2023-07-21 10:15:00,73.2,73.2,71.6,72.25
2023-07-21 11:15:00,72.25,72.45,71.95,72.0
2023-07-21 12:15:00,72.0,72.4,71.8,72.4
2023-07-21 13:15:00,72.4,73.0,72.1,72.9
2023-07-21 14:15:00,72.9,73.0,72.05,72.6
2023-07-21 15:15:00,72.45,72.6,72.45,72.5
2023-07-24 09:15:00,72.2,73.9,71.3,73.0
2023-07-24 10:15:00,73.0,73.0,72.7,72.85
2023-07-24 11:15:00,72.85,73.0,72.75,72.9
2023-07-24 12:15:00,72.8,72.95,72.75,72.75
2023-07-24 13:15:00,72.75,72.9,72.7,72.7
2023-07-24 14:15:00,72.7,72.7,71.85,72.1
2023-07-24 15:15:00,72.1,72.6,72.1,72.6
2023-07-25 09:15:00,72.6,72.7,71.25,72.55
2023-07-25 10:15:00,72.55,73.15,72.0,72.45
2023-07-25 11:15:00,72.45,72.75,72.25,72.25
2023-07-25 12:15:00,72.25,72.5,72.05,72.05
2023-07-25 13:15:00,72.05,73.0,72.05,72.95
2023-07-25 14:15:00,72.65,72.95,72.05,72.25
2023-07-25 15:15:00,72.25,72.3,71.4,71.9
2023-07-26 09:15:00,72.7,72.95,72.1,72.1
2023-07-26 10:15:00,72.1,72.6,72.1,72.3
2023-07-26 11:15:00,72.3,72.35,72.0,72.05
2023-07-26 12:15:00,72.45,72.45,72.0,72.15
2023-07-26 13:15:00,72.15,72.2,71.6,71.7
2023-07-26 14:15:00,71.7,72.15,71.6,71.6
2023-07-26 15:15:00,71.6,72.0,71.6,72.0
2023-07-27 09:15:00,73.0,73.0,71.25,72.4
2023-07-27 10:15:00,72.4,72.4,71.5,71.5
2023-07-27 11:15:00,71.9,71.95,71.25,71.5
2023-07-27 12:15:00,71.35,71.8,71.25,71.8
2023-07-27 13:15:00,71.8,71.8,71.25,71.6
2023-07-27 14:15:00,71.6,71.6,71.25,71.3
2023-07-27 15:15:00,71.3,71.9,71.25,71.9
2023-07-28 09:15:00,71.2,72.4,71.2,72.05
2023-07-28 10:15:00,72.05,72.25,71.75,71.75
2023-07-28 11:15:00,71.75,71.9,71.7,71.9
2023-07-28 12:15:00,71.9,71.9,71.5,71.7
2023-07-28 13:15:00,71.65,72.0,71.5,71.65
2023-07-28 14:15:00,71.65,72.05,71.5,71.5
2023-07-28 15:15:00,71.5,71.65,71.25,71.5
2023-07-31 09:15:00,71.65,72.6,71.65,72.0
2023-07-31 10:15:00,72.0,72.0,71.5,72.0
2023-07-31 11:15:00,72.0,72.0,71.65,71.95
2023-07-31 12:15:00,71.95,72.0,71.95,71.95
2023-07-31 13:15:00,71.95,71.95,71.0,71.55
2023-07-31 14:15:00,71.55,71.95,71.25,71.25
2023-07-31 15:15:00,71.25,72.9,71.25,72.9
2023-08-01 09:15:00,72.0,77.4,71.4,75.0
2023-08-01 10:15:00,75.0,75.25,74.05,74.15
2023-08-01 11:15:00,74.15,74.7,74.0,74.55
2023-08-01 12:15:00,74.55,74.55,73.6,74.55
2023-08-01 13:15:00,74.45,74.6,74.1,74.6
2023-08-01 14:15:00,74.6,74.6,74.2,74.25
2023-08-01 15:15:00,74.25,74.6,74.05,74.5
2023-08-02 09:15:00,74.3,76.05,74.3,75.15
2023-08-02 10:15:00,75.15,75.75,74.6,75.0
2023-08-02 11:15:00,75.0,75.9,74.25,74.3
2023-08-02 12:15:00,74.3,74.5,73.55,74.5
2023-08-02 13:15:00,74.5,74.5,73.1,73.5
2023-08-02 14:15:00,73.5,74.4,73.1,74.0
2023-08-02 15:15:00,73.65,74.0,73.35,73.5
2023-08-03 09:15:00,71.95,72.35,70.9,71.9
2023-08-03 10:15:00,71.9,72.0,71.45,71.8
2023-08-03 11:15:00,71.8,72.0,71.5,72.0
2023-08-03 12:15:00,72.0,72.0,71.5,71.5
2023-08-03 13:15:00,71.5,72.2,71.5,72.0
2023-08-03 14:15:00,72.0,72.2,71.8,72.2
2023-08-03 15:15:00,72.0,72.15,71.8,71.8
2023-08-04 09:15:00,72.2,72.8,71.9,72.2
2023-08-04 10:15:00,72.2,72.55,71.9,72.55
2023-08-04 11:15:00,72.25,72.6,72.25,72.55
2023-08-04 12:15:00,72.55,72.7,71.75,72.0
2023-08-04 13:15:00,72.0,72.65,71.55,71.6
2023-08-04 14:15:00,71.6,72.1,71.6,71.6
2023-08-04 15:15:00,71.6,72.55,71.55,72.55
2023-08-07 09:15:00,73.95,73.95,71.85,71.85
2023-08-07 10:15:00,71.85,72.0,71.6,71.75
2023-08-07 11:15:00,71.75,71.85,71.55,71.7
2023-08-07 12:15:00,71.7,71.95,71.7,71.9
2023-08-07 13:15:00,71.95,72.0,71.15,72.0
2023-08-07 14:15:00,72.0,72.2,71.6,71.6
2023-08-07 15:15:00,71.6,72.0,71.6,72.0
2023-08-08 09:15:00,72.0,72.75,71.1,71.5
2023-08-08 10:15:00,71.65,71.65,71.5,71.5
2023-08-08 11:15:00,71.5,72.0,71.05,71.2
2023-08-08 12:15:00,71.2,71.65,71.15,71.15
2023-08-08 13:15:00,71.15,71.7,71.15,71.2
2023-08-08 14:15:00,71.2,71.65,69.6,69.6
2023-08-08 15:15:00,69.6,70.4,69.6,70.0
2023-08-09 09:15:00,70.9,70.9,70.1,70.75
2023-08-09 10:15:00,70.75,70.9,70.65,70.9
2023-08-09 11:15:00,70.9,70.9,70.55,70.9
2023-08-09 12:15:00,70.9,73.2,70.9,72.45
2023-08-09 13:15:00,72.45,72.8,72.05,72.05
2023-08-09 14:15:00,72.5,72.5,72.0,72.05
2023-08-09 15:15:00,72.05,72.45,72.05,72.2
2023-08-10 09:15:00,72.55,73.4,72.05,72.1
2023-08-10 10:15:00,72.1,72.2,72.0,72.15
2023-08-10 11:15:00,72.15,72.75,72.15,72.75
2023-08-10 12:15:00,72.75,72.95,72.3,72.8
2023-08-10 13:15:00,72.5,72.9,72.3,72.8
2023-08-10 14:15:00,72.8,72.8,72.0,72.0
2023-08-10 15:15:00,72.0,72.0,71.15,71.2
2023-08-11 09:15:00,71.65,72.35,69.45,71.45
2023-08-11 10:15:00,71.45,71.95,70.25,71.5
2023-08-11 11:15:00,71.5,71.9,71.5,71.5
2023-08-11 12:15:00,71.5,71.55,70.65,71.0
2023-08-11 13:15:00,71.0,71.2,70.15,70.85
2023-08-11 14:15:00,70.85,70.85,70.3,70.3
2023-08-11 15:15:00,70.3,70.6,70.0,70.0
2023-08-14 09:15:00,73.0,74.8,72.5,74.75
2023-08-14 10:15:00,74.75,75.95,73.45,74.6
2023-08-14 11:15:00,74.6,74.95,73.45,73.55
2023-08-14 12:15:00,73.55,74.0,73.5,74.0
2023-08-14 13:15:00,74.0,74.9,73.55,74.4
2023-08-14 14:15:00,73.9,74.65,73.45,73.45
2023-08-14 15:15:00,73.45,73.7,73.0,73.55
2023-08-16 09:15:00,75.5,75.5,72.7,73.2
2023-08-16 10:15:00,73.35,73.45,72.4,72.7
2023-08-16 11:15:00,72.7,72.75,72.5,72.75
2023-08-16 12:15:00,72.9,73.15,72.75,73.1
2023-08-16 13:15:00,73.1,73.95,72.8,73.5
2023-08-16 14:15:00,73.4,73.65,72.5,73.15
2023-08-16 15:15:00,73.15,73.95,73.0,73.05
