time,open,high,low,close
2023-07-17 09:15:00,76.0,76.25,74.75,75.0
2023-07-17 10:15:00,75.0,75.3,74.65,75.25
2023-07-17 11:15:00,75.25,75.6,75.2,75.6
2023-07-17 12:15:00,75.6,75.95,75.5,75.85
2023-07-17 13:15:00,75.85,76.05,75.5,75.7
2023-07-17 14:15:00,75.7,76.1,74.85,75.0
2023-07-17 15:15:00,75.0,75.0,74.35,74.95
2023-07-18 09:15:00,75.25,75.45,74.65,74.9
2023-07-18 10:15:00,74.9,75.15,74.6,75.05
2023-07-18 11:15:00,75.05,75.1,74.65,74.75
2023-07-18 12:15:00,74.75,75.15,74.65,75.1
2023-07-18 13:15:00,75.1,75.25,75.0,75.0
2023-07-18 14:15:00,75.0,75.1,74.8,74.8
2023-07-18 15:15:00,74.85,75.1,74.75,74.9
2023-07-19 09:15:00,75.05,75.25,74.6,74.8
2023-07-19 10:15:00,74.8,75.1,74.4,74.55
2023-07-19 11:15:00,74.45,74.6,74.35,74.5
2023-07-19 12:15:00,74.5,74.65,74.4,74.6
2023-07-19 13:15:00,74.6,75.05,74.5,75.0
2023-07-19 14:15:00,75.0,75.05,74.95,75.0
2023-07-19 15:15:00,75.0,75.1,74.8,74.8
2023-07-20 09:15:00,74.95,75.2,74.5,74.7
2023-07-20 10:15:00,74.7,74.9,74.6,74.6
2023-07-20 11:15:00,74.7,74.8,74.55,74.7
2023-07-20 12:15:00,74.7,74.75,74.35,74.4
2023-07-20 13:15:00,74.4,74.45,73.85,74.0
2023-07-20 14:15:00,74.0,74.2,73.8,74.0
2023-07-20 15:15:00,74.05,74.3,73.9,74.2
2023-07-21 09:15:00,74.0,74.4,73.8,73.95
2023-07-21 10:15:00,73.95,74.1,73.7,74.0
2023-07-21 11:15:00,74.1,74.25,73.8,73.95
2023-07-21 12:15:00,73.95,73.95,73.65,73.8
2023-07-21 13:15:00,73.8,73.9,73.6,73.65
2023-07-21 14:15:00,73.65,73.85,73.3,73.5
2023-07-21 15:15:00,73.5,73.5,73.3,73.45
2023-07-24 09:15:00,73.4,73.9,73.15,73.6
2023-07-24 10:15:00,73.6,73.7,73.4,73.55
2023-07-24 11:15:00,73.6,73.95,73.25,73.65
2023-07-24 12:15:00,73.65,73.9,73.55,73.6
2023-07-24 13:15:00,73.6,73.75,73.35,73.6
2023-07-24 14:15:00,73.45,73.8,72.8,72.9
2023-07-24 15:15:00,72.9,72.9,72.4,72.8
2023-07-25 09:15:00,72.85,73.4,72.55,72.75
2023-07-25 10:15:00,72.75,72.75,72.3,72.4
2023-07-25 11:15:00,72.4,72.6,72.2,72.45
2023-07-25 12:15:00,72.45,72.45,72.15,72.2
2023-07-25 13:15:00,72.2,72.2,71.5,71.8
2023-07-25 14:15:00,71.75,72.5,71.7,72.2
2023-07-25 15:15:00,72.2,72.2,71.95,72.0
2023-07-26 09:15:00,72.4,72.75,72.0,72.5
2023-07-26 10:15:00,72.5,72.75,72.3,72.6
2023-07-26 11:15:00,72.6,73.6,72.3,73.25
2023-07-26 12:15:00,73.25,74.0,73.15,73.65
2023-07-26 13:15:00,73.65,74.2,73.55,73.7
2023-07-26 14:15:00,73.7,74.45,73.55,74.1
2023-07-26 15:15:00,74.1,74.25,74.0,74.1
2023-07-27 09:15:00,74.4,75.05,74.3,74.7
2023-07-27 10:15:00,74.7,74.85,74.2,74.4
2023-07-27 11:15:00,74.4,74.5,74.1,74.1
2023-07-27 12:15:00,74.1,74.4,74.1,74.3
2023-07-27 13:15:00,74.3,74.45,74.2,74.35
2023-07-27 14:15:00,74.35,74.35,73.7,73.95
2023-07-27 15:15:00,73.95,74.3,73.85,73.95
2023-07-28 09:15:00,74.0,76.75,73.95,75.95
2023-07-28 10:15:00,75.95,76.2,75.5,75.75
2023-07-28 11:15:00,75.75,77.95,75.6,77.45
2023-07-28 12:15:00,77.4,78.4,77.05,77.2
2023-07-28 13:15:00,77.2,77.3,76.4,76.75
2023-07-28 14:15:00,76.75,77.1,76.65,76.75
2023-07-28 15:15:00,76.75,77.05,76.4,76.6
2023-07-31 09:15:00,77.0,77.7,75.65,77.4
2023-07-31 10:15:00,77.4,78.6,77.1,77.55
2023-07-31 11:15:00,77.55,77.8,77.25,77.5
2023-07-31 12:15:00,77.5,77.8,77.45,77.55
2023-07-31 13:15:00,77.55,78.2,77.5,77.5
2023-07-31 14:15:00,77.5,77.95,77.5,77.7
2023-07-31 15:15:00,77.7,78.2,77.25,77.95
2023-08-01 09:15:00,78.0,79.2,77.9,78.5
2023-08-01 10:15:00,78.5,79.25,77.6,78.7
2023-08-01 11:15:00,78.7,79.65,78.65,79.15
2023-08-01 12:15:00,79.2,79.2,78.55,78.8
2023-08-01 13:15:00,78.75,78.95,77.8,77.9
2023-08-01 14:15:00,77.9,78.45,77.4,78.4
2023-08-01 15:15:00,78.4,78.45,78.0,78.2
2023-08-02 09:15:00,77.65,81.9,77.45,81.2
2023-08-02 10:15:00,81.15,81.8,80.4,81.2
2023-08-02 11:15:00,81.2,82.75,81.1,81.65
2023-08-02 12:15:00,81.65,82.75,81.55,82.35
2023-08-02 13:15:00,82.35,82.35,81.15,81.35
2023-08-02 14:15:00,81.35,82.85,80.6,82.8
2023-08-02 15:15:00,82.85,83.2,81.5,82.0
2023-08-03 09:15:00,82.0,83.4,80.8,80.8
2023-08-03 10:15:00,80.8,81.3,80.2,81.1
2023-08-03 11:15:00,81.1,81.35,80.3,81.2
2023-08-03 12:15:00,81.2,81.5,79.9,80.6
2023-08-03 13:15:00,80.6,80.95,80.1,80.45
2023-08-03 14:15:00,80.45,81.5,80.45,81.2
2023-08-03 15:15:00,81.2,81.3,79.9,80.0
2023-08-04 09:15:00,79.8,79.8,75.75,77.15
2023-08-04 10:15:00,77.15,77.65,76.7,76.7
2023-08-04 11:15:00,76.7,77.05,76.6,76.8
2023-08-04 12:15:00,76.75,76.9,76.05,76.55
2023-08-04 13:15:00,76.55,76.55,75.55,75.7
2023-08-04 14:15:00,75.65,75.7,75.0,75.05
2023-08-04 15:15:00,75.1,75.15,74.6,75.1
2023-08-07 09:15:00,75.9,75.9,73.5,74.55
2023-08-07 10:15:00,74.55,75.0,74.5,74.7
2023-08-07 11:15:00,74.7,75.6,74.65,75.45
2023-08-07 12:15:00,75.45,75.6,74.3,74.85
2023-08-07 13:15:00,74.8,75.2,74.2,74.75
2023-08-07 14:15:00,74.75,75.05,74.35,74.55
2023-08-07 15:15:00,74.5,75.05,74.45,75.05
2023-08-08 09:15:00,74.8,75.3,74.5,74.7
2023-08-08 10:15:00,74.7,74.8,73.95,74.1
2023-08-08 11:15:00,74.2,74.7,73.8,74.0
2023-08-08 12:15:00,74.05,74.6,73.9,74.0
2023-08-08 13:15:00,74.0,74.3,73.25,73.4
2023-08-08 14:15:00,73.4,73.65,72.85,73.5
2023-08-08 15:15:00,73.5,73.7,73.15,73.6
2023-08-09 09:15:00,73.5,74.45,73.5,74.15
