time,open,high,low,close
2023-07-17 09:15:00,805.65,810.8,802.3,808.4
2023-07-17 10:15:00,808.4,812.0,805.85,806.85
2023-07-17 11:15:00,806.85,807.15,801.7,802.35
2023-07-17 12:15:00,802.1,803.1,799.25,801.7
2023-07-17 13:15:00,801.9,801.9,799.5,799.65
2023-07-17 14:15:00,799.85,802.0,797.25,797.8
2023-07-17 15:15:00,797.8,800.0,797.0,799.0
2023-07-18 09:15:00,799.8,800.45,792.7,796.7
2023-07-18 10:15:00,796.7,801.0,796.0,796.6
2023-07-18 11:15:00,796.6,796.9,790.0,790.85
2023-07-18 12:15:00,790.85,794.0,789.6,790.95
2023-07-18 13:15:00,790.95,793.6,790.0,792.5
2023-07-18 14:15:00,792.1,792.65,788.6,790.4
2023-07-18 15:15:00,790.7,792.55,790.05,792.0
2023-07-19 09:15:00,796.0,797.55,791.55,794.0
2023-07-19 10:15:00,794.2,795.0,790.35,792.45
2023-07-19 11:15:00,792.45,797.85,789.05,794.95
2023-07-19 12:15:00,794.95,795.5,791.0,791.7
2023-07-19 13:15:00,791.85,793.7,790.1,790.7
2023-07-19 14:15:00,790.7,793.8,790.0,791.3
2023-07-19 15:15:00,791.3,793.8,790.9,792.65
2023-07-20 09:15:00,795.0,795.9,789.6,791.25
2023-07-20 10:15:00,791.25,793.0,787.75,788.65
2023-07-20 11:15:00,788.65,793.6,785.75,789.7
2023-07-20 12:15:00,789.7,792.15,789.25,789.7
2023-07-20 13:15:00,789.7,796.85,789.6,795.45
2023-07-20 14:15:00,795.5,801.35,791.85,798.8
2023-07-20 15:15:00,799.0,800.4,797.65,798.95
2023-07-21 09:15:00,798.0,802.85,792.25,800.65
2023-07-21 10:15:00,800.7,800.75,793.65,795.35
2023-07-21 11:15:00,795.35,823.35,792.25,807.85
2023-07-21 12:15:00,807.85,814.65,806.6,810.0
2023-07-21 13:15:00,810.0,811.0,804.05,804.75
2023-07-21 14:15:00,804.75,805.7,782.6,784.3
2023-07-21 15:15:00,784.2,792.9,783.0,788.1
2023-07-24 09:15:00,789.0,789.0,773.35,778.25
2023-07-24 10:15:00,778.4,780.6,777.6,779.35
2023-07-24 11:15:00,779.35,782.25,773.3,777.45
2023-07-24 12:15:00,777.45,779.45,775.05,778.65
2023-07-24 13:15:00,778.7,779.25,775.65,776.05
2023-07-24 14:15:00,776.05,779.95,775.1,775.35
2023-07-24 15:15:00,775.45,776.15,773.6,775.0
2023-07-25 09:15:00,778.0,793.55,778.0,792.5
2023-07-25 10:15:00,792.4,798.7,791.5,795.35
2023-07-25 11:15:00,795.35,799.7,789.5,798.45
2023-07-25 12:15:00,798.45,802.5,796.6,801.8
2023-07-25 13:15:00,801.8,804.9,796.5,803.0
2023-07-25 14:15:00,802.7,805.45,799.45,801.0
2023-07-25 15:15:00,800.85,803.0,798.9,800.0
2023-07-26 09:15:00,807.45,808.65,800.1,804.25
2023-07-26 10:15:00,804.25,804.9,801.6,802.3
2023-07-26 11:15:00,802.3,807.9,800.2,807.9
2023-07-26 12:15:00,807.9,808.7,805.15,807.9
2023-07-26 13:15:00,807.9,808.95,805.3,807.5
2023-07-26 14:15:00,807.5,808.5,803.5,804.95
2023-07-26 15:15:00,805.0,806.2,804.1,805.0
2023-07-27 09:15:00,806.0,814.45,803.5,806.3
2023-07-27 10:15:00,806.5,807.3,800.0,801.75
2023-07-27 11:15:00,801.75,801.85,798.6,798.6
2023-07-27 12:15:00,798.65,799.75,795.8,797.55
2023-07-27 13:15:00,797.55,801.75,797.55,801.15
2023-07-27 14:15:00,801.4,801.45,791.0,794.7
2023-07-27 15:15:00,794.7,797.3,791.95,795.45
2023-07-28 09:15:00,795.0,796.25,786.1,795.35
2023-07-28 10:15:00,795.35,799.5,794.1,797.5
2023-07-28 11:15:00,797.0,798.05,795.0,797.25
2023-07-28 12:15:00,797.25,806.0,797.0,802.95
2023-07-28 13:15:00,802.95,803.8,799.35,802.65
2023-07-28 14:15:00,802.7,805.7,801.85,803.3
2023-07-28 15:15:00,803.55,805.2,802.75,804.0
2023-07-31 09:15:00,806.2,818.5,806.2,815.55
2023-07-31 10:15:00,815.55,819.45,812.2,817.0
2023-07-31 11:15:00,817.0,817.3,813.2,814.45
2023-07-31 12:15:00,814.05,815.6,812.2,815.55
2023-07-31 13:15:00,815.55,821.2,813.55,815.2
2023-07-31 14:15:00,815.35,818.0,812.4,815.9
2023-07-31 15:15:00,815.9,818.6,814.5,815.0
2023-08-01 09:15:00,823.0,825.0,816.95,821.6
2023-08-01 10:15:00,821.6,823.75,817.6,819.0
2023-08-01 11:15:00,819.0,821.0,818.4,819.65
2023-08-01 12:15:00,819.7,822.0,818.5,821.35
2023-08-01 13:15:00,821.35,822.65,818.9,820.35
2023-08-01 14:15:00,820.35,821.5,819.55,820.55
2023-08-01 15:15:00,820.25,822.0,820.15,820.95
2023-08-02 09:15:00,817.0,817.8,809.75,812.0
2023-08-02 10:15:00,811.8,813.95,808.65,809.95
2023-08-02 11:15:00,809.95,811.0,807.0,809.35
2023-08-02 12:15:00,809.35,811.9,807.75,811.25
2023-08-02 13:15:00,811.25,811.25,801.5,802.3
2023-08-02 14:15:00,802.1,805.75,798.35,804.45
2023-08-02 15:15:00,804.45,804.8,800.75,802.25
2023-08-03 09:15:00,804.25,805.5,794.3,797.45
2023-08-03 10:15:00,797.45,805.2,796.45,804.7
2023-08-03 11:15:00,804.7,808.35,802.8,806.3
2023-08-03 12:15:00,806.3,806.3,797.6,799.7
2023-08-03 13:15:00,799.5,804.65,797.75,800.65
2023-08-03 14:15:00,800.65,804.65,799.7,804.25
2023-08-03 15:15:00,804.25,809.0,803.6,808.0
2023-08-04 09:15:00,808.0,814.8,806.05,808.3
2023-08-04 10:15:00,808.3,808.45,804.0,804.8
2023-08-04 11:15:00,804.8,808.75,804.8,808.4
2023-08-04 12:15:00,808.4,809.9,806.0,807.15
2023-08-04 13:15:00,807.15,808.0,804.6,807.2
2023-08-04 14:15:00,807.2,808.8,805.4,805.9
2023-08-04 15:15:00,805.9,806.95,802.8,803.8
2023-08-07 09:15:00,808.0,809.5,803.6,807.7
2023-08-07 10:15:00,807.7,810.65,806.1,806.75
2023-08-07 11:15:00,806.8,808.6,805.1,808.45
2023-08-07 12:15:00,808.45,816.5,808.15,813.75
2023-08-07 13:15:00,813.75,816.0,813.2,813.6
2023-08-07 14:15:00,813.6,814.5,810.8,813.0
2023-08-07 15:15:00,812.95,814.0,812.5,813.0
2023-08-08 09:15:00,815.05,816.5,808.1,808.35
2023-08-08 10:15:00,808.35,809.45,804.0,804.4
2023-08-08 11:15:00,804.05,804.4,800.2,803.2
2023-08-08 12:15:00,803.4,806.4,802.25,805.7
2023-08-08 13:15:00,805.7,806.85,803.05,803.6
2023-08-08 14:15:00,803.6,805.0,801.1,801.45
2023-08-08 15:15:00,801.45,801.75,799.5,800.5
2023-08-09 09:15:00,801.7,808.45,801.7,803.5
2023-08-09 10:15:00,803.5,808.0,802.0,808.0
2023-08-09 11:15:00,808.0,810.1,805.35,809.2
2023-08-09 12:15:00,809.1,811.5,807.2,811.5
2023-08-09 13:15:00,811.5,812.5,809.2,811.3
2023-08-09 14:15:00,811.3,824.9,810.75,824.0
2023-08-09 15:15:00,824.25,828.9,823.6,826.95
2023-08-10 09:15:00,825.0,827.25,820.0,822.25
2023-08-10 10:15:00,822.95,827.0,820.1,824.0
2023-08-10 11:15:00,824.7,831.0,823.45,828.45
2023-08-10 12:15:00,828.9,834.4,822.75,833.1
2023-08-10 13:15:00,833.2,835.0,825.15,828.85
2023-08-10 14:15:00,828.9,833.35,827.0,831.8
2023-08-10 15:15:00,832.05,833.0,828.65,830.0
2023-08-11 09:15:00,830.0,831.35,816.0,817.45
2023-08-11 10:15:00,817.1,822.65,815.6,822.2
2023-08-11 11:15:00,821.6,825.1,820.7,823.05
2023-08-11 12:15:00,823.0,824.85,820.3,823.0
2023-08-11 13:15:00,822.6,824.0,819.4,822.95
2023-08-11 14:15:00,822.9,823.95,819.75,820.45
2023-08-11 15:15:00,820.45,822.5,818.0,821.4
2023-08-14 09:15:00,815.0,815.0,799.45,801.95
2023-08-14 10:15:00,801.95,802.95,793.55,795.5
2023-08-14 11:15:00,795.5,800.9,795.0,800.45
2023-08-14 12:15:00,800.45,801.0,795.4,797.55
2023-08-14 13:15:00,797.55,799.75,796.5,799.6
2023-08-14 14:15:00,799.6,802.0,798.0,798.95
2023-08-14 15:15:00,798.95,799.35,797.65,798.15
2023-08-16 09:15:00,803.7,803.7,790.55,793.55
2023-08-16 10:15:00,793.55,797.0,790.95,791.0
2023-08-16 11:15:00,791.2,793.4,789.0,792.85
2023-08-16 12:15:00,792.85,796.0,792.35,795.25
2023-08-16 13:15:00,795.25,795.65,793.0,794.25
2023-08-16 14:15:00,794.25,796.75,793.0,794.9
2023-08-16 15:15:00,794.9,796.4,793.85,794.45
2023-08-17 09:15:00,794.85,796.65,791.15,791.5
2023-08-17 10:15:00,791.45,792.45,788.8,789.05
2023-08-17 11:15:00,788.9,789.05,783.6,784.7
2023-08-17 12:15:00,784.7,788.0,784.5,785.85
2023-08-17 13:15:00,785.85,789.8,784.1,787.4
2023-08-17 14:15:00,787.35,791.0,787.0,788.5
2023-08-17 15:15:00,788.5,790.95,787.65,788.0
2023-08-18 09:15:00,789.9,793.9,785.25,787.5
2023-08-18 10:15:00,787.5,789.25,785.25,786.8
2023-08-18 11:15:00,786.9,788.8,785.65,787.5
2023-08-18 12:15:00,787.5,789.0,784.5,785.0
2023-08-18 13:15:00,784.85,792.65,784.6,791.8
2023-08-18 14:15:00,791.8,793.0,785.75,786.55
2023-08-18 15:15:00,786.55,788.5,785.8,785.95
2023-08-21 09:15:00,793.0,794.7,787.8,789.1
2023-08-21 10:15:00,789.45,796.6,788.85,796.4
2023-08-21 11:15:00,796.35,797.5,794.35,796.0
2023-08-21 12:15:00,796.0,796.95,794.5,794.85
2023-08-21 13:15:00,794.85,794.95,791.75,792.25
2023-08-21 14:15:00,792.35,795.85,792.1,794.9
2023-08-21 15:15:00,794.55,795.35,793.9,794.4
2023-08-22 09:15:00,799.9,799.95,792.6,793.2
2023-08-22 10:15:00,792.85,795.95,792.7,794.05
2023-08-22 11:15:00,794.05,796.8,793.5,795.75
2023-08-22 12:15:00,795.8,796.8,795.25,796.05
2023-08-22 13:15:00,796.45,796.45,794.15,795.4
2023-08-22 14:15:00,795.4,796.5,793.15,794.45
2023-08-22 15:15:00,794.45,795.85,794.0,795.85
2023-08-23 09:15:00,799.0,802.9,793.05,798.65
2023-08-23 10:15:00,798.9,798.9,795.55,796.65
2023-08-23 11:15:00,796.65,798.9,796.25,797.1
2023-08-23 12:15:00,797.1,798.15,796.3,797.0
2023-08-23 13:15:00,797.0,799.55,796.5,799.1
2023-08-23 14:15:00,799.15,802.5,797.2,797.3
2023-08-23 15:15:00,797.25,800.0,796.5,796.5
2023-08-24 09:15:00,800.0,804.65,799.3,801.75
2023-08-24 10:15:00,802.0,806.5,800.3,800.7
2023-08-24 11:15:00,800.7,801.0,794.5,795.0
2023-08-24 12:15:00,795.0,796.35,791.45,792.75
2023-08-24 13:15:00,792.65,793.6,791.3,792.65
2023-08-24 14:15:00,792.65,793.3,787.1,788.85
2023-08-24 15:15:00,788.85,788.85,786.15,788.4
2023-08-25 09:15:00,781.0,787.55,781.0,785.4
2023-08-25 10:15:00,785.4,785.4,780.0,780.3
2023-08-25 11:15:00,780.55,780.55,776.75,777.25
2023-08-25 12:15:00,777.5,780.9,775.05,777.6
2023-08-25 13:15:00,777.95,778.0,775.1,775.5
2023-08-25 14:15:00,775.5,775.9,771.45,774.4
2023-08-25 15:15:00,774.3,774.65,770.55,772.0
2023-08-28 09:15:00,775.5,780.4,773.0,774.0
2023-08-28 10:15:00,774.0,780.95,773.95,775.35
2023-08-28 11:15:00,775.35,778.45,774.3,775.35
2023-08-28 12:15:00,775.35,777.9,774.75,775.2
2023-08-28 13:15:00,775.2,777.25,773.3,774.1
2023-08-28 14:15:00,773.95,774.25,771.0,773.1
2023-08-28 15:15:00,773.1,774.0,771.5,773.8
2023-08-29 09:15:00,778.9,780.0,775.55,779.3
2023-08-29 10:15:00,779.65,784.95,777.9,782.3
2023-08-29 11:15:00,782.3,783.8,781.0,782.4
2023-08-29 12:15:00,782.4,783.0,779.05,782.6
2023-08-29 13:15:00,782.55,785.05,780.95,784.5
2023-08-29 14:15:00,784.6,785.85,780.0,782.5
2023-08-29 15:15:00,782.65,783.95,781.1,781.1
2023-08-30 09:15:00,784.7,788.9,784.2,787.8
2023-08-30 10:15:00,787.8,790.85,785.8,790.7
2023-08-30 11:15:00,790.7,791.95,788.95,789.35
2023-08-30 12:15:00,789.4,789.95,788.0,788.15
2023-08-30 13:15:00,788.25,788.6,785.05,785.1
2023-08-30 14:15:00,785.3,788.2,784.15,788.0
2023-08-30 15:15:00,788.05,788.15,784.6,784.6
