date,open,high,low,close
2023-06-01 09:15:00,96.05,110.8,94.75,106.45
2023-06-01 10:15:00,106.1,107.6,101.2,103.55
2023-06-01 11:15:00,103.5,103.95,102.0,102.5
2023-06-01 12:15:00,102.5,106.35,101.95,105.25
2023-06-01 13:15:00,105.25,106.1,103.3,104.0
2023-06-01 14:15:00,104.0,105.9,103.0,103.2
2023-06-01 15:15:00,103.2,104.8,103.1,103.25
2023-06-02 09:15:00,102.5,107.0,101.3,102.5
2023-06-02 10:15:00,102.55,103.1,102.35,102.5
2023-06-02 11:15:00,102.45,103.0,102.35,102.5
2023-06-02 12:15:00,102.5,103.0,102.4,102.6
2023-06-02 13:15:00,103.0,103.9,102.55,102.9
2023-06-02 14:15:00,103.0,103.55,102.55,103.0
2023-06-02 15:15:00,102.95,103.8,102.7,103.55
2023-06-05 09:15:00,104.65,105.25,101.0,101.0
2023-06-05 10:15:00,101.05,102.7,101.0,102.7
2023-06-05 11:15:00,103.0,103.0,101.3,102.25
2023-06-05 12:15:00,101.35,101.9,101.35,101.9
2023-06-05 13:15:00,101.5,102.5,101.0,101.9
2023-06-05 14:15:00,101.75,101.75,100.5,100.5
2023-06-05 15:15:00,100.6,100.6,99.1,99.4
2023-06-06 09:15:00,100.15,101.9,97.95,99.0
2023-06-06 10:15:00,99.8,100.0,98.0,99.3
2023-06-06 11:15:00,99.0,99.0,98.1,98.5
2023-06-06 12:15:00,98.5,99.15,98.25,99.15
2023-06-06 13:15:00,98.1,98.6,97.8,98.0
2023-06-06 14:15:00,98.0,98.6,97.05,97.1
2023-06-06 15:15:00,97.15,98.5,97.05,97.1
2023-06-07 09:15:00,97.5,100.05,97.05,99.05
2023-06-07 10:15:00,100.4,100.65,99.2,99.45
2023-06-07 11:15:00,100.35,100.35,99.8,99.8
2023-06-07 12:15:00,100.1,101.75,99.45,99.95
2023-06-07 13:15:00,99.55,101.25,99.55,100.5
2023-06-07 14:15:00,100.55,100.95,98.95,98.95
2023-06-07 15:15:00,99.0,99.0,98.4,98.4
2023-06-08 09:15:00,99.0,99.95,97.65,98.25
2023-06-08 10:15:00,98.4,99.35,98.4,99.35
2023-06-08 11:15:00,98.5,99.0,98.0,98.45
2023-06-08 12:15:00,98.45,98.7,97.75,98.0
2023-06-08 13:15:00,98.5,99.3,98.4,98.45
2023-06-08 14:15:00,98.4,99.15,98.05,98.2
2023-06-08 15:15:00,98.4,98.75,98.2,98.2
2023-06-09 09:15:00,99.0,99.4,98.35,98.55
2023-06-09 10:15:00,99.0,99.2,97.7,98.2
2023-06-09 11:15:00,98.15,99.0,97.85,98.5
2023-06-09 12:15:00,99.35,99.35,98.0,98.0
2023-06-09 13:15:00,97.9,98.0,95.5,95.9
2023-06-09 14:15:00,96.3,97.35,95.7,96.95
2023-06-09 15:15:00,97.15,97.25,95.7,96.75
2023-06-12 09:15:00,96.55,97.45,94.2,95.0
2023-06-12 10:15:00,95.0,97.0,95.0,96.2
2023-06-12 11:15:00,96.2,96.75,96.2,96.35
2023-06-12 12:15:00,96.1,96.5,95.6,95.6
2023-06-12 13:15:00,95.6,96.25,95.6,96.05
2023-06-12 14:15:00,95.8,96.5,95.05,96.0
2023-06-12 15:15:00,96.0,96.5,95.6,96.5
2023-06-13 09:15:00,96.0,96.35,95.3,96.0
2023-06-13 10:15:00,96.05,96.05,95.7,95.75
2023-06-13 11:15:00,95.75,95.75,95.6,95.75
2023-06-13 12:15:00,95.3,96.0,95.3,96.0
2023-06-13 13:15:00,95.65,95.65,95.65,95.65
2023-06-13 14:15:00,95.7,96.2,95.35,95.4
2023-06-13 15:15:00,95.85,96.0,95.35,95.9
2023-06-14 09:15:00,96.0,96.55,95.05,95.8
2023-06-14 10:15:00,95.25,95.85,95.25,95.85
2023-06-14 11:15:00,95.9,96.1,95.9,96.1
2023-06-14 12:15:00,96.4,96.5,95.35,95.55
2023-06-14 13:15:00,96.5,96.5,95.15,95.15
2023-06-14 14:15:00,95.25,96.15,95.25,96.05
2023-06-14 15:15:00,95.55,96.25,95.55,96.15
2023-06-15 09:15:00,95.95,96.0,85.55,94.15
2023-06-15 10:15:00,94.5,94.6,94.15,94.6
2023-06-15 11:15:00,94.15,95.05,94.15,95.05
2023-06-15 12:15:00,95.0,95.95,94.6,94.6
2023-06-15 13:15:00,95.3,95.3,94.65,94.65
2023-06-15 14:15:00,95.25,95.3,94.0,94.85
2023-06-15 15:15:00,94.85,94.9,93.25,93.25
2023-06-16 09:15:00,93.9,95.65,93.5,95.3
2023-06-16 10:15:00,95.9,95.9,95.2,95.55
2023-06-16 11:15:00,95.05,95.2,94.85,94.9
2023-06-16 12:15:00,94.55,95.35,94.35,94.45
2023-06-16 13:15:00,94.55,95.75,94.25,95.75
2023-06-16 14:15:00,95.0,95.0,94.0,94.1
2023-06-16 15:15:00,94.05,95.8,94.0,94.15
2023-06-19 09:15:00,94.25,95.35,94.25,95.25
2023-06-19 10:15:00,95.0,95.3,95.0,95.3
2023-06-19 11:15:00,95.3,101.35,95.3,96.95
2023-06-19 12:15:00,96.95,97.0,96.0,96.05
2023-06-19 13:15:00,96.65,96.85,95.55,96.25
2023-06-19 14:15:00,96.2,96.5,95.6,96.25
2023-06-19 15:15:00,96.75,97.5,96.75,97.0
