date,open,high,low,close
2023-06-01 09:15:00,412.15,414.85,406.45,408.85
2023-06-01 10:15:00,408.4,410.0,407.95,409.65
2023-06-01 11:15:00,409.95,410.0,408.85,410.0
2023-06-01 12:15:00,410.0,412.2,408.55,410.0
2023-06-01 13:15:00,410.0,410.0,409.0,410.0
2023-06-01 14:15:00,410.0,410.0,406.2,406.9
2023-06-01 15:15:00,406.9,406.9,402.65,403.9
2023-06-02 09:15:00,408.2,411.95,406.3,408.9
2023-06-02 10:15:00,408.4,408.8,404.35,407.35
2023-06-02 11:15:00,407.5,408.45,403.0,407.75
2023-06-02 12:15:00,407.75,410.25,407.35,410.25
2023-06-02 13:15:00,410.05,410.35,404.5,408.1
2023-06-02 14:15:00,408.25,409.95,406.55,409.95
2023-06-02 15:15:00,410.0,410.0,408.15,409.0
2023-06-05 09:15:00,412.3,420.0,409.15,419.0
2023-06-05 10:15:00,418.95,421.0,418.0,419.45
2023-06-05 11:15:00,419.5,426.0,418.3,425.05
2023-06-05 12:15:00,425.05,426.0,423.7,425.6
2023-06-05 13:15:00,425.8,431.4,425.0,426.7
2023-06-05 14:15:00,427.0,429.8,420.9,423.0
2023-06-05 15:15:00,422.75,423.2,419.15,419.9
2023-06-06 09:15:00,422.95,422.95,416.5,418.65
2023-06-06 10:15:00,418.65,420.5,417.0,420.5
2023-06-06 11:15:00,420.25,420.75,412.55,415.4
2023-06-06 12:15:00,415.4,418.05,415.0,416.15
2023-06-06 13:15:00,415.7,417.0,415.0,415.15
2023-06-06 14:15:00,415.15,419.5,415.15,417.55
2023-06-06 15:15:00,417.7,419.35,414.7,419.0
2023-06-07 09:15:00,417.25,427.0,417.25,419.65
2023-06-07 10:15:00,419.0,421.45,418.85,420.0
2023-06-07 11:15:00,420.0,420.8,419.1,420.0
2023-06-07 12:15:00,420.0,420.0,418.6,419.0
2023-06-07 13:15:00,418.7,419.6,416.15,419.55
2023-06-07 14:15:00,419.55,420.0,418.05,419.35
2023-06-07 15:15:00,418.9,419.5,416.2,417.0
2023-06-08 09:15:00,420.0,424.4,418.4,421.95
2023-06-08 10:15:00,421.55,427.95,420.3,427.6
2023-06-08 11:15:00,427.6,427.6,420.25,424.7
2023-06-08 12:15:00,424.7,427.5,418.25,420.0
2023-06-08 13:15:00,420.0,420.0,418.0,420.0
2023-06-08 14:15:00,420.0,424.0,419.25,420.5
2023-06-08 15:15:00,420.5,423.35,420.5,422.65
2023-06-09 09:15:00,421.05,423.85,411.1,413.3
2023-06-09 10:15:00,413.3,414.9,410.5,413.0
2023-06-09 11:15:00,413.0,415.0,412.65,414.9
2023-06-09 12:15:00,414.75,415.0,413.1,414.4
2023-06-09 13:15:00,414.4,414.95,413.05,413.05
2023-06-09 14:15:00,413.7,417.45,412.85,417.1
2023-06-09 15:15:00,417.05,418.0,412.3,416.9
2023-06-12 09:15:00,418.8,420.95,412.8,414.0
2023-06-12 10:15:00,414.6,416.95,414.25,415.05
2023-06-12 11:15:00,415.15,419.95,414.6,419.0
2023-06-12 12:15:00,418.5,419.2,415.45,415.9
2023-06-12 13:15:00,415.9,427.0,414.8,422.15
