date,open,high,low,close
2023-06-01 09:15:00,85.35,86.5,83.3,83.9
2023-06-01 10:15:00,83.9,85.3,83.8,84.35
2023-06-01 11:15:00,84.3,84.55,84.0,84.1
2023-06-01 12:15:00,84.1,85.15,84.0,84.95
2023-06-01 13:15:00,84.95,85.25,84.1,84.35
2023-06-01 14:15:00,84.35,84.4,84.1,84.3
2023-06-01 15:15:00,84.15,84.4,83.85,84.25
2023-06-02 09:15:00,84.7,85.8,84.0,84.7
2023-06-02 10:15:00,84.8,85.0,84.5,84.65
2023-06-02 11:15:00,84.7,85.0,84.6,84.95
2023-06-02 12:15:00,84.9,85.0,84.3,84.4
2023-06-02 13:15:00,84.4,84.4,83.25,83.4
2023-06-02 14:15:00,83.4,83.4,82.1,82.7
2023-06-02 15:15:00,82.65,83.0,82.5,83.0
2023-06-05 09:15:00,83.15,87.5,82.25,87.2
2023-06-05 10:15:00,87.2,88.85,86.3,88.55
2023-06-05 11:15:00,88.65,89.7,88.3,89.05
2023-06-05 12:15:00,89.1,89.3,88.5,88.75
2023-06-05 13:15:00,88.75,89.9,88.4,88.6
2023-06-05 14:15:00,88.6,88.8,87.8,88.25
2023-06-05 15:15:00,88.25,89.35,88.2,89.05
2023-06-06 09:15:00,89.2,89.35,87.35,88.75
2023-06-06 10:15:00,88.75,88.8,88.0,88.8
2023-06-06 11:15:00,88.6,90.2,88.15,88.5
2023-06-06 12:15:00,88.5,88.5,87.5,88.3
2023-06-06 13:15:00,88.2,88.8,88.0,88.5
2023-06-06 14:15:00,88.5,90.0,88.5,89.6
2023-06-06 15:15:00,89.55,89.9,89.35,89.6
2023-06-07 09:15:00,89.3,92.8,88.55,91.6
2023-06-07 10:15:00,91.6,91.95,91.4,91.5
2023-06-07 11:15:00,91.6,92.1,91.5,91.65
2023-06-07 12:15:00,91.7,92.2,91.1,91.2
2023-06-07 13:15:00,91.3,91.3,90.1,90.5
2023-06-07 14:15:00,90.5,90.5,89.4,89.5
2023-06-07 15:15:00,89.4,89.7,88.75,89.4
2023-06-08 09:15:00,89.5,90.85,88.35,89.0
2023-06-08 10:15:00,89.0,89.5,88.65,89.25
2023-06-08 11:15:00,89.15,89.3,87.4,87.9
2023-06-08 12:15:00,87.95,88.15,87.35,87.65
2023-06-08 13:15:00,87.55,88.2,87.1,87.25
2023-06-08 14:15:00,87.35,87.5,86.3,86.55
2023-06-08 15:15:00,86.55,87.5,86.5,87.45
2023-06-09 09:15:00,87.0,87.8,86.1,87.35
2023-06-09 10:15:00,87.45,87.7,87.25,87.55
2023-06-09 11:15:00,87.55,89.55,87.45,89.15
2023-06-09 12:15:00,89.15,89.9,88.55,88.7
2023-06-09 13:15:00,88.7,89.25,88.5,88.7
2023-06-09 14:15:00,88.7,89.35,88.2,89.2
2023-06-09 15:15:00,89.25,89.65,88.85,89.35
2023-06-12 09:15:00,89.6,89.85,88.5,89.55
2023-06-12 10:15:00,89.65,89.7,89.3,89.3
2023-06-12 11:15:00,89.4,90.3,89.25,89.35
2023-06-12 12:15:00,89.35,89.5,89.1,89.25
2023-06-12 13:15:00,89.25,89.9,89.25,89.6
2023-06-12 14:15:00,89.6,89.6,88.6,88.9
2023-06-12 15:15:00,88.9,89.25,88.7,88.7
2023-06-13 09:15:00,89.3,90.2,88.9,88.95
2023-06-13 10:15:00,89.0,89.3,88.25,89.0
2023-06-13 11:15:00,89.05,89.05,88.4,88.6
2023-06-13 12:15:00,88.6,88.6,88.0,88.15
2023-06-13 13:15:00,88.05,88.15,87.1,87.35
2023-06-13 14:15:00,87.3,87.4,86.5,86.65
2023-06-13 15:15:00,86.65,86.7,86.3,86.7
2023-06-14 09:15:00,86.75,88.25,86.2,88.05
2023-06-14 10:15:00,88.1,88.2,87.55,87.65
2023-06-14 11:15:00,87.6,89.4,87.55,89.1
2023-06-14 12:15:00,89.1,89.25,88.85,88.9
2023-06-14 13:15:00,88.9,89.1,88.25,88.25
2023-06-14 14:15:00,88.2,88.4,87.4,88.35
2023-06-14 15:15:00,88.3,88.5,87.55,87.7
2023-06-15 09:15:00,87.65,88.25,87.25,87.75
2023-06-15 10:15:00,87.75,87.8,87.15,87.25
2023-06-15 11:15:00,87.3,87.35,86.7,86.8
2023-06-15 12:15:00,86.85,87.2,86.8,86.9
2023-06-15 13:15:00,86.9,87.25,86.5,86.6
2023-06-15 14:15:00,86.65,86.9,86.3,86.6
2023-06-15 15:15:00,86.55,87.05,86.5,86.95
2023-06-16 09:15:00,87.35,90.6,87.05,90.6
2023-06-16 10:15:00,90.6,90.85,90.0,90.15
2023-06-16 11:15:00,90.15,91.2,90.0,91.1
2023-06-16 12:15:00,91.15,91.9,90.7,90.8
2023-06-16 13:15:00,90.8,91.05,90.4,90.5
2023-06-16 14:15:00,90.6,91.3,89.55,89.85
2023-06-16 15:15:00,89.8,89.9,88.0,88.5
2023-06-19 09:15:00,89.65,94.05,88.85,93.15
2023-06-19 10:15:00,93.2,94.3,92.4,92.8
