date,open,high,low,close
2023-06-01 09:15:00,79.05,79.8,78.85,79.45
2023-06-01 10:15:00,79.4,79.95,79.4,79.6
2023-06-01 11:15:00,79.6,79.95,79.2,79.5
2023-06-01 12:15:00,79.55,79.6,79.2,79.3
2023-06-01 13:15:00,79.3,79.45,79.05,79.25
2023-06-01 14:15:00,79.3,79.35,78.7,78.95
2023-06-01 15:15:00,79.0,79.1,78.65,79.05
2023-06-02 09:15:00,79.35,79.8,79.05,79.35
2023-06-02 10:15:00,79.3,79.75,79.25,79.55
2023-06-02 11:15:00,79.55,79.7,79.35,79.6
2023-06-02 12:15:00,79.6,79.7,79.45,79.65
2023-06-02 13:15:00,79.6,79.8,79.5,79.7
2023-06-02 14:15:00,79.75,80.5,79.65,80.4
2023-06-02 15:15:00,80.4,80.4,80.25,80.25
2023-06-05 09:15:00,80.95,81.25,80.4,80.75
2023-06-05 10:15:00,80.75,81.45,80.6,81.4
2023-06-05 11:15:00,81.4,81.4,80.7,81.1
2023-06-05 12:15:00,81.05,81.2,81.0,81.1
2023-06-05 13:15:00,81.15,81.4,80.8,80.9
2023-06-05 14:15:00,80.9,81.05,80.55,81.0
2023-06-05 15:15:00,80.95,81.0,80.85,80.9
2023-06-06 09:15:00,80.75,81.6,80.7,80.9
2023-06-06 10:15:00,80.8,80.85,80.3,80.5
2023-06-06 11:15:00,80.55,80.55,80.05,80.2
2023-06-06 12:15:00,80.2,80.4,80.05,80.35
2023-06-06 13:15:00,80.3,80.45,80.2,80.45
2023-06-06 14:15:00,80.45,80.5,80.25,80.35
2023-06-06 15:15:00,80.3,80.6,80.25,80.6
2023-06-07 09:15:00,80.8,80.95,79.95,80.6
2023-06-07 10:15:00,80.6,80.6,80.15,80.25
2023-06-07 11:15:00,80.3,80.3,80.15,80.3
2023-06-07 12:15:00,80.3,80.3,80.1,80.15
2023-06-07 13:15:00,80.15,80.35,80.05,80.35
2023-06-07 14:15:00,80.35,80.4,80.2,80.4
2023-06-07 15:15:00,80.4,80.95,80.35,80.9
2023-06-08 09:15:00,80.85,81.7,80.7,81.1
2023-06-08 10:15:00,81.05,81.6,81.05,81.15
2023-06-08 11:15:00,81.2,81.2,80.35,80.8
2023-06-08 12:15:00,80.8,81.65,80.7,81.5
2023-06-08 13:15:00,81.5,82.25,81.45,82.0
2023-06-08 14:15:00,82.0,82.05,80.95,80.95
2023-06-08 15:15:00,81.0,81.0,80.75,81.0
2023-06-09 09:15:00,81.2,81.4,80.6,81.3
2023-06-09 10:15:00,81.3,81.9,81.2,81.8
2023-06-09 11:15:00,81.75,81.85,81.65,81.7
