date,open,high,low,close
2023-06-01 09:15:00,106.6,107.85,106.6,107.3
2023-06-01 10:15:00,106.8,107.3,106.05,106.9
2023-06-01 11:15:00,106.95,107.75,106.5,106.75
2023-06-01 12:15:00,106.9,107.35,106.1,107.3
2023-06-01 13:15:00,106.15,106.85,106.1,106.65
2023-06-01 14:15:00,106.6,107.2,106.1,106.1
2023-06-01 15:15:00,106.1,106.6,106.05,106.1
2023-06-02 09:15:00,108.45,108.45,106.0,106.75
2023-06-02 10:15:00,106.75,106.85,106.25,106.3
2023-06-02 11:15:00,106.3,106.65,106.3,106.3
2023-06-02 12:15:00,106.3,106.65,106.3,106.3
2023-06-02 13:15:00,106.7,107.3,106.3,107.3
2023-06-02 14:15:00,107.0,107.5,107.0,107.45
2023-06-02 15:15:00,107.0,107.45,106.25,106.25
2023-06-05 09:15:00,107.0,110.0,107.0,108.4
2023-06-05 10:15:00,108.5,109.3,107.85,108.05
2023-06-05 11:15:00,108.85,108.95,107.05,107.85
2023-06-05 12:15:00,108.0,108.55,107.35,108.0
2023-06-05 13:15:00,107.45,108.0,107.2,107.3
2023-06-05 14:15:00,107.4,107.4,106.25,106.55
2023-06-05 15:15:00,106.75,106.9,106.35,106.5
2023-06-06 09:15:00,107.0,110.0,106.45,107.8
2023-06-06 10:15:00,108.0,108.7,107.15,107.75
2023-06-06 11:15:00,107.35,107.85,106.8,106.95
2023-06-06 12:15:00,106.6,107.6,106.6,107.6
2023-06-06 13:15:00,106.95,107.85,106.95,107.2
2023-06-06 14:15:00,107.25,108.7,106.8,108.45
2023-06-06 15:15:00,108.55,109.0,108.0,108.9
2023-06-07 09:15:00,111.0,114.8,109.15,112.4
2023-06-07 10:15:00,112.4,112.4,111.25,111.6
2023-06-07 11:15:00,111.6,112.5,111.25,111.55
2023-06-07 12:15:00,111.5,112.45,109.55,110.3
2023-06-07 13:15:00,110.2,111.0,109.8,110.35
2023-06-07 14:15:00,110.05,110.9,109.65,110.5
2023-06-07 15:15:00,110.3,110.85,109.75,110.5
2023-06-08 09:15:00,110.55,111.8,109.7,110.05
2023-06-08 10:15:00,110.0,110.5,109.25,109.35
2023-06-08 11:15:00,109.35,109.7,107.15,108.7
2023-06-08 12:15:00,108.3,108.5,108.0,108.05
2023-06-08 13:15:00,108.3,108.7,108.05,108.05
2023-06-08 14:15:00,107.9,108.0,107.5,107.5
2023-06-08 15:15:00,107.8,109.8,107.5,109.0
2023-06-09 09:15:00,108.0,108.95,107.5,108.25
2023-06-09 10:15:00,107.65,108.15,107.05,107.05
2023-06-09 11:15:00,109.15,109.15,107.15,107.15
2023-06-09 12:15:00,108.3,108.85,107.5,107.65
2023-06-09 13:15:00,107.25,107.95,107.2,107.2
