time,open,high,low,close
2023-07-17 09:15:00,71.15,71.85,71.15,71.4
2023-07-17 10:15:00,71.45,71.55,71.25,71.35
2023-07-17 11:15:00,71.35,71.95,71.25,71.55
2023-07-17 12:15:00,71.55,71.55,71.4,71.5
2023-07-17 13:15:00,71.5,71.6,71.2,71.3
2023-07-17 14:15:00,71.3,71.55,71.2,71.2
2023-07-17 15:15:00,71.15,71.3,71.05,71.2
2023-07-18 09:15:00,71.3,71.75,70.9,71.2
2023-07-18 10:15:00,71.2,71.65,70.8,70.9
2023-07-18 11:15:00,70.9,70.9,70.5,70.65
2023-07-18 12:15:00,70.65,71.2,70.6,71.1
2023-07-18 13:15:00,71.15,71.15,70.6,70.75
2023-07-18 14:15:00,70.75,71.0,70.5,70.9
2023-07-18 15:15:00,70.9,70.95,70.6,70.65
2023-07-19 09:15:00,71.3,72.9,71.05,72.0
2023-07-19 10:15:00,71.95,72.3,71.65,71.8
2023-07-19 11:15:00,71.75,72.25,71.6,72.05
2023-07-19 12:15:00,72.05,72.3,71.8,71.85
2023-07-19 13:15:00,71.85,71.95,71.7,71.7
2023-07-19 14:15:00,71.7,71.8,71.3,71.35
2023-07-19 15:15:00,71.35,71.4,71.1,71.2
2023-07-20 09:15:00,71.45,71.6,71.25,71.45
2023-07-20 10:15:00,71.4,71.7,71.3,71.4
2023-07-20 11:15:00,71.4,71.45,71.1,71.35
2023-07-20 12:15:00,71.35,71.9,71.2,71.45
2023-07-20 13:15:00,71.45,71.65,71.25,71.3
2023-07-20 14:15:00,71.3,71.35,71.1,71.2
2023-07-20 15:15:00,71.25,71.25,71.0,71.2
2023-07-21 09:15:00,71.05,71.3,70.65,70.65
2023-07-21 10:15:00,70.65,70.9,70.65,70.75
2023-07-21 11:15:00,70.75,71.0,70.7,70.8
2023-07-21 12:15:00,70.8,70.9,70.75,70.8
2023-07-21 13:15:00,70.8,71.65,70.8,71.1
2023-07-21 14:15:00,71.1,71.2,70.8,70.85
2023-07-21 15:15:00,70.85,71.0,70.7,70.75
2023-07-24 09:15:00,71.1,71.45,70.9,71.35
2023-07-24 10:15:00,71.35,71.45,71.0,71.1
2023-07-24 11:15:00,71.1,71.6,70.9,71.05
2023-07-24 12:15:00,71.05,71.1,70.9,71.0
2023-07-24 13:15:00,71.0,71.1,70.9,71.0
2023-07-24 14:15:00,71.0,71.05,70.7,70.85
2023-07-24 15:15:00,70.85,70.95,70.3,70.55
2023-07-25 09:15:00,70.7,70.95,70.5,70.65
2023-07-25 10:15:00,70.65,70.7,70.3,70.4
2023-07-25 11:15:00,70.4,70.4,70.15,70.3
2023-07-25 12:15:00,70.3,70.5,70.25,70.3
2023-07-25 13:15:00,70.35,70.4,70.15,70.25
2023-07-25 14:15:00,70.25,70.4,70.1,70.25
2023-07-25 15:15:00,70.25,70.35,70.0,70.0
2023-07-26 09:15:00,70.35,70.9,70.35,70.65
2023-07-26 10:15:00,70.65,72.2,70.55,71.65
2023-07-26 11:15:00,71.7,71.85,71.3,71.7
2023-07-26 12:15:00,71.7,71.85,71.2,71.3
2023-07-26 13:15:00,71.3,71.4,71.2,71.3
2023-07-26 14:15:00,71.3,71.7,71.0,71.1
2023-07-26 15:15:00,71.1,71.2,70.85,71.05
2023-07-27 09:15:00,71.5,72.0,71.25,71.4
2023-07-27 10:15:00,71.4,71.6,71.3,71.35
2023-07-27 11:15:00,71.35,71.45,71.15,71.45
2023-07-27 12:15:00,71.45,71.5,71.2,71.25
2023-07-27 13:15:00,71.2,71.6,71.15,71.45
2023-07-27 14:15:00,71.45,71.5,71.0,71.35
2023-07-27 15:15:00,71.35,71.5,71.3,71.5
2023-07-28 09:15:00,71.5,71.5,70.8,70.9
2023-07-28 10:15:00,70.9,71.25,70.7,71.2
2023-07-28 11:15:00,71.2,71.2,70.8,70.85
2023-07-28 12:15:00,70.85,71.0,70.75,70.85
2023-07-28 13:15:00,70.85,70.9,70.5,70.75
2023-07-28 14:15:00,70.75,70.85,70.6,70.8
2023-07-28 15:15:00,70.8,70.9,70.65,70.75
2023-07-31 09:15:00,71.05,71.65,70.95,71.25
2023-07-31 10:15:00,71.25,71.6,71.2,71.3
2023-07-31 11:15:00,71.3,72.2,71.25,71.45
2023-07-31 12:15:00,71.45,71.85,71.45,71.75
2023-07-31 13:15:00,71.75,71.85,71.45,71.55
2023-07-31 14:15:00,71.55,71.65,71.4,71.45
2023-07-31 15:15:00,71.45,71.55,71.3,71.4
2023-08-01 09:15:00,71.8,72.9,71.65,72.2
2023-08-01 10:15:00,72.2,72.4,71.8,72.05
2023-08-01 11:15:00,72.05,72.6,71.85,72.2
2023-08-01 12:15:00,72.2,72.2,71.8,71.85
2023-08-01 13:15:00,71.85,72.05,71.8,71.9
2023-08-01 14:15:00,71.9,72.35,71.75,72.05
2023-08-01 15:15:00,72.05,72.1,71.75,71.8
2023-08-02 09:15:00,72.25,72.75,72.05,72.5
2023-08-02 10:15:00,72.5,72.5,71.35,71.7
2023-08-02 11:15:00,71.7,71.8,70.8,71.2
2023-08-02 12:15:00,71.2,71.4,70.9,71.0
2023-08-02 13:15:00,70.9,71.0,70.1,70.1
2023-08-02 14:15:00,70.15,71.2,70.05,71.2
2023-08-02 15:15:00,71.2,71.2,70.85,70.9
2023-08-03 09:15:00,71.25,71.25,69.8,70.2
2023-08-03 10:15:00,70.2,70.4,69.8,70.3
2023-08-03 11:15:00,70.3,70.6,70.0,70.05
2023-08-03 12:15:00,70.05,70.1,69.8,69.95
