time,open,high,low,close
2023-07-17 09:15:00,49.45,49.45,48.7,48.8
2023-07-17 10:15:00,48.8,48.95,48.7,48.75
2023-07-17 11:15:00,48.8,49.05,48.75,48.9
2023-07-17 12:15:00,48.9,48.95,48.7,48.8
2023-07-17 13:15:00,48.8,48.8,48.5,48.65
2023-07-17 14:15:00,48.65,49.15,48.5,49.05
2023-07-17 15:15:00,49.05,49.1,48.6,49.0
2023-07-18 09:15:00,49.1,49.4,48.75,48.95
2023-07-18 10:15:00,48.95,49.0,48.55,48.7
2023-07-18 11:15:00,48.7,48.85,48.4,48.5
2023-07-18 12:15:00,48.5,48.7,48.4,48.6
2023-07-18 13:15:00,48.6,48.75,47.85,48.0
2023-07-18 14:15:00,48.15,48.35,48.05,48.3
2023-07-18 15:15:00,48.3,48.35,48.2,48.2
2023-07-19 09:15:00,48.2,48.55,48.1,48.4
2023-07-19 10:15:00,48.4,48.45,48.3,48.45
2023-07-19 11:15:00,48.45,48.45,47.9,48.0
2023-07-19 12:15:00,48.0,49.1,47.85,48.6
2023-07-19 13:15:00,48.6,49.15,48.45,48.75
2023-07-19 14:15:00,48.75,48.85,48.55,48.65
2023-07-19 15:15:00,48.65,48.7,48.25,48.25
2023-07-20 09:15:00,48.55,48.85,48.1,48.85
2023-07-20 10:15:00,48.85,49.5,48.7,49.1
2023-07-20 11:15:00,49.1,49.35,48.95,49.1
2023-07-20 12:15:00,49.05,49.45,49.05,49.15
2023-07-20 13:15:00,49.15,49.35,48.9,49.25
2023-07-20 14:15:00,49.25,49.25,48.55,48.9
2023-07-20 15:15:00,48.9,49.2,48.45,48.9
2023-07-21 09:15:00,49.2,49.55,48.95,49.0
2023-07-21 10:15:00,49.0,49.1,48.85,49.0
2023-07-21 11:15:00,49.0,49.8,48.9,49.75
2023-07-21 12:15:00,49.75,50.75,49.55,50.75
2023-07-21 13:15:00,50.75,51.5,50.45,50.85
2023-07-21 14:15:00,50.85,51.0,50.2,50.5
2023-07-21 15:15:00,50.4,50.55,49.95,50.0
2023-07-24 09:15:00,50.7,51.9,49.95,50.6
2023-07-24 10:15:00,50.6,58.35,50.6,56.45
2023-07-24 11:15:00,56.5,56.5,53.3,54.1
2023-07-24 12:15:00,54.0,54.45,53.7,54.0
2023-07-24 13:15:00,54.0,54.9,52.85,54.15
2023-07-24 14:15:00,54.15,54.75,53.45,54.0
2023-07-24 15:15:00,54.0,54.0,53.1,53.35
2023-07-25 09:15:00,54.75,54.75,53.6,53.6
2023-07-25 10:15:00,53.6,53.7,52.65,52.8
2023-07-25 11:15:00,52.8,53.5,52.75,52.85
2023-07-25 12:15:00,52.85,53.45,52.8,52.85
2023-07-25 13:15:00,52.85,53.05,52.7,52.75
2023-07-25 14:15:00,52.75,53.75,52.15,53.5
2023-07-25 15:15:00,53.5,53.7,52.75,53.05
2023-07-26 09:15:00,53.2,55.45,52.8,54.35
2023-07-26 10:15:00,54.35,54.7,53.9,54.5
2023-07-26 11:15:00,54.5,54.65,54.1,54.55
2023-07-26 12:15:00,54.6,54.65,54.05,54.35
2023-07-26 13:15:00,54.35,54.45,54.05,54.3
2023-07-26 14:15:00,54.2,54.35,53.8,54.05
2023-07-26 15:15:00,54.05,54.35,53.95,54.15
2023-07-27 09:15:00,54.5,55.0,53.45,54.7
2023-07-27 10:15:00,54.7,54.8,54.5,54.5
2023-07-27 11:15:00,54.5,54.65,54.35,54.55
2023-07-27 12:15:00,54.55,54.6,54.4,54.5
2023-07-27 13:15:00,54.5,54.6,54.25,54.5
2023-07-27 14:15:00,54.5,54.55,54.3,54.45
2023-07-27 15:15:00,54.45,54.65,54.3,54.5
2023-07-28 09:15:00,54.5,55.25,54.1,54.75
2023-07-28 10:15:00,54.75,54.85,54.4,54.85
2023-07-28 11:15:00,54.85,55.0,54.4,54.65
2023-07-28 12:15:00,54.65,54.8,54.55,54.6
2023-07-28 13:15:00,54.6,54.75,54.6,54.6
2023-07-28 14:15:00,54.6,55.15,54.6,55.15
2023-07-28 15:15:00,55.1,55.2,55.05,55.15
2023-07-31 09:15:00,56.1,57.5,56.0,56.5
2023-07-31 10:15:00,56.5,56.85,56.1,56.75
2023-07-31 11:15:00,56.75,56.8,56.35,56.65
2023-07-31 12:15:00,56.75,57.45,56.5,57.35
2023-07-31 13:15:00,57.35,61.25,57.25,60.0
2023-07-31 14:15:00,60.0,60.8,59.95,60.4
2023-07-31 15:15:00,60.35,60.35,59.3,59.85
2023-08-01 09:15:00,60.45,63.4,60.3,61.6
2023-08-01 10:15:00,61.6,65.2,61.5,63.3
2023-08-01 11:15:00,63.3,63.85,63.2,63.4
2023-08-01 12:15:00,63.4,63.7,63.0,63.45
2023-08-01 13:15:00,63.5,64.1,63.35,64.0
2023-08-01 14:15:00,64.0,64.25,63.65,63.85
2023-08-01 15:15:00,63.85,64.0,63.55,63.7
2023-08-02 09:15:00,64.25,69.15,63.7,67.9
2023-08-02 10:15:00,67.9,68.1,66.25,66.7
2023-08-02 11:15:00,66.7,67.7,66.45,67.35
2023-08-02 12:15:00,67.35,67.5,65.95,66.05
2023-08-02 13:15:00,66.1,66.1,64.8,64.85
2023-08-02 14:15:00,64.9,65.45,64.5,65.0
