time,open,high,low,close
2023-07-17 09:15:00,27.4,27.85,27.3,27.7
2023-07-17 10:15:00,27.7,27.7,27.05,27.25
2023-07-17 11:15:00,27.25,27.5,26.75,26.8
2023-07-17 12:15:00,26.95,27.4,26.7,27.15
2023-07-17 13:15:00,27.15,28.9,27.05,28.5
2023-07-17 14:15:00,28.5,30.05,28.35,30.05
2023-07-17 15:15:00,30.05,30.05,30.05,30.05
2023-07-18 09:15:00,30.0,30.0,28.25,28.85
2023-07-18 10:15:00,29.0,29.4,28.8,29.15
2023-07-18 11:15:00,29.15,29.35,27.65,27.85
2023-07-18 12:15:00,27.85,28.3,27.45,27.8
2023-07-18 13:15:00,27.8,28.5,27.7,28.3
2023-07-18 14:15:00,28.3,28.5,27.85,28.3
2023-07-18 15:15:00,28.3,28.45,28.2,28.3
2023-07-19 09:15:00,28.55,28.95,27.95,28.0
2023-07-19 10:15:00,28.0,28.05,27.4,27.45
2023-07-19 11:15:00,27.35,28.15,27.1,28.15
2023-07-19 12:15:00,28.15,28.3,27.95,28.15
2023-07-19 13:15:00,28.15,28.6,28.0,28.55
2023-07-19 14:15:00,28.55,28.9,28.25,28.8
2023-07-19 15:15:00,28.75,29.1,28.75,28.8
2023-07-20 09:15:00,29.15,29.75,28.8,28.8
2023-07-20 10:15:00,28.8,29.2,28.75,28.8
2023-07-20 11:15:00,28.8,29.4,28.75,29.35
2023-07-20 12:15:00,29.35,31.4,29.25,31.35
2023-07-20 13:15:00,31.35,31.4,29.5,30.05
2023-07-20 14:15:00,30.05,30.35,29.5,29.85
2023-07-20 15:15:00,29.75,30.0,29.5,30.0
2023-07-21 09:15:00,29.7,30.9,29.55,30.85
2023-07-21 10:15:00,30.85,31.65,30.85,31.5
2023-07-21 11:15:00,31.5,32.5,31.35,32.45
2023-07-21 12:15:00,32.5,32.55,31.9,31.95
2023-07-21 13:15:00,31.95,32.75,31.95,32.4
2023-07-21 14:15:00,32.4,32.7,32.35,32.65
2023-07-21 15:15:00,32.65,32.75,32.65,32.75
2023-07-24 09:15:00,33.3,34.8,32.0,33.8
2023-07-24 10:15:00,33.8,34.0,33.3,33.8
