date,open,high,low,close
2023-06-01 09:15:00,60.15,60.15,59.7,59.8
2023-06-01 10:15:00,59.9,59.95,59.7,59.9
2023-06-01 11:15:00,59.8,59.9,59.8,59.85
2023-06-01 12:15:00,59.85,60.15,59.6,60.0
2023-06-01 13:15:00,60.1,60.95,60.05,60.5
2023-06-01 14:15:00,60.5,61.05,60.3,60.7
2023-06-01 15:15:00,60.6,61.9,60.6,61.5
2023-06-02 09:15:00,61.95,62.95,61.55,62.6
2023-06-02 10:15:00,62.65,62.75,62.1,62.5
2023-06-02 11:15:00,62.5,62.6,62.3,62.5
2023-06-02 12:15:00,62.55,62.85,62.5,62.75
2023-06-02 13:15:00,62.75,63.6,62.75,63.3
2023-06-02 14:15:00,63.3,63.95,63.2,63.25
2023-06-02 15:15:00,63.25,63.25,62.7,63.0
2023-06-05 09:15:00,62.8,63.35,62.55,62.85
2023-06-05 10:15:00,62.85,64.1,62.75,63.55
2023-06-05 11:15:00,63.5,63.75,63.4,63.6
2023-06-05 12:15:00,63.6,63.65,63.3,63.4
2023-06-05 13:15:00,63.5,63.5,63.3,63.45
2023-06-05 14:15:00,63.4,63.6,63.2,63.35
2023-06-05 15:15:00,63.4,63.4,63.1,63.2
2023-06-06 09:15:00,63.25,63.5,63.0,63.1
2023-06-06 10:15:00,63.1,63.8,63.0,63.45
2023-06-06 11:15:00,63.5,63.85,63.4,63.65
2023-06-06 12:15:00,63.65,63.8,63.5,63.65
2023-06-06 13:15:00,63.8,63.9,63.55,63.55
2023-06-06 14:15:00,63.5,63.8,63.5,63.65
2023-06-06 15:15:00,63.65,63.75,63.45,63.5
2023-06-07 09:15:00,63.5,63.95,63.4,63.5
2023-06-07 10:15:00,63.6,63.65,63.45,63.6
2023-06-07 11:15:00,63.65,63.65,63.45,63.5
2023-06-07 12:15:00,63.45,63.6,63.4,63.6
2023-06-07 13:15:00,63.5,64.2,63.5,63.75
2023-06-07 14:15:00,63.75,64.15,63.5,64.15
2023-06-07 15:15:00,64.15,64.25,64.0,64.1
2023-06-08 09:15:00,64.4,64.4,63.65,63.85
2023-06-08 10:15:00,63.8,63.85,63.7,63.7
2023-06-08 11:15:00,63.85,63.85,62.9,63.0
2023-06-08 12:15:00,63.05,63.6,63.0,63.35
2023-06-08 13:15:00,63.35,63.45,63.25,63.3
2023-06-08 14:15:00,63.4,63.45,63.15,63.25
2023-06-08 15:15:00,63.4,63.45,63.15,63.4
2023-06-09 09:15:00,63.2,63.75,63.05,63.3
2023-06-09 10:15:00,63.3,63.3,63.05,63.2
2023-06-09 11:15:00,63.1,63.45,63.05,63.3
2023-06-09 12:15:00,63.35,63.45,63.3,63.4
2023-06-09 13:15:00,63.3,63.4,63.2,63.2
2023-06-09 14:15:00,63.25,63.35,63.2,63.3
2023-06-09 15:15:00,63.2,63.3,63.05,63.3
2023-06-12 09:15:00,63.1,63.25,62.9,63.0
2023-06-12 10:15:00,63.0,63.05,62.2,62.45
2023-06-12 11:15:00,62.35,62.5,62.0,62.3
2023-06-12 12:15:00,62.3,62.3,62.1,62.3
2023-06-12 13:15:00,62.25,62.3,62.05,62.05
2023-06-12 14:15:00,62.15,62.3,62.0,62.0
2023-06-12 15:15:00,62.0,62.2,61.9,62.05
2023-06-13 09:15:00,62.45,62.5,62.0,62.3
2023-06-13 10:15:00,62.2,62.2,61.9,62.1
2023-06-13 11:15:00,62.1,62.15,61.9,62.0
2023-06-13 12:15:00,62.1,62.15,62.0,62.05
2023-06-13 13:15:00,62.0,62.2,62.0,62.1
2023-06-13 14:15:00,62.1,62.15,61.9,61.9
2023-06-13 15:15:00,61.9,62.0,61.9,62.0
2023-06-14 09:15:00,62.3,62.35,61.8,62.2
2023-06-14 10:15:00,62.2,62.5,62.1,62.3
2023-06-14 11:15:00,62.35,62.45,62.2,62.3
2023-06-14 12:15:00,62.2,62.35,61.85,61.85
2023-06-14 13:15:00,62.0,62.05,61.65,61.7
2023-06-14 14:15:00,61.7,61.85,61.6,61.75
2023-06-14 15:15:00,61.75,62.1,61.65,62.0
2023-06-15 09:15:00,62.15,62.2,61.4,61.6
2023-06-15 10:15:00,61.5,61.9,61.5,61.75
2023-06-15 11:15:00,61.75,61.8,61.55,61.8
2023-06-15 12:15:00,61.8,61.8,61.6,61.65
2023-06-15 13:15:00,61.65,61.75,61.65,61.65
2023-06-15 14:15:00,61.65,61.7,61.4,61.55
2023-06-15 15:15:00,61.55,61.6,61.4,61.6
2023-06-16 09:15:00,61.4,61.95,61.3,61.95
2023-06-16 10:15:00,61.9,62.0,61.7,61.9
2023-06-16 11:15:00,61.85,62.5,61.7,62.45
2023-06-16 12:15:00,62.45,62.5,62.1,62.2
2023-06-16 13:15:00,62.2,62.45,62.05,62.45
2023-06-16 14:15:00,62.35,62.45,62.1,62.2
2023-06-16 15:15:00,62.1,62.45,62.1,62.45
2023-06-19 09:15:00,62.4,62.75,62.25,62.55
2023-06-19 10:15:00,62.6,62.7,62.55,62.7
2023-06-19 11:15:00,62.65,62.75,62.6,62.65
2023-06-19 12:15:00,62.65,63.4,62.65,63.3
2023-06-19 13:15:00,63.25,63.3,63.0,63.2
2023-06-19 14:15:00,63.05,63.5,63.05,63.3
2023-06-19 15:15:00,63.25,63.35,62.95,63.35
2023-06-20 09:15:00,63.05,63.65,63.05,63.5
2023-06-20 10:15:00,63.4,63.4,63.05,63.05
2023-06-20 11:15:00,63.15,63.15,63.0,63.0
2023-06-20 12:15:00,63.1,63.1,62.8,62.8
2023-06-20 13:15:00,62.85,62.9,62.65,62.8
2023-06-20 14:15:00,62.8,62.8,62.5,62.75
2023-06-20 15:15:00,62.65,62.9,62.5,62.85
2023-06-21 09:15:00,62.5,63.15,62.5,62.95
2023-06-21 10:15:00,62.8,62.95,62.65,62.65
2023-06-21 11:15:00,62.65,62.7,62.2,62.45
2023-06-21 12:15:00,62.45,62.45,62.25,62.45
2023-06-21 13:15:00,62.4,62.5,62.25,62.45
2023-06-21 14:15:00,62.45,62.45,62.15,62.2
2023-06-21 15:15:00,62.15,62.3,62.05,62.3
2023-06-22 09:15:00,62.35,62.75,62.15,62.6
2023-06-22 10:15:00,62.55,62.8,62.5,62.6
2023-06-22 11:15:00,62.6,62.7,62.45,62.45
2023-06-22 12:15:00,62.4,62.4,62.1,62.15
2023-06-22 13:15:00,62.1,62.25,62.1,62.15
2023-06-22 14:15:00,62.1,62.25,62.05,62.25
2023-06-22 15:15:00,62.25,62.3,62.2,62.3
2023-06-23 09:15:00,62.25,62.35,61.9,62.0
2023-06-23 10:15:00,61.95,62.05,61.85,61.9
2023-06-23 11:15:00,61.9,62.0,61.8,61.95
2023-06-23 12:15:00,61.8,61.95,61.75,61.85
2023-06-23 13:15:00,61.85,62.0,61.55,61.9
2023-06-23 14:15:00,61.9,61.95,61.7,61.9
2023-06-23 15:15:00,61.95,62.0,61.8,62.0
2023-06-26 09:15:00,62.0,62.0,61.6,61.7
2023-06-26 10:15:00,61.65,61.65,61.45,61.6
2023-06-26 11:15:00,61.6,61.65,61.45,61.55
2023-06-26 12:15:00,61.55,61.6,61.35,61.4
2023-06-26 13:15:00,61.5,61.55,61.4,61.55
2023-06-26 14:15:00,61.55,61.6,61.4,61.4
2023-06-26 15:15:00,61.45,61.55,61.4,61.55
2023-06-27 09:15:00,61.45,61.85,61.45,61.8
2023-06-27 10:15:00,61.8,61.8,61.6,61.7
2023-06-27 11:15:00,61.7,61.75,61.5,61.55
2023-06-27 12:15:00,61.6,61.6,61.45,61.5
2023-06-27 13:15:00,61.55,61.65,61.45,61.5
2023-06-27 14:15:00,61.45,61.5,61.3,61.4
2023-06-27 15:15:00,61.4,61.5,61.3,61.45
2023-06-28 09:15:00,61.05,61.75,61.05,61.45
2023-06-28 10:15:00,61.35,61.45,61.25,61.4
2023-06-28 11:15:00,61.3,61.4,61.1,61.15
2023-06-28 12:15:00,61.15,61.2,61.05,61.2
2023-06-28 13:15:00,61.1,61.2,61.1,61.2
2023-06-28 14:15:00,61.2,61.2,61.0,61.05
2023-06-28 15:15:00,61.1,61.2,61.0,61.0
2023-06-30 09:15:00,60.7,61.5,60.7,61.3
2023-06-30 10:15:00,61.3,61.45,61.15,61.25
