date,open,high,low,close
2023-06-01 09:15:00,153.25,153.4,152.0,152.15
2023-06-01 10:15:00,152.15,152.4,151.7,152.2
2023-06-01 11:15:00,152.2,153.1,152.1,152.65
2023-06-01 12:15:00,152.65,153.85,152.55,153.65
2023-06-01 13:15:00,153.65,153.95,152.6,152.6
2023-06-01 14:15:00,152.6,153.0,152.25,152.35
2023-06-01 15:15:00,152.4,152.5,151.75,152.0
2023-06-02 09:15:00,152.3,156.3,152.3,155.9
2023-06-02 10:15:00,156.0,156.65,154.4,155.3
2023-06-02 11:15:00,155.35,155.45,154.9,155.15
2023-06-02 12:15:00,155.0,156.35,154.8,156.1
2023-06-02 13:15:00,156.2,156.2,155.4,155.65
2023-06-02 14:15:00,155.5,155.9,154.9,155.1
2023-06-02 15:15:00,155.1,155.4,154.9,155.3
2023-06-05 09:15:00,157.25,158.65,156.6,157.9
2023-06-05 10:15:00,157.85,158.6,157.6,158.35
2023-06-05 11:15:00,158.4,160.55,158.25,159.95
2023-06-05 12:15:00,159.85,160.7,159.6,160.3
2023-06-05 13:15:00,160.3,161.75,160.0,161.0
2023-06-05 14:15:00,161.1,161.45,160.4,160.65
2023-06-05 15:15:00,160.45,160.85,160.35,160.7
2023-06-06 09:15:00,161.05,162.6,159.5,161.15
2023-06-06 10:15:00,161.05,161.2,159.05,159.2
2023-06-06 11:15:00,159.15,160.15,158.7,160.1
2023-06-06 12:15:00,160.05,161.15,160.0,160.8
2023-06-06 13:15:00,161.25,161.8,161.0,161.25
2023-06-06 14:15:00,161.3,162.0,161.15,161.6
2023-06-06 15:15:00,161.6,161.85,161.1,161.5
2023-06-07 09:15:00,161.95,163.5,161.15,162.3
2023-06-07 10:15:00,162.3,162.6,161.6,162.15
2023-06-07 11:15:00,162.25,162.5,161.55,161.75
2023-06-07 12:15:00,161.8,161.85,161.25,161.25
2023-06-07 13:15:00,161.3,161.5,161.05,161.25
2023-06-07 14:15:00,161.35,161.9,161.05,161.35
2023-06-07 15:15:00,161.35,161.45,160.75,161.1
2023-06-08 09:15:00,162.0,162.6,161.4,161.8
2023-06-08 10:15:00,161.8,163.2,161.8,162.85
2023-06-08 11:15:00,162.95,162.95,159.55,160.35
2023-06-08 12:15:00,160.3,160.9,159.85,160.3
2023-06-08 13:15:00,160.25,160.85,159.7,160.0
2023-06-08 14:15:00,160.0,160.1,158.8,159.1
2023-06-08 15:15:00,159.15,159.7,158.85,159.4
2023-06-09 09:15:00,159.45,160.7,158.3,160.5
2023-06-09 10:15:00,160.6,161.8,160.45,160.65
2023-06-09 11:15:00,160.7,160.8,159.75,160.5
