date,open,high,low,close
2023-06-01 09:15:00,179.75,181.5,179.75,181.5
2023-06-01 10:15:00,181.8,183.75,181.4,182.05
2023-06-01 11:15:00,182.5,182.95,181.05,181.8
2023-06-01 12:15:00,182.8,182.8,181.5,181.75
2023-06-01 13:15:00,181.8,181.9,180.6,181.0
2023-06-01 14:15:00,180.35,183.6,180.35,183.25
2023-06-01 15:15:00,183.0,183.6,182.1,182.1
2023-06-02 09:15:00,186.0,186.0,182.5,182.6
2023-06-02 10:15:00,182.9,183.2,181.6,182.5
2023-06-02 11:15:00,182.6,183.4,182.2,183.1
2023-06-02 12:15:00,183.05,183.2,182.1,182.8
2023-06-02 13:15:00,182.8,182.8,182.15,182.4
2023-06-02 14:15:00,182.15,183.4,181.0,181.75
2023-06-02 15:15:00,181.5,182.85,181.0,182.35
2023-06-05 09:15:00,181.85,185.7,180.35,182.9
2023-06-05 10:15:00,182.75,183.6,182.1,183.6
2023-06-05 11:15:00,183.55,185.65,182.9,185.65
2023-06-05 12:15:00,185.65,204.75,185.0,198.35
2023-06-05 13:15:00,199.1,200.25,195.05,197.45
2023-06-05 14:15:00,197.45,200.0,196.05,198.1
2023-06-05 15:15:00,198.0,198.9,197.2,197.25
2023-06-06 09:15:00,199.75,202.9,194.75,198.5
2023-06-06 10:15:00,198.1,198.9,197.5,197.5
2023-06-06 11:15:00,196.75,198.75,196.0,198.5
2023-06-06 12:15:00,198.5,198.5,197.4,198.3
2023-06-06 13:15:00,198.8,199.65,197.8,198.7
2023-06-06 14:15:00,197.5,199.0,196.7,197.55
2023-06-06 15:15:00,198.95,198.95,197.0,197.25
2023-06-07 09:15:00,199.9,199.9,196.45,196.95
2023-06-07 10:15:00,196.8,196.9,195.0,195.5
2023-06-07 11:15:00,195.5,197.95,195.05,196.4
2023-06-07 12:15:00,196.05,196.5,195.95,196.0
2023-06-07 13:15:00,195.95,195.95,188.65,195.0
2023-06-07 14:15:00,196.3,197.85,195.5,196.95
2023-06-07 15:15:00,197.0,197.3,196.5,196.9
2023-06-08 09:15:00,197.0,203.4,197.0,199.1
2023-06-08 10:15:00,199.05,201.1,198.95,200.1
2023-06-08 11:15:00,199.5,200.7,198.0,198.2
2023-06-08 12:15:00,198.05,199.4,198.05,198.4
2023-06-08 13:15:00,198.3,198.9,198.05,198.3
2023-06-08 14:15:00,197.9,198.8,197.5,198.0
2023-06-08 15:15:00,198.1,198.1,195.5,197.0
2023-06-09 09:15:00,197.55,197.55,195.2,196.0
2023-06-09 10:15:00,196.65,196.65,195.7,196.0
2023-06-09 11:15:00,196.0,196.0,193.45,193.45
2023-06-09 12:15:00,193.15,193.85,191.45,193.5
2023-06-09 13:15:00,193.4,193.7,192.5,192.5
2023-06-09 14:15:00,192.6,192.9,190.3,191.6
2023-06-09 15:15:00,191.55,191.9,184.95,187.0
2023-06-12 09:15:00,189.5,190.7,187.35,188.55
2023-06-12 10:15:00,189.0,189.95,187.6,188.55
2023-06-12 11:15:00,188.95,188.95,185.1,186.9
2023-06-12 12:15:00,186.9,188.2,186.9,187.85
2023-06-12 13:15:00,188.0,188.7,187.55,187.95
2023-06-12 14:15:00,187.95,188.95,185.2,185.6
2023-06-12 15:15:00,185.5,185.8,184.5,185.05
2023-06-13 09:15:00,187.4,193.55,186.3,192.5
2023-06-13 10:15:00,192.5,194.4,192.05,192.75
2023-06-13 11:15:00,192.05,195.45,192.05,195.1
2023-06-13 12:15:00,194.7,195.45,194.15,194.55
2023-06-13 13:15:00,194.5,194.5,191.9,193.15
2023-06-13 14:15:00,192.6,194.35,190.5,193.0
2023-06-13 15:15:00,193.0,193.9,191.85,191.9
2023-06-14 09:15:00,194.0,194.4,191.1,191.95
2023-06-14 10:15:00,190.6,193.6,190.6,193.6
2023-06-14 11:15:00,193.6,202.0,193.05,198.8
2023-06-14 12:15:00,199.0,200.15,196.65,197.6
2023-06-14 13:15:00,197.5,197.5,195.8,197.0
2023-06-14 14:15:00,197.15,197.15,195.25,196.25
2023-06-14 15:15:00,195.5,197.8,195.5,196.0
2023-06-15 09:15:00,196.35,202.85,195.55,199.25
2023-06-15 10:15:00,199.25,206.7,198.5,201.5
2023-06-15 11:15:00,202.6,203.8,200.7,202.1
2023-06-15 12:15:00,202.55,206.9,202.0,203.0
2023-06-15 13:15:00,203.5,203.95,202.35,202.95
2023-06-15 14:15:00,203.0,208.35,202.0,205.45
2023-06-15 15:15:00,205.15,205.8,202.0,203.5
2023-06-16 09:15:00,206.8,216.0,206.8,213.15
2023-06-16 10:15:00,213.5,219.8,213.5,214.05
2023-06-16 11:15:00,214.6,217.4,213.5,213.6
2023-06-16 12:15:00,213.95,215.45,213.15,213.15
2023-06-16 13:15:00,213.15,215.0,212.35,212.35
2023-06-16 14:15:00,212.7,216.15,211.0,215.0
2023-06-16 15:15:00,215.0,217.0,213.15,217.0
2023-06-19 09:15:00,218.0,221.15,213.4,213.9
2023-06-19 10:15:00,213.4,213.65,210.05,212.0
2023-06-19 11:15:00,211.5,211.95,210.6,211.4
2023-06-19 12:15:00,210.75,214.95,210.75,213.0
2023-06-19 13:15:00,212.65,214.0,211.1,211.1
2023-06-19 14:15:00,211.9,213.35,210.6,210.9
2023-06-19 15:15:00,211.4,212.0,210.0,212.0
2023-06-20 09:15:00,212.0,213.2,211.1,213.1
2023-06-20 10:15:00,212.6,223.7,212.5,222.6
2023-06-20 11:15:00,222.6,227.0,220.0,222.85
2023-06-20 12:15:00,222.5,226.5,220.05,225.35
2023-06-20 13:15:00,225.45,226.95,223.0,226.4
2023-06-20 14:15:00,228.0,246.0,226.25,233.1
2023-06-20 15:15:00,232.05,238.0,230.25,238.0
2023-06-21 09:15:00,239.0,250.0,239.0,246.0
2023-06-21 10:15:00,246.0,247.9,244.4,246.75
2023-06-21 11:15:00,246.0,247.0,244.0,244.0
2023-06-21 12:15:00,244.0,245.0,242.25,242.7
2023-06-21 13:15:00,242.65,246.25,239.95,245.95
2023-06-21 14:15:00,245.5,246.2,241.4,241.45
2023-06-21 15:15:00,241.35,241.95,235.55,239.8
2023-06-22 09:15:00,232.05,237.4,231.35,233.5
2023-06-22 10:15:00,233.5,238.55,233.05,235.05
2023-06-22 11:15:00,235.15,238.0,233.65,234.0
2023-06-22 12:15:00,234.0,235.05,230.4,231.8
2023-06-22 13:15:00,231.8,233.75,231.8,232.7
2023-06-22 14:15:00,232.7,232.7,230.1,232.7
2023-06-22 15:15:00,232.8,240.0,230.0,240.0
2023-06-23 09:15:00,233.0,234.65,225.0,225.85
2023-06-23 10:15:00,225.85,229.95,224.95,227.8
2023-06-23 11:15:00,227.05,228.2,227.0,228.2
2023-06-23 12:15:00,228.5,228.5,227.0,227.35
2023-06-23 13:15:00,228.15,228.15,226.65,227.2
2023-06-23 14:15:00,226.3,228.5,224.85,227.55
2023-06-23 15:15:00,227.55,228.0,225.75,226.7
2023-06-26 09:15:00,225.05,227.95,221.85,222.9
2023-06-26 10:15:00,223.05,224.9,221.0,223.7
2023-06-26 11:15:00,223.7,223.7,222.0,223.5
2023-06-26 12:15:00,222.8,223.45,222.1,222.7
2023-06-26 13:15:00,222.9,240.95,222.05,238.5
2023-06-26 14:15:00,238.5,258.5,236.55,249.25
2023-06-26 15:15:00,249.25,249.75,243.55,247.95
2023-06-27 09:15:00,250.0,256.0,248.25,249.5
2023-06-27 10:15:00,249.25,250.05,247.25,247.9
2023-06-27 11:15:00,248.0,254.45,248.0,254.0
2023-06-27 12:15:00,254.0,255.4,249.15,250.05
2023-06-27 13:15:00,250.0,252.45,249.4,250.8
2023-06-27 14:15:00,250.2,253.05,248.1,249.4
2023-06-27 15:15:00,249.7,249.7,245.6,247.5
2023-06-28 09:15:00,246.25,250.35,241.1,244.05
2023-06-28 10:15:00,244.0,245.35,242.0,244.1
2023-06-28 11:15:00,243.65,246.2,243.3,245.1
2023-06-28 12:15:00,244.0,244.3,243.1,243.25
2023-06-28 13:15:00,243.1,243.9,242.65,242.85
