date,open,high,low,close
2023-06-01 09:15:00,108.5,109.7,108.2,108.25
2023-06-01 10:15:00,108.25,108.6,108.2,108.45
2023-06-01 11:15:00,108.45,108.6,107.75,107.95
2023-06-01 12:15:00,107.95,109.15,107.75,108.05
2023-06-01 13:15:00,108.15,108.25,107.3,107.4
2023-06-01 14:15:00,107.4,107.85,107.1,107.5
2023-06-01 15:15:00,107.45,107.55,107.0,107.1
2023-06-02 09:15:00,107.55,108.25,107.35,107.6
2023-06-02 10:15:00,107.55,108.45,107.35,108.15
2023-06-02 11:15:00,108.15,109.3,108.15,109.2
2023-06-02 12:15:00,109.2,110.3,109.2,109.75
2023-06-02 13:15:00,109.65,110.15,109.55,110.0
2023-06-02 14:15:00,110.0,110.2,109.05,109.15
2023-06-02 15:15:00,109.15,109.5,109.05,109.45
2023-06-05 09:15:00,110.0,110.1,108.55,109.3
2023-06-05 10:15:00,109.35,109.6,108.05,108.45
2023-06-05 11:15:00,108.4,108.8,108.25,108.7
2023-06-05 12:15:00,108.55,109.15,108.3,109.0
2023-06-05 13:15:00,109.0,110.45,109.0,110.0
2023-06-05 14:15:00,110.0,110.7,109.9,110.2
2023-06-05 15:15:00,110.4,110.75,110.05,110.55
2023-06-06 09:15:00,110.4,111.5,109.1,109.35
2023-06-06 10:15:00,109.35,109.65,109.3,109.4
2023-06-06 11:15:00,109.4,109.5,109.35,109.5
2023-06-06 12:15:00,109.5,109.9,109.45,109.7
2023-06-06 13:15:00,109.65,109.75,109.45,109.55
2023-06-06 14:15:00,109.55,111.0,109.2,109.2
2023-06-06 15:15:00,109.2,109.35,108.25,109.15
2023-06-07 09:15:00,108.5,109.9,108.2,109.2
2023-06-07 10:15:00,109.3,109.5,109.1,109.3
2023-06-07 11:15:00,109.3,109.35,109.1,109.2
2023-06-07 12:15:00,109.2,109.3,109.0,109.1
2023-06-07 13:15:00,109.2,109.25,109.0,109.15
2023-06-07 14:15:00,109.1,109.95,109.0,109.55
2023-06-07 15:15:00,109.55,110.2,109.25,109.75
2023-06-08 09:15:00,109.5,112.0,109.15,111.3
2023-06-08 10:15:00,111.3,111.6,110.5,110.5
2023-06-08 11:15:00,110.4,110.75,110.0,110.25
2023-06-08 12:15:00,110.3,110.35,110.05,110.1
2023-06-08 13:15:00,110.1,110.2,110.0,110.1
2023-06-08 14:15:00,110.0,110.1,108.5,109.0
2023-06-08 15:15:00,109.0,109.0,108.25,108.65
2023-06-09 09:15:00,109.3,109.85,107.85,108.4
2023-06-09 10:15:00,108.3,108.4,107.55,108.05
2023-06-09 11:15:00,108.05,108.6,108.0,108.15
2023-06-09 12:15:00,108.15,108.3,107.8,107.85
2023-06-09 13:15:00,107.9,108.15,107.9,108.05
2023-06-09 14:15:00,107.95,108.0,107.2,107.75
2023-06-09 15:15:00,107.75,107.95,107.25,107.9
2023-06-12 09:15:00,108.2,108.5,106.25,107.0
2023-06-12 10:15:00,107.0,107.5,107.0,107.35
2023-06-12 11:15:00,107.25,107.75,107.2,107.45
2023-06-12 12:15:00,107.45,107.45,107.3,107.3
2023-06-12 13:15:00,107.35,107.6,107.25,107.3
2023-06-12 14:15:00,107.3,108.3,107.25,108.05
2023-06-12 15:15:00,108.1,108.1,107.25,107.4
2023-06-13 09:15:00,108.3,108.3,107.2,107.65
2023-06-13 10:15:00,107.65,107.7,107.1,107.2
2023-06-13 11:15:00,107.25,107.4,107.1,107.1
2023-06-13 12:15:00,107.1,107.4,107.0,107.0
2023-06-13 13:15:00,107.0,107.15,106.65,106.85
2023-06-13 14:15:00,106.85,108.9,106.55,108.05
2023-06-13 15:15:00,108.05,108.2,107.6,107.9
2023-06-14 09:15:00,109.0,109.0,107.75,108.45
2023-06-14 10:15:00,108.45,108.75,108.05,108.55
2023-06-14 11:15:00,108.55,108.8,108.0,108.05
2023-06-14 12:15:00,108.05,108.55,108.05,108.35
2023-06-14 13:15:00,108.35,108.55,108.25,108.45
2023-06-14 14:15:00,108.4,108.55,108.15,108.25
2023-06-14 15:15:00,108.25,108.75,108.25,108.45
2023-06-15 09:15:00,108.7,109.2,107.75,108.9
2023-06-15 10:15:00,109.0,109.2,108.5,108.6
2023-06-15 11:15:00,108.6,108.75,108.5,108.6
2023-06-15 12:15:00,108.55,108.85,108.5,108.5
2023-06-15 13:15:00,108.6,108.75,107.6,108.25
2023-06-15 14:15:00,108.15,108.25,107.5,108.0
2023-06-15 15:15:00,108.05,108.75,107.5,107.75
2023-06-16 09:15:00,108.0,109.7,108.0,108.9
2023-06-16 10:15:00,108.9,109.05,108.7,108.7
2023-06-16 11:15:00,108.7,109.35,108.7,108.9
2023-06-16 12:15:00,108.8,109.05,108.6,108.9
2023-06-16 13:15:00,108.85,109.35,108.8,109.15
2023-06-16 14:15:00,109.15,110.65,109.0,110.15
2023-06-16 15:15:00,110.2,110.3,110.0,110.2
2023-06-19 09:15:00,111.0,114.35,110.35,113.6
2023-06-19 10:15:00,113.45,116.9,112.5,115.4
2023-06-19 11:15:00,115.55,116.45,115.0,115.15
2023-06-19 12:15:00,115.1,115.15,113.7,114.0
2023-06-19 13:15:00,114.2,114.75,113.4,113.75
2023-06-19 14:15:00,113.8,115.0,113.6,114.1
2023-06-19 15:15:00,114.2,114.2,113.05,113.9
2023-06-20 09:15:00,114.15,115.2,113.5,114.35
2023-06-20 10:15:00,114.45,115.05,113.5,113.95
2023-06-20 11:15:00,113.95,113.95,113.55,113.75
2023-06-20 12:15:00,113.8,114.25,113.7,113.95
2023-06-20 13:15:00,113.95,114.3,113.75,114.1
2023-06-20 14:15:00,114.25,115.4,114.05,115.1
2023-06-20 15:15:00,115.1,115.2,114.5,114.85
2023-06-21 09:15:00,115.1,115.6,114.0,114.3
2023-06-21 10:15:00,114.3,114.35,113.05,113.4
2023-06-21 11:15:00,113.6,114.9,113.3,114.55
2023-06-21 12:15:00,114.55,115.35,114.55,115.25
2023-06-21 13:15:00,115.2,116.0,115.15,115.35
2023-06-21 14:15:00,115.35,115.55,114.9,115.25
2023-06-21 15:15:00,115.05,115.25,114.2,114.95
2023-06-22 09:15:00,115.55,115.65,114.55,115.2
2023-06-22 10:15:00,115.2,115.35,114.95,115.05
2023-06-22 11:15:00,115.05,115.15,114.75,114.85
2023-06-22 12:15:00,114.85,115.1,114.75,115.0
2023-06-22 13:15:00,114.9,115.35,114.8,115.1
2023-06-22 14:15:00,115.0,115.3,114.5,115.0
2023-06-22 15:15:00,115.0,115.2,114.5,114.65
2023-06-23 09:15:00,114.5,115.5,112.05,114.0
2023-06-23 10:15:00,113.8,114.3,113.8,114.0
2023-06-23 11:15:00,114.05,114.05,113.8,113.85
2023-06-23 12:15:00,113.9,114.05,113.7,114.0
2023-06-23 13:15:00,114.0,114.2,113.75,113.95
2023-06-23 14:15:00,114.0,114.6,113.75,114.15
2023-06-23 15:15:00,114.1,114.6,113.8,113.8
2023-06-26 09:15:00,113.8,114.6,113.35,114.0
2023-06-26 10:15:00,113.8,114.3,113.7,113.95
2023-06-26 11:15:00,113.95,114.1,113.8,113.85
2023-06-26 12:15:00,114.0,114.3,113.8,113.9
2023-06-26 13:15:00,113.9,114.25,113.75,113.95
2023-06-26 14:15:00,114.05,114.25,113.8,114.05
2023-06-26 15:15:00,114.0,114.5,113.65,113.75
2023-06-27 09:15:00,114.05,114.5,112.2,112.7
2023-06-27 10:15:00,112.7,112.8,111.25,111.9
2023-06-27 11:15:00,111.9,112.1,111.4,111.5
2023-06-27 12:15:00,111.45,112.2,111.4,111.75
2023-06-27 13:15:00,111.75,112.0,111.55,111.6
2023-06-27 14:15:00,111.6,112.05,111.4,111.5
2023-06-27 15:15:00,111.5,111.65,111.05,111.4
2023-06-28 09:15:00,112.1,112.35,109.6,110.25
2023-06-28 10:15:00,110.15,110.25,109.65,110.0
2023-06-28 11:15:00,109.95,110.2,108.65,109.0
2023-06-28 12:15:00,108.9,109.4,108.7,109.4
2023-06-28 13:15:00,109.6,110.5,108.5,108.75
2023-06-28 14:15:00,108.75,109.65,108.65,108.7
2023-06-28 15:15:00,108.9,108.9,108.0,108.65
2023-06-30 09:15:00,109.05,109.45,107.45,107.9
2023-06-30 10:15:00,107.9,107.9,107.3,107.45
2023-06-30 11:15:00,107.45,108.45,107.25,108.05
2023-06-30 12:15:00,108.15,108.3,107.45,107.6
2023-06-30 13:15:00,107.6,108.5,107.6,107.8
2023-06-30 14:15:00,107.8,108.15,107.45,107.6
2023-06-30 15:15:00,107.6,108.0,107.45,107.8
2023-07-03 09:15:00,108.9,108.9,107.5,107.9
2023-07-03 10:15:00,107.9,108.4,107.7,108.1
2023-07-03 11:15:00,108.1,108.3,107.7,107.75
2023-07-03 12:15:00,107.7,108.1,107.7,107.85
2023-07-03 13:15:00,107.95,108.25,107.5,107.8
2023-07-03 14:15:00,107.8,107.95,107.6,107.75
2023-07-03 15:15:00,107.65,107.8,107.4,107.5
2023-07-04 09:15:00,107.65,108.5,107.55,108.25
2023-07-04 10:15:00,108.25,111.0,108.15,110.25
2023-07-04 11:15:00,110.4,110.5,110.0,110.3
2023-07-04 12:15:00,110.5,110.75,110.15,110.4
2023-07-04 13:15:00,110.4,110.55,110.15,110.25
2023-07-04 14:15:00,110.35,110.7,110.0,110.45
2023-07-04 15:15:00,110.45,110.45,110.0,110.2
2023-07-05 09:15:00,111.0,111.95,110.1,110.85
2023-07-05 10:15:00,111.0,111.0,110.1,110.45
2023-07-05 11:15:00,110.45,111.45,110.25,111.3
2023-07-05 12:15:00,111.3,111.6,110.8,111.05
2023-07-05 13:15:00,111.2,111.2,110.5,110.95
2023-07-05 14:15:00,110.95,111.35,110.75,111.0
2023-07-05 15:15:00,111.0,111.1,110.35,110.7
2023-07-06 09:15:00,110.75,112.3,110.55,111.6
2023-07-06 10:15:00,111.6,111.9,111.25,111.5
2023-07-06 11:15:00,111.6,111.6,111.1,111.35
2023-07-06 12:15:00,111.35,111.55,111.05,111.2
2023-07-06 13:15:00,111.2,111.55,111.05,111.35
2023-07-06 14:15:00,111.35,112.0,111.2,111.5
2023-07-06 15:15:00,111.55,111.6,111.0,111.35
2023-07-07 09:15:00,111.55,111.55,110.05,110.5
2023-07-07 10:15:00,110.6,112.15,110.5,110.85
2023-07-07 11:15:00,110.9,111.1,110.5,110.75
2023-07-07 12:15:00,110.7,110.8,110.5,110.6
2023-07-07 13:15:00,110.5,110.8,110.4,110.55
2023-07-07 14:15:00,110.7,110.9,110.4,110.4
2023-07-07 15:15:00,110.4,110.5,110.05,110.35
2023-07-10 09:15:00,110.2,110.4,108.45,108.55
2023-07-10 10:15:00,108.55,109.95,108.5,109.7
2023-07-10 11:15:00,109.65,109.75,108.15,108.2
2023-07-10 12:15:00,108.2,108.9,108.15,108.75
2023-07-10 13:15:00,108.7,109.0,108.35,108.55
2023-07-10 14:15:00,108.5,108.8,108.2,108.5
2023-07-10 15:15:00,108.55,108.7,108.2,108.6
2023-07-11 09:15:00,109.05,109.05,107.9,108.35
2023-07-11 10:15:00,108.35,110.35,108.35,108.95
2023-07-11 11:15:00,108.8,109.1,108.6,108.75
2023-07-11 12:15:00,108.75,109.75,108.6,109.1
2023-07-11 13:15:00,109.1,112.5,109.1,112.0
2023-07-11 14:15:00,111.9,112.35,111.35,112.1
2023-07-11 15:15:00,112.2,112.4,112.0,112.05
2023-07-12 09:15:00,112.6,113.2,111.5,111.6
2023-07-12 10:15:00,111.55,111.95,111.3,111.85
2023-07-12 11:15:00,111.65,111.95,111.45,111.65
2023-07-12 12:15:00,111.65,112.4,111.45,112.0
2023-07-12 13:15:00,112.15,112.35,111.7,111.85
2023-07-12 14:15:00,111.8,112.6,111.7,112.45
2023-07-12 15:15:00,112.3,112.5,111.6,112.2
2023-07-13 09:15:00,112.75,112.95,112.1,112.55
2023-07-13 10:15:00,112.5,112.8,111.75,111.8
2023-07-13 11:15:00,111.95,112.0,111.2,111.3
2023-07-13 12:15:00,111.3,111.75,111.25,111.5
2023-07-13 13:15:00,111.35,111.4,109.4,109.65
2023-07-13 14:15:00,109.65,110.1,109.15,109.75
2023-07-13 15:15:00,109.75,109.75,109.2,109.5
2023-07-14 09:15:00,110.15,111.4,109.9,110.65
2023-07-14 10:15:00,110.95,113.5,110.95,112.25
2023-07-14 11:15:00,112.25,112.55,111.5,111.6
2023-07-14 12:15:00,111.65,112.15,111.6,111.9
2023-07-14 13:15:00,112.1,112.25,111.25,111.6
2023-07-14 14:15:00,111.7,111.9,111.05,111.4
2023-07-14 15:15:00,111.4,111.55,110.8,111.15
2023-07-17 09:15:00,111.25,113.5,111.2,112.3
2023-07-17 10:15:00,112.45,112.8,109.75,110.05
2023-07-17 11:15:00,110.05,110.85,109.35,110.55
2023-07-17 12:15:00,110.5,111.0,110.4,110.5
2023-07-17 13:15:00,110.5,110.85,110.2,110.2
2023-07-17 14:15:00,110.2,110.65,110.05,110.3
2023-07-17 15:15:00,110.3,110.45,109.75,110.4
2023-07-18 09:15:00,110.75,111.7,109.05,109.35
2023-07-18 10:15:00,109.35,109.75,108.8,109.3
2023-07-18 11:15:00,109.3,109.45,109.05,109.05
2023-07-18 12:15:00,109.05,109.3,108.65,108.9
2023-07-18 13:15:00,108.9,109.15,108.65,108.85
2023-07-18 14:15:00,108.85,109.45,108.5,109.0
2023-07-18 15:15:00,108.85,109.25,108.75,109.2
2023-07-19 09:15:00,109.1,110.35,109.1,109.75
2023-07-19 10:15:00,109.6,110.2,109.55,109.55
2023-07-19 11:15:00,109.5,109.85,109.1,109.1
2023-07-19 12:15:00,109.1,109.8,109.1,109.45
2023-07-19 13:15:00,109.55,110.1,109.35,109.8
2023-07-19 14:15:00,109.65,111.75,109.65,111.0
2023-07-19 15:15:00,111.05,111.05,110.5,110.5
2023-07-20 09:15:00,111.2,111.45,110.35,111.3
2023-07-20 10:15:00,111.25,111.45,110.75,110.9
2023-07-20 11:15:00,110.9,113.45,110.85,112.65
2023-07-20 12:15:00,112.8,114.7,112.6,113.65
2023-07-20 13:15:00,113.6,114.25,113.6,114.0
2023-07-20 14:15:00,114.0,115.3,113.85,114.25
2023-07-20 15:15:00,114.25,114.4,113.7,113.8
2023-07-21 09:15:00,113.9,114.3,112.6,113.15
2023-07-21 10:15:00,113.15,113.2,112.75,113.05
2023-07-21 11:15:00,113.1,113.5,113.05,113.35
2023-07-21 12:15:00,113.3,113.45,111.65,112.85
2023-07-21 13:15:00,112.8,113.2,112.55,112.6
2023-07-21 14:15:00,112.65,113.15,112.45,112.5
2023-07-21 15:15:00,112.65,113.1,112.05,113.0
2023-07-24 09:15:00,113.25,113.9,111.2,111.8
2023-07-24 10:15:00,111.95,112.2,111.75,112.0
2023-07-24 11:15:00,112.15,112.5,111.6,111.75
2023-07-24 12:15:00,111.75,112.45,111.65,112.45
2023-07-24 13:15:00,112.45,112.75,112.2,112.6
2023-07-24 14:15:00,112.4,112.6,112.05,112.25
2023-07-24 15:15:00,112.3,112.5,111.55,111.9
2023-07-25 09:15:00,112.15,113.55,111.5,112.7
2023-07-25 10:15:00,112.85,112.85,112.25,112.65
2023-07-25 11:15:00,112.8,112.9,112.35,112.7
2023-07-25 12:15:00,112.7,113.4,112.7,113.25
2023-07-25 13:15:00,113.2,113.25,112.85,112.9
2023-07-25 14:15:00,112.9,113.4,112.9,113.35
2023-07-25 15:15:00,113.35,113.4,112.0,112.95
