date,open,high,low,close
2023-06-01 09:15:00,271.05,277.0,271.05,273.05
2023-06-01 10:15:00,274.0,274.0,272.7,272.7
2023-06-01 11:15:00,271.9,273.0,266.6,266.6
2023-06-01 12:15:00,267.95,270.65,267.4,270.35
2023-06-01 13:15:00,269.5,273.95,269.5,272.8
2023-06-01 14:15:00,272.3,273.95,270.65,271.5
2023-06-01 15:15:00,271.55,274.0,271.55,272.1
2023-06-02 09:15:00,272.75,291.95,272.0,286.5
2023-06-02 10:15:00,286.15,288.15,282.9,283.6
2023-06-02 11:15:00,283.55,287.35,282.25,286.5
2023-06-02 12:15:00,285.75,286.0,283.95,285.5
2023-06-02 13:15:00,285.4,286.0,285.0,285.05
2023-06-02 14:15:00,285.0,312.85,285.0,309.5
2023-06-02 15:15:00,309.25,313.45,305.35,307.6
2023-06-05 09:15:00,309.0,310.05,299.5,304.8
2023-06-05 10:15:00,304.8,307.0,304.0,304.65
2023-06-05 11:15:00,304.95,306.4,302.0,302.95
2023-06-05 12:15:00,302.95,302.95,301.85,302.5
2023-06-05 13:15:00,302.9,305.45,302.2,304.9
2023-06-05 14:15:00,304.5,305.1,300.5,302.15
2023-06-05 15:15:00,301.0,304.5,300.45,304.5
2023-06-06 09:15:00,302.4,307.35,297.75,299.4
2023-06-06 10:15:00,299.2,299.8,296.55,298.25
2023-06-06 11:15:00,298.25,301.0,297.15,301.0
2023-06-06 12:15:00,301.55,314.8,301.55,312.15
2023-06-06 13:15:00,311.6,318.0,310.15,317.8
2023-06-06 14:15:00,317.55,319.5,312.15,316.0
2023-06-06 15:15:00,317.05,324.8,316.25,322.9
2023-06-07 09:15:00,324.05,335.0,324.0,332.8
2023-06-07 10:15:00,334.5,334.5,328.0,330.2
2023-06-07 11:15:00,330.5,341.55,327.5,337.2
2023-06-07 12:15:00,337.8,338.95,332.1,334.55
2023-06-07 13:15:00,333.95,335.0,330.5,331.0
2023-06-07 14:15:00,331.6,335.95,327.35,327.35
2023-06-07 15:15:00,327.35,331.0,323.55,330.1
2023-06-08 09:15:00,327.5,330.45,322.1,322.5
2023-06-08 10:15:00,323.05,323.45,321.0,322.05
2023-06-08 11:15:00,322.05,323.95,319.5,321.35
2023-06-08 12:15:00,321.35,323.4,319.5,323.0
2023-06-08 13:15:00,322.3,328.5,322.0,327.7
2023-06-08 14:15:00,328.15,336.0,325.8,331.95
2023-06-08 15:15:00,331.9,335.0,331.1,334.25
2023-06-09 09:15:00,333.9,338.9,324.7,336.0
2023-06-09 10:15:00,335.2,336.8,333.4,334.5
2023-06-09 11:15:00,334.5,336.0,331.1,333.7
2023-06-09 12:15:00,334.35,335.95,333.6,333.8
2023-06-09 13:15:00,334.45,334.5,330.6,331.8
2023-06-09 14:15:00,331.7,332.9,327.05,331.15
2023-06-09 15:15:00,331.65,335.0,327.15,328.5
2023-06-12 09:15:00,331.15,334.8,331.05,333.8
2023-06-12 10:15:00,332.7,334.15,332.1,332.9
2023-06-12 11:15:00,332.35,332.85,327.85,330.0
2023-06-12 12:15:00,330.15,331.85,329.8,330.0
2023-06-12 13:15:00,329.05,330.3,329.05,330.2
2023-06-12 14:15:00,330.0,331.85,329.55,331.85
2023-06-12 15:15:00,331.6,335.85,330.1,335.0
2023-06-13 09:15:00,332.45,351.35,332.45,341.9
2023-06-13 10:15:00,340.1,347.95,338.5,340.6
2023-06-13 11:15:00,341.3,346.0,340.5,341.0
2023-06-13 12:15:00,342.0,346.75,342.0,344.15
2023-06-13 13:15:00,344.15,346.9,341.15,342.25
2023-06-13 14:15:00,343.3,344.9,342.25,342.65
2023-06-13 15:15:00,341.95,344.0,340.25,341.5
2023-06-14 09:15:00,342.5,345.9,332.85,334.2
2023-06-14 10:15:00,334.9,337.75,333.5,334.9
2023-06-14 11:15:00,335.8,336.7,333.0,333.45
2023-06-14 12:15:00,333.05,334.6,324.7,327.3
2023-06-14 13:15:00,327.3,328.0,326.15,327.0
2023-06-14 14:15:00,327.0,332.0,326.5,327.45
2023-06-14 15:15:00,326.1,328.95,326.1,327.8
2023-06-15 09:15:00,327.95,329.7,327.6,328.35
2023-06-15 10:15:00,329.2,329.2,323.5,326.55
2023-06-15 11:15:00,326.55,326.55,320.75,322.55
2023-06-15 12:15:00,322.55,324.0,322.25,323.0
2023-06-15 13:15:00,322.5,324.2,322.0,324.1
2023-06-15 14:15:00,324.05,324.05,318.0,319.45
2023-06-15 15:15:00,319.15,326.7,318.1,326.7
2023-06-16 09:15:00,324.7,327.7,323.0,327.7
2023-06-16 10:15:00,327.6,332.25,326.95,327.4
2023-06-16 11:15:00,327.45,330.15,327.0,327.85
2023-06-16 12:15:00,327.75,331.45,327.4,328.55
2023-06-16 13:15:00,328.35,330.05,328.3,329.05
2023-06-16 14:15:00,329.05,329.5,323.85,324.85
2023-06-16 15:15:00,324.8,328.0,324.2,328.0
2023-06-19 09:15:00,327.9,329.65,323.15,323.4
2023-06-19 10:15:00,324.2,324.2,323.1,323.1
2023-06-19 11:15:00,323.95,326.9,323.1,326.0
2023-06-19 12:15:00,324.3,325.6,324.0,324.0
2023-06-19 13:15:00,324.0,325.55,322.0,323.4
2023-06-19 14:15:00,323.0,324.35,321.0,321.25
2023-06-19 15:15:00,321.25,321.25,318.8,321.0
2023-06-20 09:15:00,321.7,331.5,315.35,329.05
2023-06-20 10:15:00,328.4,329.8,322.55,329.7
2023-06-20 11:15:00,329.25,336.8,328.15,331.15
2023-06-20 12:15:00,331.15,332.5,330.0,331.65
2023-06-20 13:15:00,331.7,333.5,331.05,332.0
2023-06-20 14:15:00,332.65,332.7,331.0,331.9
2023-06-20 15:15:00,331.9,332.5,330.9,332.0
2023-06-21 09:15:00,329.0,339.0,329.0,336.0
2023-06-21 10:15:00,336.0,338.9,334.5,336.0
2023-06-21 11:15:00,336.0,337.0,336.0,336.7
2023-06-21 12:15:00,336.7,336.7,336.0,336.05
2023-06-21 13:15:00,336.05,336.75,336.0,336.0
2023-06-21 14:15:00,336.0,344.05,336.0,340.6
2023-06-21 15:15:00,340.2,343.9,340.0,340.2
2023-06-22 09:15:00,342.65,351.0,340.8,346.15
2023-06-22 10:15:00,345.65,347.0,342.55,346.45
2023-06-22 11:15:00,346.45,346.45,345.0,345.0
2023-06-22 12:15:00,345.0,346.9,343.75,345.5
2023-06-22 13:15:00,345.5,347.4,345.0,345.2
2023-06-22 14:15:00,345.0,348.0,343.55,346.0
2023-06-22 15:15:00,346.0,346.0,345.0,345.05
2023-06-23 09:15:00,347.8,347.8,332.2,338.2
2023-06-23 10:15:00,339.0,342.7,339.0,339.8
2023-06-23 11:15:00,339.05,339.05,338.3,338.5
2023-06-23 12:15:00,338.45,341.65,338.45,340.15
2023-06-23 13:15:00,340.0,346.75,340.0,346.0
2023-06-23 14:15:00,347.0,350.0,343.9,345.5
2023-06-23 15:15:00,345.5,345.5,342.05,343.95
2023-06-26 09:15:00,346.0,349.9,342.85,345.65
2023-06-26 10:15:00,345.05,355.0,343.1,349.25
2023-06-26 11:15:00,349.5,350.2,346.5,346.8
2023-06-26 12:15:00,346.8,346.8,345.1,345.85
2023-06-26 13:15:00,345.7,347.0,345.0,346.95
2023-06-26 14:15:00,346.4,347.5,344.4,346.5
2023-06-26 15:15:00,345.85,346.1,345.0,345.1
2023-06-27 09:15:00,348.0,348.7,343.5,344.5
2023-06-27 10:15:00,344.85,349.7,344.05,345.0
2023-06-27 11:15:00,345.0,346.05,345.0,345.5
2023-06-27 12:15:00,346.5,346.7,345.0,345.0
2023-06-27 13:15:00,345.05,353.7,341.25,353.7
2023-06-27 14:15:00,352.0,353.0,348.05,352.5
2023-06-27 15:15:00,353.0,353.0,348.0,351.0
2023-06-28 09:15:00,356.8,360.0,350.55,354.05
2023-06-28 10:15:00,354.05,364.75,354.0,361.05
2023-06-28 11:15:00,362.0,364.4,360.55,363.0
2023-06-28 12:15:00,363.4,363.95,360.05,360.7
2023-06-28 13:15:00,360.35,363.5,354.75,359.35
2023-06-28 14:15:00,360.7,365.0,359.65,364.5
2023-06-28 15:15:00,363.6,365.0,360.95,364.15
2023-06-30 09:15:00,369.65,371.6,365.05,368.5
2023-06-30 10:15:00,368.05,368.95,368.0,368.0
2023-06-30 11:15:00,368.0,368.95,365.95,368.95
2023-06-30 12:15:00,368.95,370.55,368.0,369.85
2023-06-30 13:15:00,369.65,370.5,368.9,369.15
2023-06-30 14:15:00,369.05,370.65,368.0,368.0
2023-06-30 15:15:00,368.4,370.0,365.0,368.0
2023-07-03 09:15:00,370.0,373.15,367.1,367.35
2023-07-03 10:15:00,367.4,367.6,359.0,359.35
2023-07-03 11:15:00,359.4,360.4,357.9,360.0
2023-07-03 12:15:00,359.4,364.9,359.4,362.0
2023-07-03 13:15:00,361.5,361.55,359.35,361.45
2023-07-03 14:15:00,361.4,361.4,355.6,359.6
2023-07-03 15:15:00,358.95,359.55,354.9,356.15
2023-07-04 09:15:00,360.0,362.0,346.35,351.05
2023-07-04 10:15:00,352.9,354.0,348.75,351.1
2023-07-04 11:15:00,350.0,351.5,348.7,350.0
2023-07-04 12:15:00,350.2,350.45,348.0,348.25
2023-07-04 13:15:00,348.85,350.05,346.6,349.0
2023-07-04 14:15:00,349.0,349.3,345.1,345.65
2023-07-04 15:15:00,345.2,355.0,345.0,349.5
2023-07-05 09:15:00,350.65,354.0,348.2,348.35
2023-07-05 10:15:00,348.0,349.2,345.0,346.5
2023-07-05 11:15:00,346.0,346.5,341.65,345.6
2023-07-05 12:15:00,345.9,345.9,341.45,343.6
2023-07-05 13:15:00,344.15,346.0,341.85,345.0
2023-07-05 14:15:00,345.85,347.65,343.8,345.0
2023-07-05 15:15:00,344.95,345.0,343.75,344.0
2023-07-06 09:15:00,344.85,360.9,344.85,357.7
2023-07-06 10:15:00,357.5,358.5,353.45,353.6
2023-07-06 11:15:00,353.9,354.85,351.5,351.5
2023-07-06 12:15:00,351.5,353.2,350.75,350.95
2023-07-06 13:15:00,351.85,352.55,350.95,352.55
2023-07-06 14:15:00,352.65,353.0,350.55,351.5
2023-07-06 15:15:00,351.0,351.85,350.05,350.05
2023-07-07 09:15:00,354.55,360.7,354.55,356.7
2023-07-07 10:15:00,356.75,356.8,348.0,350.5
2023-07-07 11:15:00,350.35,352.5,346.95,349.0
2023-07-07 12:15:00,349.55,354.75,349.0,353.55
2023-07-07 13:15:00,354.15,359.9,353.15,358.9
2023-07-07 14:15:00,359.1,360.8,355.9,356.2
2023-07-07 15:15:00,357.0,362.9,356.55,358.3
2023-07-10 09:15:00,364.8,374.7,361.95,369.0
2023-07-10 10:15:00,369.5,369.9,365.15,366.95
