time,open,high,low,close
2023-07-17 09:15:00,91.6,92.2,91.15,91.9
2023-07-17 10:15:00,91.9,92.45,91.75,92.25
2023-07-17 11:15:00,92.3,92.3,91.95,91.95
2023-07-17 12:15:00,91.95,92.25,91.85,91.95
2023-07-17 13:15:00,91.9,92.1,91.8,91.9
2023-07-17 14:15:00,91.9,92.15,91.5,91.55
2023-07-17 15:15:00,91.55,91.85,91.45,91.8
2023-07-18 09:15:00,91.65,91.95,90.65,91.05
2023-07-18 10:15:00,91.1,91.35,90.8,91.15
2023-07-18 11:15:00,91.15,91.2,90.15,90.4
2023-07-18 12:15:00,90.4,90.6,90.15,90.3
2023-07-18 13:15:00,90.25,90.45,90.05,90.15
2023-07-18 14:15:00,90.15,90.45,89.75,90.4
2023-07-18 15:15:00,90.45,90.45,90.15,90.3
2023-07-19 09:15:00,90.8,91.05,90.3,90.7
2023-07-19 10:15:00,90.7,90.85,90.35,90.4
2023-07-19 11:15:00,90.4,91.15,90.25,90.85
2023-07-19 12:15:00,90.9,90.95,90.5,90.6
2023-07-19 13:15:00,90.6,90.7,90.5,90.6
2023-07-19 14:15:00,90.55,90.85,90.5,90.7
2023-07-19 15:15:00,90.75,90.9,90.7,90.85
2023-07-20 09:15:00,90.95,91.25,90.6,90.75
2023-07-20 10:15:00,90.7,91.05,90.5,90.55
2023-07-20 11:15:00,90.55,90.6,89.95,90.25
2023-07-20 12:15:00,90.25,90.35,90.1,90.1
2023-07-20 13:15:00,90.1,90.3,89.75,90.15
2023-07-20 14:15:00,90.2,90.2,89.8,90.0
2023-07-20 15:15:00,90.0,90.0,89.75,89.95
2023-07-21 09:15:00,89.7,90.0,89.1,90.0
2023-07-21 10:15:00,90.0,90.15,89.5,89.6
2023-07-21 11:15:00,89.55,91.15,89.5,90.85
2023-07-21 12:15:00,90.85,91.05,90.8,90.95
2023-07-21 13:15:00,90.95,91.25,90.9,91.05
2023-07-21 14:15:00,91.05,91.1,90.05,90.1
2023-07-21 15:15:00,90.1,90.3,90.05,90.2
2023-07-24 09:15:00,90.25,90.35,89.5,89.6
2023-07-24 10:15:00,89.6,89.75,89.45,89.7
2023-07-24 11:15:00,89.7,89.85,89.2,89.4
2023-07-24 12:15:00,89.4,90.15,89.25,90.1
2023-07-24 13:15:00,90.15,90.15,89.6,89.8
2023-07-24 14:15:00,89.75,90.15,89.65,89.9
2023-07-24 15:15:00,90.0,90.0,89.6,89.75
2023-07-25 09:15:00,90.0,91.85,89.8,91.65
2023-07-25 10:15:00,91.65,91.9,91.3,91.55
2023-07-25 11:15:00,91.55,91.7,90.95,91.65
2023-07-25 12:15:00,91.6,92.15,91.5,92.1
2023-07-25 13:15:00,92.05,92.15,91.55,92.15
2023-07-25 14:15:00,92.15,92.75,92.05,92.35
2023-07-25 15:15:00,92.35,92.4,92.0,92.15
2023-07-26 09:15:00,92.85,93.15,92.3,92.4
2023-07-26 10:15:00,92.45,92.65,92.15,92.55
2023-07-26 11:15:00,92.5,92.7,92.3,92.65
2023-07-26 12:15:00,92.7,92.75,92.35,92.5
2023-07-26 13:15:00,92.5,92.65,92.25,92.35
2023-07-26 14:15:00,92.35,92.5,92.05,92.2
2023-07-26 15:15:00,92.15,92.25,92.0,92.25
2023-07-27 09:15:00,92.8,93.35,92.45,92.9
2023-07-27 10:15:00,93.0,93.15,92.6,92.8
2023-07-27 11:15:00,92.8,92.9,92.45,92.5
2023-07-27 12:15:00,92.5,92.75,92.4,92.65
2023-07-27 13:15:00,92.65,92.75,92.45,92.55
2023-07-27 14:15:00,92.55,92.6,92.1,92.45
2023-07-27 15:15:00,92.45,92.7,92.4,92.6
2023-07-28 09:15:00,92.4,92.45,91.75,92.2
2023-07-28 10:15:00,92.25,93.2,92.15,92.55
2023-07-28 11:15:00,92.55,92.55,92.0,92.1
2023-07-28 12:15:00,92.15,93.15,92.0,92.65
2023-07-28 13:15:00,92.65,92.7,92.2,92.3
2023-07-28 14:15:00,92.3,92.9,92.15,92.7
2023-07-28 15:15:00,92.7,92.8,92.6,92.75
2023-07-31 09:15:00,93.2,94.35,93.15,93.7
2023-07-31 10:15:00,93.75,94.8,93.4,94.55
2023-07-31 11:15:00,94.6,94.7,94.15,94.35
2023-07-31 12:15:00,94.3,94.4,94.15,94.3
2023-07-31 13:15:00,94.3,94.65,94.0,94.65
2023-07-31 14:15:00,94.6,95.1,94.45,94.65
2023-07-31 15:15:00,94.6,94.8,94.25,94.5
2023-08-01 09:15:00,95.3,96.15,94.8,95.75
2023-08-01 10:15:00,95.85,95.95,95.05,95.25
2023-08-01 11:15:00,95.2,95.45,95.0,95.2
2023-08-01 12:15:00,95.2,95.6,95.0,95.55
2023-08-01 13:15:00,95.55,95.6,95.15,95.5
2023-08-01 14:15:00,95.45,95.9,95.45,95.5
2023-08-01 15:15:00,95.5,95.75,95.45,95.7
2023-08-02 09:15:00,95.35,95.35,94.2,95.0
2023-08-02 10:15:00,95.0,95.05,93.65,93.8
2023-08-02 11:15:00,93.8,94.25,93.7,93.9
2023-08-02 12:15:00,93.9,94.1,93.65,93.8
2023-08-02 13:15:00,93.85,93.85,92.3,92.3
2023-08-02 14:15:00,92.3,93.2,92.2,93.0
2023-08-02 15:15:00,93.0,93.05,92.8,92.8
2023-08-03 09:15:00,92.65,93.15,92.05,92.4
2023-08-03 10:15:00,92.4,93.0,92.0,92.85
2023-08-03 11:15:00,92.85,93.2,92.45,92.5
2023-08-03 12:15:00,92.5,92.8,92.2,92.45
2023-08-03 13:15:00,92.55,92.7,92.05,92.3
2023-08-03 14:15:00,92.3,92.9,92.2,92.8
2023-08-03 15:15:00,92.8,93.1,92.75,93.1
2023-08-04 09:15:00,93.8,94.25,93.3,93.4
2023-08-04 10:15:00,93.3,93.55,93.1,93.3
2023-08-04 11:15:00,93.3,94.1,93.25,93.95
2023-08-04 12:15:00,93.95,94.1,93.85,93.95
2023-08-04 13:15:00,93.95,94.1,93.65,94.05
2023-08-04 14:15:00,94.0,94.25,93.8,93.95
2023-08-04 15:15:00,93.9,94.1,93.9,93.95
2023-08-07 09:15:00,94.5,94.5,93.3,93.5
2023-08-07 10:15:00,93.5,93.9,93.35,93.4
2023-08-07 11:15:00,93.4,93.9,93.2,93.75
2023-08-07 12:15:00,93.75,94.35,93.75,94.2
2023-08-07 13:15:00,94.2,94.35,93.9,94.0
2023-08-07 14:15:00,93.95,94.2,93.55,94.05
2023-08-07 15:15:00,94.1,94.15,93.9,93.95
2023-08-08 09:15:00,94.05,94.2,93.4,93.4
2023-08-08 10:15:00,93.45,93.55,92.35,92.5
2023-08-08 11:15:00,92.45,92.85,92.15,92.85
2023-08-08 12:15:00,92.85,93.3,92.45,93.15
2023-08-08 13:15:00,93.15,93.35,92.75,92.8
2023-08-08 14:15:00,92.8,93.2,92.4,92.75
2023-08-08 15:15:00,92.75,92.85,92.5,92.75
2023-08-09 09:15:00,92.8,92.85,92.2,92.55
2023-08-09 10:15:00,92.55,92.55,91.0,91.35
2023-08-09 11:15:00,91.25,91.55,90.95,91.25
2023-08-09 12:15:00,91.25,91.85,91.15,91.8
2023-08-09 13:15:00,91.8,92.35,91.6,92.2
2023-08-09 14:15:00,92.2,93.0,92.2,92.95
2023-08-09 15:15:00,92.9,93.35,92.85,93.1
2023-08-10 09:15:00,92.5,93.4,92.5,92.8
2023-08-10 10:15:00,92.8,93.75,92.3,93.5
2023-08-10 11:15:00,93.55,93.95,93.5,93.5
2023-08-10 12:15:00,93.5,93.55,92.9,93.1
2023-08-10 13:15:00,93.1,93.35,92.5,92.85
2023-08-10 14:15:00,92.85,93.1,92.7,92.95
2023-08-10 15:15:00,92.95,93.05,92.7,92.8
2023-08-11 09:15:00,91.3,92.35,90.35,90.8
2023-08-11 10:15:00,90.75,91.5,90.5,91.3
2023-08-11 11:15:00,91.3,92.1,91.2,91.8
2023-08-11 12:15:00,91.7,91.85,91.35,91.65
2023-08-11 13:15:00,91.65,91.8,91.35,91.6
2023-08-11 14:15:00,91.55,91.75,91.1,91.15
2023-08-11 15:15:00,91.15,91.15,90.9,91.05
2023-08-14 09:15:00,91.0,91.0,88.35,88.9
2023-08-14 10:15:00,88.9,88.9,87.45,87.75
2023-08-14 11:15:00,87.7,88.3,87.6,88.05
2023-08-14 12:15:00,88.05,88.1,87.55,87.6
2023-08-14 13:15:00,87.6,87.8,87.55,87.75
2023-08-14 14:15:00,87.75,87.8,87.3,87.35
2023-08-14 15:15:00,87.4,87.4,86.7,87.15
2023-08-16 09:15:00,87.1,87.25,85.55,86.05
2023-08-16 10:15:00,86.05,86.3,85.2,85.25
2023-08-16 11:15:00,85.25,85.4,84.9,85.15
2023-08-16 12:15:00,85.15,85.75,84.95,85.55
2023-08-16 13:15:00,85.6,85.65,85.05,85.2
2023-08-16 14:15:00,85.2,85.35,84.8,84.95
2023-08-16 15:15:00,84.95,85.15,84.75,85.05
