date,open,high,low,close
2023-06-01 09:15:00,76.2,77.0,75.45,76.35
2023-06-01 10:15:00,76.3,76.5,76.25,76.25
2023-06-01 11:15:00,76.25,76.25,75.8,75.9
2023-06-01 12:15:00,76.0,76.15,75.75,76.15
2023-06-01 13:15:00,76.25,76.25,75.65,75.85
2023-06-01 14:15:00,75.8,75.8,75.2,75.35
2023-06-01 15:15:00,75.45,75.5,75.05,75.1
2023-06-02 09:15:00,76.0,77.75,74.55,74.85
2023-06-02 10:15:00,74.85,75.05,74.2,74.55
2023-06-02 11:15:00,74.75,74.75,74.45,74.75
2023-06-02 12:15:00,74.75,75.9,74.55,75.85
2023-06-02 13:15:00,75.85,75.85,73.95,74.2
2023-06-02 14:15:00,73.85,73.9,72.55,73.15
2023-06-02 15:15:00,73.05,73.25,72.05,73.0
2023-06-05 09:15:00,73.4,74.4,72.95,73.4
2023-06-05 10:15:00,73.6,74.3,73.55,73.55
2023-06-05 11:15:00,73.2,73.45,72.7,72.9
2023-06-05 12:15:00,72.9,73.35,72.7,73.35
2023-06-05 13:15:00,73.5,73.8,72.75,72.75
2023-06-05 14:15:00,72.75,72.85,71.2,71.8
2023-06-05 15:15:00,71.4,72.9,71.4,72.2
2023-06-06 09:15:00,72.05,73.45,72.05,72.6
2023-06-06 10:15:00,72.6,72.7,71.35,72.0
2023-06-06 11:15:00,72.0,72.0,70.4,70.65
2023-06-06 12:15:00,70.75,72.25,70.75,72.0
2023-06-06 13:15:00,72.15,75.1,71.9,74.1
2023-06-06 14:15:00,74.3,74.75,73.6,73.6
2023-06-06 15:15:00,73.85,74.5,73.55,74.5
2023-06-07 09:15:00,74.05,75.2,73.5,74.2
2023-06-07 10:15:00,74.2,74.2,70.9,72.05
2023-06-07 11:15:00,72.3,73.3,71.5,72.7
2023-06-07 12:15:00,73.0,73.25,72.0,72.25
2023-06-07 13:15:00,72.0,72.3,71.45,72.2
2023-06-07 14:15:00,72.3,74.4,72.25,73.9
2023-06-07 15:15:00,73.9,74.15,73.25,73.9
2023-06-08 09:15:00,73.8,74.95,73.25,73.3
2023-06-08 10:15:00,73.4,74.1,73.3,73.7
2023-06-08 11:15:00,73.85,74.25,72.3,72.55
2023-06-08 12:15:00,72.55,72.8,72.5,72.75
2023-06-08 13:15:00,72.75,74.7,72.75,74.1
2023-06-08 14:15:00,74.15,74.2,73.75,73.85
2023-06-08 15:15:00,74.05,74.2,73.75,73.75
2023-06-09 09:15:00,73.8,76.45,73.7,74.25
2023-06-09 10:15:00,74.1,74.1,73.45,73.6
2023-06-09 11:15:00,73.6,73.75,73.4,73.55
2023-06-09 12:15:00,73.6,73.75,73.3,73.55
2023-06-09 13:15:00,73.55,73.95,73.05,73.3
2023-06-09 14:15:00,73.15,74.2,73.05,73.75
2023-06-09 15:15:00,73.5,74.0,73.45,73.95
2023-06-12 09:15:00,74.15,74.45,72.75,73.8
2023-06-12 10:15:00,73.95,74.5,73.75,73.9
2023-06-12 11:15:00,73.9,74.1,73.45,73.85
2023-06-12 12:15:00,73.7,74.25,73.65,74.0
