date,open,high,low,close
2023-06-01 09:15:00,397.2,407.7,395.05,404.25
2023-06-01 10:15:00,404.25,409.9,402.9,409.0
2023-06-01 11:15:00,408.9,409.9,407.4,409.5
2023-06-01 12:15:00,409.05,409.7,407.5,409.0
2023-06-01 13:15:00,408.9,410.8,408.65,409.45
2023-06-01 14:15:00,409.4,411.8,408.7,410.95
2023-06-01 15:15:00,410.85,411.6,408.1,408.6
2023-06-02 09:15:00,411.85,416.0,405.85,413.45
2023-06-02 10:15:00,413.0,414.0,410.35,410.6
2023-06-02 11:15:00,411.0,411.15,406.45,409.65
2023-06-02 12:15:00,409.7,409.85,405.0,406.6
2023-06-02 13:15:00,406.7,407.4,405.8,406.15
2023-06-02 14:15:00,406.15,407.3,405.3,405.65
2023-06-02 15:15:00,405.5,406.75,404.0,406.0
2023-06-05 09:15:00,405.65,407.55,404.3,407.55
2023-06-05 10:15:00,408.0,408.05,405.0,406.15
2023-06-05 11:15:00,405.4,405.85,403.9,404.65
2023-06-05 12:15:00,404.6,407.0,403.9,405.6
2023-06-05 13:15:00,404.95,406.0,403.9,404.7
2023-06-05 14:15:00,404.7,405.0,402.0,402.6
2023-06-05 15:15:00,402.05,402.8,400.1,401.35
2023-06-06 09:15:00,403.8,406.2,403.45,404.7
2023-06-06 10:15:00,404.0,404.8,400.15,402.05
2023-06-06 11:15:00,402.45,406.7,401.25,404.4
2023-06-06 12:15:00,403.9,406.4,403.9,405.6
2023-06-06 13:15:00,405.6,408.0,404.2,406.0
2023-06-06 14:15:00,405.0,407.5,404.65,406.0
2023-06-06 15:15:00,406.0,407.5,404.2,407.5
2023-06-07 09:15:00,408.0,412.0,407.0,408.05
2023-06-07 10:15:00,408.0,408.5,406.3,406.55
2023-06-07 11:15:00,406.5,408.5,405.45,407.75
2023-06-07 12:15:00,406.85,408.55,406.6,407.8
2023-06-07 13:15:00,408.45,408.5,406.4,407.0
2023-06-07 14:15:00,407.55,407.55,403.65,404.15
2023-06-07 15:15:00,404.15,405.55,398.05,404.5
2023-06-08 09:15:00,402.55,407.7,402.5,405.1
2023-06-08 10:15:00,405.1,405.9,404.5,404.95
2023-06-08 11:15:00,404.95,404.95,400.7,401.6
