date,open,high,low,close
2023-06-01 09:15:00,766.0,767.65,757.8,760.4
2023-06-01 10:15:00,761.65,762.85,760.55,761.55
2023-06-01 11:15:00,761.75,763.7,760.75,760.75
2023-06-01 12:15:00,760.8,763.95,760.75,763.5
2023-06-01 13:15:00,763.65,764.9,762.15,762.45
2023-06-01 14:15:00,762.45,762.95,761.05,762.0
2023-06-01 15:15:00,762.9,763.6,760.0,760.0
2023-06-02 09:15:00,765.9,772.95,765.9,768.85
2023-06-02 10:15:00,768.8,769.95,765.0,766.0
2023-06-02 11:15:00,766.8,768.75,765.6,766.55
2023-06-02 12:15:00,767.3,767.65,765.4,767.0
2023-06-02 13:15:00,767.0,767.8,766.15,767.1
2023-06-02 14:15:00,767.1,775.0,766.85,773.7
2023-06-02 15:15:00,773.6,773.75,770.55,770.55
2023-06-05 09:15:00,775.65,780.0,771.55,774.8
2023-06-05 10:15:00,775.1,776.05,772.05,774.55
2023-06-05 11:15:00,775.6,778.0,774.15,778.0
2023-06-05 12:15:00,777.95,777.95,773.2,775.8
2023-06-05 13:15:00,776.1,778.7,775.2,777.85
2023-06-05 14:15:00,778.0,789.0,777.4,784.0
2023-06-05 15:15:00,784.0,786.25,782.2,782.75
2023-06-06 09:15:00,788.95,790.65,781.6,784.95
2023-06-06 10:15:00,784.95,784.95,779.55,779.6
2023-06-06 11:15:00,780.0,781.9,778.9,780.6
2023-06-06 12:15:00,781.45,785.0,781.3,784.05
2023-06-06 13:15:00,784.0,785.0,780.2,780.9
2023-06-06 14:15:00,781.95,781.95,780.05,781.1
2023-06-06 15:15:00,781.45,783.0,778.8,779.55
2023-06-07 09:15:00,780.25,786.55,779.55,784.0
2023-06-07 10:15:00,783.1,784.35,782.0,782.7
2023-06-07 11:15:00,784.1,784.1,783.0,783.15
2023-06-07 12:15:00,783.15,786.55,781.65,786.3
2023-06-07 13:15:00,786.3,791.6,785.25,790.35
2023-06-07 14:15:00,792.0,799.7,791.0,797.5
2023-06-07 15:15:00,796.25,798.4,796.0,798.4
2023-06-08 09:15:00,797.05,808.75,797.0,803.65
2023-06-08 10:15:00,803.3,828.0,803.3,811.65
2023-06-08 11:15:00,811.0,811.05,798.55,799.85
2023-06-08 12:15:00,801.05,802.5,797.0,799.1
2023-06-08 13:15:00,798.55,807.0,797.8,803.05
2023-06-08 14:15:00,803.0,805.2,798.35,798.35
2023-06-08 15:15:00,802.2,802.2,798.05,801.75
2023-06-09 09:15:00,801.75,808.45,788.0,791.95
2023-06-09 10:15:00,792.0,792.1,787.4,790.4
2023-06-09 11:15:00,791.45,792.35,788.1,789.2
2023-06-09 12:15:00,789.85,789.85,785.2,787.4
2023-06-09 13:15:00,787.0,788.0,782.55,784.7
2023-06-09 14:15:00,784.7,785.7,782.4,784.0
