time,open,high,low,close
2023-07-17 09:15:00,79.95,80.5,79.45,80.2
2023-07-17 10:15:00,80.2,80.5,79.8,80.05
2023-07-17 11:15:00,80.0,82.05,79.8,81.6
2023-07-17 12:15:00,81.6,83.1,81.35,81.95
2023-07-17 13:15:00,81.95,88.25,81.75,87.5
2023-07-17 14:15:00,87.5,88.0,86.35,86.5
2023-07-17 15:15:00,86.5,87.6,86.35,87.45
2023-07-18 09:15:00,87.5,87.5,84.2,86.05
2023-07-18 10:15:00,86.1,86.7,85.1,85.2
2023-07-18 11:15:00,85.3,85.8,83.25,83.9
2023-07-18 12:15:00,83.8,86.1,83.8,86.0
2023-07-18 13:15:00,86.0,88.5,85.8,86.8
2023-07-18 14:15:00,86.8,87.2,85.55,86.5
2023-07-18 15:15:00,86.5,86.5,85.65,85.8
2023-07-19 09:15:00,86.1,88.0,85.95,86.95
2023-07-19 10:15:00,86.95,87.65,86.2,86.3
2023-07-19 11:15:00,86.3,86.3,85.3,85.75
2023-07-19 12:15:00,85.75,85.95,85.2,85.5
2023-07-19 13:15:00,85.5,85.5,84.85,85.25
2023-07-19 14:15:00,85.3,85.3,83.75,83.85
2023-07-19 15:15:00,83.85,84.0,83.55,83.9
2023-07-20 09:15:00,84.35,85.1,82.9,83.5
2023-07-20 10:15:00,83.5,83.7,82.85,83.0
2023-07-20 11:15:00,83.0,85.6,81.8,83.45
2023-07-20 12:15:00,83.45,84.15,83.25,83.65
2023-07-20 13:15:00,83.65,85.6,83.55,83.85
2023-07-20 14:15:00,83.85,86.95,83.85,86.2
2023-07-20 15:15:00,86.3,86.5,85.6,85.95
2023-07-21 09:15:00,85.5,86.5,85.4,85.75
2023-07-21 10:15:00,85.75,87.5,85.6,86.95
2023-07-21 11:15:00,86.9,87.2,86.2,86.75
2023-07-21 12:15:00,86.8,87.45,85.6,86.8
2023-07-21 13:15:00,86.85,87.35,86.3,86.85
2023-07-21 14:15:00,86.75,86.75,84.35,85.25
2023-07-21 15:15:00,85.25,85.55,84.6,84.75
2023-07-24 09:15:00,85.55,90.9,84.8,89.9
2023-07-24 10:15:00,89.85,89.95,88.3,88.6
2023-07-24 11:15:00,88.6,90.0,88.05,89.0
2023-07-24 12:15:00,89.0,89.95,88.7,89.45
2023-07-24 13:15:00,89.45,89.65,88.35,88.35
