date,open,high,low,close
2023-06-01 09:15:00,501.05,506.05,500.8,503.85
2023-06-01 10:15:00,504.15,505.85,503.35,505.5
2023-06-01 11:15:00,505.6,506.55,504.2,505.75
2023-06-01 12:15:00,505.75,506.2,502.9,506.1
2023-06-01 13:15:00,506.0,508.8,505.45,508.25
2023-06-01 14:15:00,508.0,514.2,508.0,513.7
2023-06-01 15:15:00,513.75,514.4,511.0,512.15
2023-06-02 09:15:00,513.4,519.0,513.4,518.45
2023-06-02 10:15:00,518.75,520.85,516.15,520.0
2023-06-02 11:15:00,520.0,520.1,518.65,519.6
2023-06-02 12:15:00,519.3,520.25,518.5,518.7
2023-06-02 13:15:00,518.7,519.0,517.85,518.15
2023-06-02 14:15:00,518.15,519.75,517.0,518.6
2023-06-02 15:15:00,518.6,519.0,517.05,519.0
2023-06-05 09:15:00,522.05,523.6,515.25,515.8
2023-06-05 10:15:00,515.55,516.0,513.45,515.3
2023-06-05 11:15:00,515.3,515.7,513.9,514.4
2023-06-05 12:15:00,514.25,514.5,510.1,510.45
2023-06-05 13:15:00,510.25,510.95,509.05,510.5
2023-06-05 14:15:00,510.55,511.65,508.75,510.25
2023-06-05 15:15:00,510.25,511.0,508.0,508.25
2023-06-06 09:15:00,510.5,515.65,509.45,514.6
2023-06-06 10:15:00,514.85,516.75,513.6,515.6
2023-06-06 11:15:00,515.4,516.5,511.95,512.0
2023-06-06 12:15:00,512.0,512.0,510.6,511.65
2023-06-06 13:15:00,511.45,511.65,509.65,510.5
2023-06-06 14:15:00,510.7,516.6,510.7,515.4
2023-06-06 15:15:00,515.45,516.0,514.3,515.45
2023-06-07 09:15:00,514.05,518.75,513.0,517.65
2023-06-07 10:15:00,517.3,517.9,516.2,517.3
2023-06-07 11:15:00,517.1,517.5,514.55,514.7
2023-06-07 12:15:00,514.7,514.7,513.2,514.0
2023-06-07 13:15:00,514.0,516.0,512.75,512.75
2023-06-07 14:15:00,513.0,515.7,512.75,515.55
2023-06-07 15:15:00,515.7,515.7,514.55,514.7
2023-06-08 09:15:00,518.7,520.5,515.0,516.5
2023-06-08 10:15:00,516.5,516.75,515.05,515.55
2023-06-08 11:15:00,515.55,515.7,511.5,512.6
2023-06-08 12:15:00,512.7,513.35,511.05,511.35
2023-06-08 13:15:00,511.35,515.0,511.1,514.4
2023-06-08 14:15:00,514.35,514.5,511.65,513.75
2023-06-08 15:15:00,513.75,514.0,510.3,513.25
2023-06-09 09:15:00,515.85,516.7,512.1,513.1
2023-06-09 10:15:00,513.1,515.5,513.05,515.35
2023-06-09 11:15:00,515.35,515.85,512.0,512.45
2023-06-09 12:15:00,512.45,513.0,508.0,509.4
2023-06-09 13:15:00,509.35,509.95,508.5,509.45
2023-06-09 14:15:00,509.35,509.55,507.2,507.4
2023-06-09 15:15:00,507.4,508.2,506.0,508.0
2023-06-12 09:15:00,512.95,512.95,506.0,507.35
2023-06-12 10:15:00,507.35,508.5,506.85,507.35
2023-06-12 11:15:00,507.25,507.55,504.0,506.0
2023-06-12 12:15:00,506.2,508.75,505.8,508.7
2023-06-12 13:15:00,508.7,509.65,508.1,509.3
2023-06-12 14:15:00,509.4,510.45,508.8,510.2
2023-06-12 15:15:00,510.15,510.6,509.9,510.25
2023-06-13 09:15:00,510.0,513.65,508.5,511.05
2023-06-13 10:15:00,510.9,516.5,510.25,515.45
2023-06-13 11:15:00,515.55,517.5,515.3,516.75
2023-06-13 12:15:00,516.55,518.95,516.3,517.15
2023-06-13 13:15:00,517.2,517.95,515.0,517.25
2023-06-13 14:15:00,517.25,519.1,515.95,517.85
2023-06-13 15:15:00,517.9,518.25,516.15,518.0
2023-06-14 09:15:00,522.9,523.65,515.6,521.95
2023-06-14 10:15:00,521.75,522.5,517.5,518.55
2023-06-14 11:15:00,518.55,521.7,518.55,521.65
2023-06-14 12:15:00,521.6,531.5,521.5,527.4
