time,open,high,low,close
2023-08-31 09:15:00,281.3,344.7,212.35,296.6
2023-08-31 09:20:00,294.55,296.6,237.5,240.7
2023-08-31 09:25:00,237.25,252.35,170.35,170.8
2023-08-31 09:30:00,168.25,210.95,165.15,203.7
2023-08-31 09:35:00,201.2,363.45,199.6,349.45
2023-08-31 09:40:00,350.3,375.9,327.75,374.25
2023-08-31 09:45:00,379.2,387.45,349.4,353.9
2023-08-31 09:50:00,353.65,374.55,316.5,366.5
2023-08-31 09:55:00,372.9,373.75,336.6,337.0
2023-08-31 10:00:00,333.7,341.35,284.2,284.55
2023-08-31 10:05:00,281.5,286.75,196.05,200.0
2023-08-31 10:10:00,199.35,225.85,185.45,215.75
2023-08-31 10:15:00,216.2,229.6,189.4,199.7
2023-08-31 10:20:00,197.25,211.65,192.65,198.3
2023-08-31 10:25:00,198.35,201.4,146.25,146.85
2023-08-31 10:30:00,146.35,156.7,138.35,144.25
2023-08-31 10:35:00,141.6,148.4,100.35,112.4
2023-08-31 10:40:00,111.75,124.4,109.15,112.65
2023-08-31 10:45:00,111.6,116.45,103.2,107.85
2023-08-31 10:50:00,107.7,113.5,98.8,107.25
2023-08-31 10:55:00,107.7,135.9,87.45,127.5
2023-08-31 11:00:00,127.0,129.05,95.25,103.05
2023-08-31 11:05:00,102.1,115.5,95.7,110.05
2023-08-31 11:10:00,109.4,116.5,102.25,105.45
2023-08-31 11:15:00,105.7,109.25,101.1,101.7
2023-08-31 11:20:00,101.2,151.05,96.65,140.35
2023-08-31 11:25:00,142.95,148.2,115.5,120.7
2023-08-31 11:30:00,120.55,130.05,102.6,128.6
2023-08-31 11:35:00,128.15,134.05,120.0,122.2
2023-08-31 11:40:00,122.3,126.55,111.45,113.95
2023-08-31 11:45:00,114.25,115.9,75.8,75.8
2023-08-31 11:50:00,75.9,85.45,72.35,81.25
2023-08-31 11:55:00,80.7,82.8,68.85,76.85
2023-08-31 12:00:00,76.4,85.55,61.7,82.85
2023-08-31 12:05:00,82.95,91.5,72.8,84.65
2023-08-31 12:10:00,82.7,85.65,74.1,77.2
2023-08-31 12:15:00,77.15,89.9,72.5,87.35
2023-08-31 12:20:00,87.15,87.35,68.0,69.65
2023-08-31 12:25:00,67.05,76.2,60.95,75.2
2023-08-31 12:30:00,76.05,79.0,66.35,69.65
2023-08-31 12:35:00,69.4,72.1,62.3,70.55
2023-08-31 12:40:00,71.05,73.45,54.65,66.45
2023-08-31 12:45:00,66.5,71.85,56.75,65.15
2023-08-31 12:50:00,66.3,67.2,57.65,64.35
2023-08-31 12:55:00,63.8,67.0,52.95,65.9
2023-08-31 13:00:00,65.75,68.45,56.75,59.9
2023-08-31 13:05:00,59.5,78.3,58.5,72.5
2023-08-31 13:10:00,72.75,74.3,34.1,34.75
2023-08-31 13:15:00,34.5,37.3,31.75,34.1
2023-08-31 13:20:00,34.0,41.0,31.1,40.6
2023-08-31 13:25:00,40.6,48.5,35.25,40.3
2023-08-31 13:30:00,42.5,54.35,39.3,53.8
2023-08-31 13:35:00,54.3,115.5,49.85,92.9
2023-08-31 13:40:00,93.2,100.65,75.3,80.3
2023-08-31 13:45:00,82.05,84.45,54.75,56.1
2023-08-31 13:50:00,56.2,64.85,32.45,36.6
2023-08-31 13:55:00,37.05,48.3,36.05,41.2
2023-08-31 14:00:00,40.95,54.8,35.35,42.45
2023-08-31 14:05:00,42.95,47.45,38.1,43.2
2023-08-31 14:10:00,42.9,43.85,24.9,27.5
2023-08-31 14:15:00,27.0,29.75,21.85,27.6
2023-08-31 14:20:00,27.4,35.2,19.5,32.1
2023-08-31 14:25:00,31.2,34.3,22.0,22.25
2023-08-31 14:30:00,22.05,25.5,13.6,16.95
2023-08-31 14:35:00,16.9,17.5,10.0,11.4
2023-08-31 14:40:00,11.35,11.4,6.7,7.0
2023-08-31 14:45:00,7.1,17.25,6.85,8.4
2023-08-31 14:50:00,8.35,10.45,6.1,8.1
2023-08-31 14:55:00,8.15,14.85,7.75,13.0
2023-08-31 15:00:00,13.3,24.3,1.7,2.25
2023-08-31 15:05:00,2.35,2.45,0.85,1.0
2023-08-31 15:10:00,1.15,5.0,1.0,3.0
2023-08-31 15:15:00,3.25,5.0,0.6,0.9
2023-08-31 15:20:00,0.95,1.1,0.3,1.0
2023-08-31 15:25:00,0.9,1.45,0.05,0.15
