date,open,high,low,close
2023-07-07 09:20:00,371.1,372.9,371.05,372.55
2023-07-07 09:25:00,372.5,373.35,372.5,372.6
2023-07-07 09:30:00,373.3,373.3,372.3,372.3
2023-07-07 09:35:00,372.6,373.9,372.6,372.8
2023-07-07 09:40:00,373.05,373.85,372.75,373.15
2023-07-07 09:45:00,373.15,378.0,373.0,376.25
2023-07-07 09:50:00,376.55,376.55,374.15,374.45
2023-07-07 09:55:00,374.9,375.7,374.9,375.45
2023-07-07 10:00:00,375.0,376.1,375.0,376.0
2023-07-07 10:05:00,376.5,377.0,375.8,376.6
2023-07-07 10:10:00,377.3,377.4,375.85,375.85
2023-07-07 10:15:00,375.8,377.2,375.05,377.2
2023-07-07 10:20:00,376.3,376.85,375.05,375.95
2023-07-07 10:25:00,375.95,376.15,375.95,376.15
2023-07-07 10:30:00,376.1,376.1,375.25,375.7
2023-07-07 10:35:00,375.95,375.95,375.0,375.0
2023-07-07 10:40:00,375.0,375.0,374.85,374.85
2023-07-07 10:45:00,373.9,374.2,372.0,372.0
2023-07-07 10:50:00,372.5,374.0,372.4,372.75
2023-07-07 10:55:00,373.65,373.65,372.8,373.35
2023-07-07 11:00:00,373.95,373.95,373.95,373.95
2023-07-07 11:05:00,373.3,373.3,373.2,373.2
2023-07-07 11:10:00,373.25,373.95,373.0,373.4
2023-07-07 11:15:00,373.05,373.95,373.05,373.25
2023-07-07 11:20:00,373.25,373.25,373.25,373.25
2023-07-07 11:25:00,373.1,373.5,372.7,372.7
2023-07-07 11:30:00,373.6,373.95,373.1,373.95
2023-07-07 11:35:00,372.75,372.75,371.0,371.0
2023-07-07 11:40:00,370.8,371.25,370.6,370.6
2023-07-07 11:45:00,370.6,370.6,366.95,368.55
2023-07-07 11:50:00,367.85,369.0,367.55,368.35
2023-07-07 11:55:00,368.95,368.95,368.35,368.35
2023-07-07 12:00:00,368.05,368.05,367.05,367.05
2023-07-07 12:05:00,368.45,368.6,368.0,368.35
2023-07-07 12:10:00,369.0,370.0,368.35,368.7
2023-07-07 12:15:00,368.55,368.55,368.55,368.55
2023-07-07 12:20:00,369.55,369.7,369.45,369.7
2023-07-07 12:25:00,369.1,369.1,369.1,369.1
2023-07-07 12:30:00,369.05,369.05,368.55,368.8
2023-07-07 12:35:00,369.3,369.3,368.15,368.5
2023-07-07 12:40:00,368.0,368.2,367.95,368.2
2023-07-07 12:45:00,368.75,368.75,368.75,368.75
2023-07-07 12:50:00,368.25,368.25,368.25,368.25
2023-07-07 12:55:00,369.1,369.1,369.1,369.1
2023-07-07 13:10:00,368.55,368.55,368.5,368.5
2023-07-07 13:15:00,368.5,369.0,368.5,369.0
2023-07-07 13:25:00,370.7,370.7,370.65,370.7
