date,open,high,low,close
2023-07-12 11:00:00,335.65,335.65,335.3,335.3
2023-07-12 11:05:00,335.3,335.3,335.0,335.0
2023-07-12 11:10:00,335.4,335.4,335.0,335.0
2023-07-12 11:15:00,335.3,335.45,335.0,335.45
2023-07-12 11:20:00,335.4,335.4,335.0,335.0
2023-07-12 11:25:00,335.0,335.0,335.0,335.0
2023-07-12 11:30:00,335.35,335.45,335.0,335.0
2023-07-12 11:35:00,335.0,335.0,335.0,335.0
2023-07-12 11:40:00,335.25,335.25,335.0,335.0
2023-07-12 11:45:00,335.0,335.15,335.0,335.15
2023-07-12 11:50:00,335.15,335.2,335.15,335.2
2023-07-12 11:55:00,335.65,335.85,335.55,335.85
2023-07-12 12:00:00,335.85,335.95,335.65,335.65
2023-07-12 12:05:00,335.85,335.85,335.85,335.85
2023-07-12 12:10:00,335.65,335.65,335.6,335.6
2023-07-12 12:15:00,335.45,335.5,335.45,335.5
2023-07-12 12:20:00,335.55,335.55,335.05,335.05
2023-07-12 12:25:00,335.05,335.6,335.0,335.6
2023-07-12 12:30:00,335.65,335.65,335.65,335.65
2023-07-12 12:35:00,335.65,335.65,335.5,335.5
2023-07-12 12:40:00,335.65,335.65,335.05,335.25
2023-07-12 12:45:00,335.25,335.25,335.0,335.0
2023-07-12 12:50:00,335.0,335.2,335.0,335.2
2023-07-12 12:55:00,335.0,335.0,335.0,335.0
2023-07-12 13:00:00,335.25,335.35,335.25,335.3
2023-07-12 13:05:00,335.5,335.5,335.1,335.1
2023-07-12 13:10:00,335.15,335.15,335.0,335.0
2023-07-12 13:15:00,334.75,334.75,333.65,333.65
2023-07-12 13:20:00,333.95,333.95,333.95,333.95
2023-07-12 13:25:00,333.3,333.95,333.0,333.0
2023-07-12 13:30:00,333.9,333.9,333.45,333.7
2023-07-12 13:35:00,333.75,333.75,333.3,333.3
2023-07-12 13:40:00,333.25,333.35,332.55,333.05
2023-07-12 13:45:00,333.0,333.25,333.0,333.25
2023-07-12 13:50:00,333.25,333.25,333.0,333.0
2023-07-12 13:55:00,333.0,333.25,333.0,333.25
2023-07-12 14:00:00,333.1,333.2,332.9,333.2
2023-07-12 14:05:00,333.2,333.25,333.15,333.15
2023-07-12 14:10:00,333.25,333.5,333.05,333.15
2023-07-12 14:15:00,333.1,333.25,332.65,332.65
2023-07-12 14:20:00,333.0,333.6,333.0,333.6
2023-07-12 14:25:00,333.55,333.55,333.2,333.4
2023-07-12 14:30:00,333.4,333.4,333.1,333.1
2023-07-12 14:35:00,333.4,333.45,333.35,333.35
2023-07-12 14:40:00,333.7,333.95,333.35,333.35
2023-07-12 14:45:00,333.15,333.9,333.15,333.9
2023-07-12 14:50:00,333.65,333.7,333.05,333.45
2023-07-12 14:55:00,333.45,333.85,333.0,333.85
2023-07-12 15:00:00,333.85,334.0,333.25,333.4
2023-07-12 15:05:00,333.25,334.55,332.4,334.55
2023-07-12 15:10:00,334.3,334.3,333.55,333.75
2023-07-12 15:15:00,333.75,334.35,332.25,333.4
2023-07-12 15:20:00,332.55,333.3,332.55,332.6
2023-07-12 15:25:00,333.0,333.0,332.25,332.85
2023-07-13 09:15:00,336.9,338.0,335.15,337.05
2023-07-13 09:20:00,337.05,337.1,336.0,336.0
2023-07-13 09:25:00,336.0,336.4,335.3,335.9
2023-07-13 09:30:00,336.25,336.45,335.0,335.0
2023-07-13 09:35:00,335.35,336.45,335.25,335.25
2023-07-13 09:40:00,335.0,336.0,335.0,335.9
2023-07-13 09:45:00,335.75,335.9,335.25,335.35
2023-07-13 09:50:00,335.45,335.8,334.5,334.5
2023-07-13 09:55:00,334.45,336.35,334.45,335.8
2023-07-13 10:00:00,335.8,336.1,335.55,336.0
2023-07-13 10:05:00,336.05,336.05,335.2,335.65
2023-07-13 10:10:00,335.95,336.15,335.8,335.85
2023-07-13 10:15:00,335.55,336.0,335.0,335.3
2023-07-13 10:20:00,334.9,335.7,334.9,335.7
2023-07-13 10:25:00,335.5,335.5,334.1,334.1
2023-07-13 10:30:00,333.85,333.85,332.9,333.85
2023-07-13 10:35:00,334.0,334.0,333.55,333.55
2023-07-13 10:40:00,334.1,334.15,334.0,334.05
2023-07-13 10:45:00,334.1,334.5,333.5,334.35
2023-07-13 10:50:00,333.8,334.25,333.55,333.55
2023-07-13 10:55:00,334.0,334.0,333.85,333.85
2023-07-13 11:00:00,334.05,334.05,334.05,334.05
2023-07-13 11:05:00,334.0,334.05,333.9,333.9
2023-07-13 11:10:00,333.9,334.6,333.9,334.5
2023-07-13 11:15:00,334.4,334.45,334.05,334.4
2023-07-13 11:20:00,334.4,335.45,334.4,335.45
2023-07-13 11:25:00,334.85,335.5,334.8,335.5
2023-07-13 11:30:00,335.5,335.5,334.25,334.25
2023-07-13 11:35:00,334.45,334.45,333.55,334.0
2023-07-13 11:40:00,334.35,334.35,334.0,334.0
2023-07-13 11:45:00,334.0,334.35,333.95,333.95
2023-07-13 11:50:00,334.05,334.4,334.0,334.4
2023-07-13 11:55:00,334.4,334.4,333.5,333.5
2023-07-13 12:00:00,333.5,334.05,332.55,332.8
2023-07-13 12:05:00,332.9,333.0,332.55,332.55
2023-07-13 12:10:00,332.6,332.6,332.2,332.2
2023-07-13 12:15:00,332.5,332.65,332.05,332.65
2023-07-13 12:20:00,333.0,333.0,332.55,332.55
2023-07-13 12:25:00,332.7,333.0,332.5,332.9
2023-07-13 12:30:00,332.85,332.85,332.5,332.75
2023-07-13 12:35:00,332.8,332.95,332.5,332.5
2023-07-13 12:40:00,332.85,332.85,332.6,332.6
2023-07-13 12:45:00,332.55,332.65,332.55,332.65
2023-07-13 12:50:00,332.95,333.0,332.95,332.95
2023-07-13 12:55:00,332.95,332.95,332.65,332.65
2023-07-13 13:00:00,332.65,332.95,332.65,332.95
2023-07-13 13:05:00,332.85,332.85,332.85,332.85
2023-07-13 13:10:00,332.85,332.95,332.85,332.95
2023-07-13 13:15:00,332.8,332.8,332.0,332.8
2023-07-13 13:20:00,332.55,332.75,332.55,332.75
2023-07-13 13:25:00,332.7,332.7,332.7,332.7
2023-07-13 13:30:00,332.25,332.3,332.0,332.05
2023-07-13 13:35:00,332.3,332.3,332.0,332.0
2023-07-13 13:40:00,332.0,332.1,332.0,332.0
2023-07-13 13:45:00,332.0,332.0,331.7,331.8
2023-07-13 13:50:00,331.8,331.8,331.05,331.55
2023-07-13 13:55:00,331.45,331.75,331.05,331.05
2023-07-13 14:00:00,331.0,331.0,330.2,330.3
2023-07-13 14:05:00,330.3,330.3,328.8,328.95
2023-07-13 14:10:00,328.85,329.7,328.55,329.7
2023-07-13 14:15:00,329.65,329.65,328.7,329.0
2023-07-13 14:20:00,329.0,332.05,329.0,331.8
2023-07-13 14:25:00,331.8,331.8,330.55,330.9
2023-07-13 14:30:00,330.9,331.2,330.05,330.05
2023-07-13 14:35:00,329.75,330.45,329.55,329.7
2023-07-13 14:40:00,329.7,329.8,329.1,329.15
2023-07-13 14:45:00,329.15,330.25,329.15,330.25
2023-07-13 14:50:00,330.75,330.75,329.55,330.0
2023-07-13 14:55:00,329.9,330.3,329.35,330.3
2023-07-13 15:00:00,330.15,330.7,329.55,330.7
2023-07-13 15:05:00,331.1,334.4,330.25,334.4
2023-07-13 15:10:00,333.35,333.95,332.7,333.95
2023-07-13 15:15:00,333.0,333.9,332.9,333.1
2023-07-13 15:20:00,333.05,333.8,333.05,333.8
2023-07-13 15:25:00,333.8,335.0,331.9,332.25
2023-07-14 09:15:00,332.5,335.05,332.5,333.85
2023-07-14 09:20:00,333.3,334.3,332.9,334.1
2023-07-14 09:25:00,333.6,334.5,333.5,334.5
2023-07-14 09:30:00,334.7,335.6,334.3,334.75
2023-07-14 09:35:00,334.3,334.3,333.4,333.6
2023-07-14 09:40:00,333.95,334.95,333.55,334.95
2023-07-14 09:45:00,334.95,334.95,333.15,333.75
2023-07-14 09:50:00,333.7,334.3,333.4,334.3
2023-07-14 09:55:00,334.3,334.55,333.85,333.85
2023-07-14 10:00:00,333.3,333.9,333.0,333.6
2023-07-14 10:05:00,333.7,333.9,333.1,333.3
2023-07-14 10:10:00,333.35,333.4,333.2,333.4
2023-07-14 10:15:00,333.4,333.95,333.3,333.4
2023-07-14 10:20:00,333.85,333.95,333.85,333.95
2023-07-14 10:25:00,333.95,334.4,333.55,334.4
2023-07-14 10:30:00,334.0,334.5,334.0,334.45
2023-07-14 10:35:00,334.0,334.0,334.0,334.0
2023-07-14 10:40:00,334.0,334.35,333.65,333.9
2023-07-14 10:45:00,333.5,334.0,333.5,333.8
2023-07-14 10:50:00,333.85,333.95,333.3,333.65
2023-07-14 10:55:00,334.0,334.05,333.95,334.0
2023-07-14 11:00:00,334.2,334.2,333.4,333.5
2023-07-14 11:05:00,333.5,334.05,333.5,334.05
2023-07-14 11:10:00,333.95,334.0,333.55,334.0
2023-07-14 11:15:00,334.0,334.0,333.65,333.65
2023-07-14 11:20:00,333.65,334.2,333.65,334.2
2023-07-14 11:25:00,334.15,334.3,333.75,334.3
2023-07-14 11:30:00,334.5,334.5,334.2,334.5
2023-07-14 11:35:00,334.2,334.5,334.05,334.45
2023-07-14 11:40:00,334.1,334.1,334.1,334.1
2023-07-14 11:45:00,334.0,334.0,333.5,333.5
2023-07-14 11:50:00,333.5,333.55,333.5,333.55
2023-07-14 11:55:00,333.7,334.15,333.7,334.0
2023-07-14 12:00:00,334.0,334.0,333.9,333.9
2023-07-14 12:05:00,333.6,334.0,333.6,334.0
2023-07-14 12:10:00,334.0,334.0,333.0,333.75
2023-07-14 12:15:00,333.45,333.6,333.45,333.6
2023-07-14 12:20:00,333.6,333.8,333.55,333.55
2023-07-14 12:25:00,333.55,334.45,333.0,333.95
2023-07-14 12:30:00,333.7,333.7,333.7,333.7
2023-07-14 12:35:00,333.25,334.3,333.25,334.3
2023-07-14 12:40:00,334.4,334.5,334.0,334.5
2023-07-14 12:45:00,334.5,334.6,334.05,334.6
2023-07-14 12:50:00,334.0,334.0,334.0,334.0
2023-07-14 12:55:00,334.4,334.4,334.4,334.4
2023-07-14 13:00:00,334.8,334.8,334.65,334.65
2023-07-14 13:05:00,334.65,334.7,334.1,334.7
2023-07-14 13:10:00,334.35,334.75,334.25,334.45
2023-07-14 13:15:00,334.75,334.75,333.85,334.1
2023-07-14 13:20:00,334.15,334.15,333.15,333.15
2023-07-14 13:25:00,333.55,333.55,333.15,333.5
2023-07-14 13:30:00,333.5,333.5,333.1,333.15
2023-07-14 13:35:00,333.15,333.65,333.15,333.25
