date,open,high,low,close
2023-07-10 13:20:00,59.8,59.8,59.8,59.8
2023-07-10 13:25:00,59.55,59.75,59.55,59.6
2023-07-10 13:30:00,59.6,59.6,59.6,59.6
2023-07-10 13:35:00,59.8,59.8,59.8,59.8
2023-07-10 13:40:00,59.6,59.6,59.6,59.6
2023-07-10 13:45:00,59.85,59.85,59.85,59.85
2023-07-10 13:50:00,59.85,59.85,59.85,59.85
2023-07-10 13:55:00,59.85,59.85,59.6,59.6
2023-07-10 14:00:00,59.85,59.85,59.85,59.85
2023-07-10 14:05:00,59.6,59.85,59.6,59.85
2023-07-10 14:10:00,59.6,59.8,59.6,59.8
2023-07-10 14:15:00,59.8,59.8,59.5,59.5
2023-07-10 14:20:00,59.7,59.7,59.7,59.7
2023-07-10 14:25:00,59.8,59.8,59.7,59.7
2023-07-10 14:30:00,59.5,59.7,59.5,59.7
2023-07-10 14:35:00,59.6,59.65,59.6,59.6
2023-07-10 14:40:00,59.6,59.6,59.6,59.6
2023-07-10 14:45:00,59.65,59.65,59.65,59.65
2023-07-10 14:50:00,59.65,59.65,59.55,59.55
2023-07-10 14:55:00,59.55,59.55,59.5,59.5
2023-07-10 15:00:00,59.5,59.5,59.5,59.5
2023-07-10 15:05:00,59.5,59.55,59.3,59.55
2023-07-10 15:10:00,59.8,59.8,59.35,59.7
2023-07-10 15:15:00,59.7,59.7,59.45,59.7
2023-07-10 15:20:00,59.45,59.75,59.45,59.55
2023-07-10 15:25:00,59.55,59.85,59.5,59.55
2023-07-11 09:15:00,59.55,60.3,59.55,60.3
2023-07-11 09:20:00,60.3,60.3,59.9,59.95
2023-07-11 09:25:00,59.9,60.2,59.9,60.05
2023-07-11 09:30:00,60.2,60.2,60.05,60.2
2023-07-11 09:35:00,60.0,60.2,60.0,60.2
2023-07-11 09:40:00,60.2,60.2,60.05,60.05
2023-07-11 09:45:00,60.2,60.2,60.2,60.2
2023-07-11 09:50:00,60.2,60.2,60.05,60.05
2023-07-11 09:55:00,60.15,60.15,60.05,60.15
2023-07-11 10:00:00,60.05,60.15,60.05,60.05
2023-07-11 10:05:00,60.05,60.15,60.05,60.15
2023-07-11 10:10:00,60.05,60.2,60.05,60.05
2023-07-11 10:15:00,60.05,60.2,60.0,60.2
2023-07-11 10:20:00,60.2,60.2,60.0,60.1
2023-07-11 10:30:00,60.2,60.35,60.2,60.2
2023-07-11 10:35:00,60.2,61.0,60.05,60.05
2023-07-11 10:40:00,60.05,60.4,60.05,60.4
2023-07-11 10:50:00,60.4,60.5,60.05,60.5
2023-07-11 10:55:00,61.0,61.0,60.55,60.65
2023-07-11 11:00:00,60.5,60.5,60.4,60.4
2023-07-11 11:05:00,60.25,60.25,60.25,60.25
2023-07-11 11:10:00,60.6,60.65,60.5,60.55
2023-07-11 11:15:00,60.6,60.65,60.6,60.65
2023-07-11 11:20:00,60.3,60.6,60.3,60.6
2023-07-11 11:25:00,60.6,60.6,60.4,60.6
2023-07-11 11:30:00,60.6,60.65,60.6,60.65
2023-07-11 11:35:00,60.6,60.65,60.6,60.65
2023-07-11 11:40:00,60.6,60.6,60.6,60.6
2023-07-11 11:45:00,60.35,60.35,60.35,60.35
2023-07-11 11:55:00,60.45,60.45,60.45,60.45
2023-07-11 12:05:00,60.4,60.45,60.4,60.45
2023-07-11 12:10:00,60.45,60.45,60.35,60.45
2023-07-11 12:15:00,60.25,60.25,60.1,60.15
2023-07-11 12:25:00,60.25,60.25,60.15,60.15
2023-07-11 12:30:00,60.0,60.2,60.0,60.0
2023-07-11 12:35:00,59.85,59.9,59.85,59.9
2023-07-11 12:45:00,59.9,59.9,59.75,59.75
2023-07-11 12:50:00,59.7,59.75,59.7,59.75
2023-07-11 12:55:00,59.75,59.95,59.75,59.95
2023-07-11 13:00:00,60.0,60.1,59.9,60.1
2023-07-11 13:05:00,60.0,60.2,60.0,60.2
