date,open,high,low,close
2023-07-12 11:20:00,321.0,321.0,320.55,320.8
2023-07-12 11:25:00,320.8,321.2,320.55,321.2
2023-07-12 11:30:00,321.2,321.25,320.5,320.8
2023-07-12 11:35:00,320.7,320.85,320.45,320.45
2023-07-12 11:40:00,320.5,320.5,319.2,319.5
2023-07-12 11:45:00,319.5,319.85,319.15,319.25
2023-07-12 11:50:00,319.25,319.75,319.1,319.1
2023-07-12 11:55:00,319.1,319.5,319.1,319.5
2023-07-12 12:00:00,319.5,319.55,318.5,318.5
2023-07-12 12:05:00,318.55,319.25,318.4,319.25
2023-07-12 12:10:00,319.25,319.55,318.8,319.5
2023-07-12 12:15:00,319.5,319.75,319.45,319.45
2023-07-12 12:20:00,319.5,319.8,319.15,319.75
2023-07-12 12:25:00,319.75,319.95,319.3,319.95
2023-07-12 12:30:00,319.7,320.45,319.7,320.45
2023-07-12 12:35:00,320.6,320.6,319.7,320.0
2023-07-12 12:40:00,320.0,320.0,319.75,319.9
2023-07-12 12:45:00,319.9,319.9,319.75,319.75
2023-07-12 12:50:00,319.9,319.9,319.7,319.75
2023-07-12 12:55:00,319.75,319.9,319.55,319.8
2023-07-12 13:00:00,319.8,319.9,319.5,319.5
2023-07-12 13:05:00,319.9,319.9,319.6,319.6
2023-07-12 13:10:00,319.6,320.7,319.6,320.7
2023-07-12 13:15:00,320.4,320.65,320.15,320.35
2023-07-12 13:20:00,320.4,320.85,320.1,320.5
2023-07-12 13:25:00,320.75,320.75,320.15,320.35
2023-07-12 13:30:00,320.35,320.95,320.0,320.95
2023-07-12 13:35:00,320.95,320.95,320.3,320.55
2023-07-12 13:40:00,320.75,320.9,320.45,320.65
2023-07-12 13:45:00,320.9,320.9,320.65,320.8
2023-07-12 13:50:00,320.85,320.9,320.5,320.5
2023-07-12 13:55:00,320.45,320.85,320.35,320.55
2023-07-12 14:00:00,320.55,320.9,320.4,320.45
2023-07-12 14:05:00,320.4,320.75,320.4,320.65
2023-07-12 14:10:00,320.35,320.65,320.3,320.35
2023-07-12 14:15:00,320.35,320.35,319.8,319.9
2023-07-12 14:20:00,319.9,320.95,319.8,320.8
2023-07-12 14:25:00,321.0,321.0,320.2,320.2
2023-07-12 14:30:00,320.6,320.9,320.1,320.25
2023-07-12 14:35:00,320.3,320.75,320.3,320.7
2023-07-12 14:40:00,320.6,320.9,320.5,320.75
2023-07-12 14:45:00,320.5,320.8,320.5,320.75
2023-07-12 14:50:00,320.75,320.9,320.5,320.5
2023-07-12 14:55:00,320.8,320.8,320.05,320.05
2023-07-12 15:00:00,320.4,320.4,319.3,319.7
2023-07-12 15:05:00,319.65,319.95,319.65,319.75
2023-07-12 15:10:00,319.7,319.95,319.4,319.5
2023-07-12 15:15:00,319.45,319.6,319.05,319.3
2023-07-12 15:20:00,319.15,319.5,318.0,318.85
2023-07-12 15:25:00,318.85,319.0,318.45,318.7
2023-07-13 09:15:00,320.8,321.9,319.7,319.8
2023-07-13 09:20:00,319.6,320.65,319.4,320.05
2023-07-13 09:25:00,320.35,320.45,319.9,320.3
2023-07-13 09:30:00,320.5,320.75,320.1,320.45
2023-07-13 09:35:00,320.4,320.45,320.1,320.1
2023-07-13 09:40:00,320.3,320.6,319.8,320.4
2023-07-13 09:45:00,320.35,320.4,319.5,319.8
2023-07-13 09:50:00,319.6,319.9,319.3,319.35
2023-07-13 09:55:00,319.35,319.85,319.15,319.7
2023-07-13 10:00:00,319.7,319.8,319.05,319.05
2023-07-13 10:05:00,319.4,319.65,319.4,319.5
2023-07-13 10:10:00,319.5,319.5,319.05,319.1
2023-07-13 10:15:00,319.4,319.5,318.85,318.85
2023-07-13 10:20:00,318.85,319.25,318.75,318.8
2023-07-13 10:25:00,318.95,319.2,318.6,319.2
2023-07-13 10:30:00,319.3,319.3,318.2,318.7
2023-07-13 10:35:00,318.7,318.9,318.3,318.9
2023-07-13 10:40:00,318.9,319.0,318.6,318.7
2023-07-13 10:45:00,318.7,319.0,318.25,318.5
2023-07-13 10:50:00,318.45,318.6,318.3,318.45
2023-07-13 10:55:00,318.35,318.45,316.95,317.3
2023-07-13 11:00:00,317.35,317.7,316.6,316.6
2023-07-13 11:05:00,316.8,316.9,316.65,316.8
2023-07-13 11:10:00,316.8,316.8,316.3,316.5
2023-07-13 11:15:00,316.45,316.8,316.25,316.8
2023-07-13 11:20:00,316.8,316.8,316.0,316.8
2023-07-13 11:25:00,316.75,317.3,316.75,317.1
2023-07-13 11:30:00,317.3,317.8,317.05,317.4
2023-07-13 11:35:00,317.4,317.7,317.35,317.7
2023-07-13 11:40:00,317.7,318.65,317.6,318.0
2023-07-13 11:45:00,318.2,318.4,317.95,318.2
2023-07-13 11:50:00,318.35,318.7,318.25,318.5
2023-07-13 11:55:00,318.5,318.5,318.15,318.2
2023-07-13 12:00:00,318.45,318.65,318.25,318.4
2023-07-13 12:05:00,318.2,318.4,318.2,318.2
2023-07-13 12:10:00,318.35,318.45,318.0,318.4
2023-07-13 12:15:00,318.35,318.35,317.8,318.25
2023-07-13 12:20:00,318.25,318.5,317.95,318.35
2023-07-13 12:25:00,318.35,318.35,317.9,317.9
2023-07-13 12:30:00,317.95,318.15,317.65,317.9
2023-07-13 12:35:00,317.9,318.1,317.8,318.05
2023-07-13 12:40:00,318.0,318.4,318.0,318.25
2023-07-13 12:45:00,318.3,318.3,317.85,318.3
2023-07-13 12:50:00,318.3,318.3,318.0,318.2
2023-07-13 12:55:00,318.2,318.55,317.9,318.35
2023-07-13 13:00:00,318.05,318.35,317.8,317.8
2023-07-13 13:05:00,318.0,318.0,317.65,317.9
2023-07-13 13:10:00,317.7,318.25,317.7,318.05
