date,open,high,low,close
2023-07-12 11:20:00,794.9,795.35,794.6,795.15
2023-07-12 11:25:00,794.7,795.5,794.5,795.0
2023-07-12 11:30:00,795.05,795.5,794.3,794.6
2023-07-12 11:35:00,794.2,794.2,793.0,793.7
2023-07-12 11:40:00,793.15,794.05,792.75,793.35
2023-07-12 11:45:00,793.45,794.15,790.3,792.45
2023-07-12 11:50:00,792.45,794.0,792.45,794.0
2023-07-12 11:55:00,793.6,794.65,793.0,794.65
2023-07-12 12:00:00,794.6,794.65,793.0,793.55
2023-07-12 12:05:00,793.5,794.8,793.05,794.8
2023-07-12 12:10:00,794.85,795.75,794.45,795.2
2023-07-12 12:15:00,795.25,795.8,794.75,795.05
2023-07-12 12:20:00,795.7,795.7,794.1,794.1
2023-07-12 12:25:00,793.65,793.65,790.8,791.3
2023-07-12 12:30:00,791.3,792.0,791.05,791.1
2023-07-12 12:35:00,791.05,792.35,791.05,791.8
2023-07-12 12:40:00,791.8,792.35,791.75,791.9
2023-07-12 12:45:00,792.2,792.9,791.9,792.1
2023-07-12 12:50:00,792.55,792.85,792.0,792.0
2023-07-12 12:55:00,792.4,792.4,791.35,791.35
2023-07-12 13:00:00,791.2,791.85,791.05,791.1
2023-07-12 13:05:00,791.1,791.5,790.6,790.75
2023-07-12 13:10:00,790.7,791.5,790.7,790.8
2023-07-12 13:15:00,790.9,791.4,790.2,790.2
2023-07-12 13:20:00,790.75,790.85,790.2,790.25
2023-07-12 13:25:00,790.2,790.2,788.55,788.55
2023-07-12 13:30:00,789.0,794.05,787.1,794.05
2023-07-12 13:35:00,794.35,795.45,794.1,795.0
2023-07-12 13:40:00,795.0,795.0,793.35,793.9
2023-07-12 13:45:00,793.95,793.95,792.15,792.15
2023-07-12 13:50:00,792.2,793.0,792.0,792.5
2023-07-12 13:55:00,792.85,793.25,792.1,793.25
2023-07-12 14:00:00,793.25,794.5,793.25,793.85
2023-07-12 14:05:00,794.1,794.1,793.0,793.15
2023-07-12 14:10:00,793.15,793.65,789.55,789.85
2023-07-12 14:15:00,790.05,791.55,789.45,791.55
2023-07-12 14:20:00,791.65,791.65,790.7,791.55
2023-07-12 14:25:00,791.55,791.55,790.55,790.55
2023-07-12 14:30:00,791.0,791.55,790.6,791.0
2023-07-12 14:35:00,790.9,791.7,790.6,791.65
2023-07-12 14:40:00,791.8,793.65,791.8,793.5
2023-07-12 14:45:00,793.65,794.4,793.65,794.2
2023-07-12 14:50:00,794.4,794.7,792.55,792.8
2023-07-12 14:55:00,792.8,794.1,792.6,794.1
2023-07-12 15:00:00,794.0,795.1,793.1,795.0
2023-07-12 15:05:00,795.0,796.0,794.4,795.1
2023-07-12 15:10:00,795.05,796.8,794.5,796.0
