date,open,high,low,close
2023-06-22 13:50:00,127.0,127.0,127.0,127.0
2023-06-22 13:55:00,127.0,127.0,126.6,126.6
2023-06-22 14:15:00,126.9,126.9,126.9,126.9
2023-06-22 14:25:00,126.9,126.9,126.9,126.9
2023-06-22 14:45:00,126.85,126.85,126.85,126.85
2023-06-22 14:50:00,126.85,126.85,126.85,126.85
2023-06-22 14:55:00,126.5,126.5,126.5,126.5
2023-06-22 15:00:00,126.35,126.85,126.35,126.85
2023-06-22 15:05:00,126.85,126.9,126.85,126.9
2023-06-22 15:10:00,126.25,126.55,126.25,126.55
2023-06-22 15:15:00,126.55,126.55,126.55,126.55
2023-06-22 15:20:00,126.95,126.95,126.6,126.8
2023-06-22 15:25:00,126.9,127.8,126.9,127.8
2023-06-23 09:25:00,127.45,127.45,126.9,126.9
2023-06-23 09:30:00,126.85,126.85,126.85,126.85
2023-06-23 09:35:00,126.45,126.45,126.45,126.45
2023-06-23 09:40:00,125.8,125.8,125.6,125.6
2023-06-23 09:45:00,125.8,125.8,125.5,125.5
2023-06-23 09:50:00,125.5,125.5,125.35,125.5
2023-06-23 09:55:00,125.05,125.05,125.05,125.05
2023-06-23 10:00:00,125.35,125.35,125.35,125.35
2023-06-23 10:05:00,125.4,125.4,125.4,125.4
2023-06-23 10:15:00,125.95,125.95,125.95,125.95
2023-06-23 10:20:00,125.5,126.0,125.5,126.0
2023-06-23 10:25:00,126.2,126.2,126.2,126.2
2023-06-23 10:30:00,126.25,126.25,126.25,126.25
2023-06-23 10:35:00,125.8,126.4,125.8,126.4
2023-06-23 10:45:00,126.8,126.8,126.8,126.8
2023-06-23 10:50:00,128.25,128.25,128.0,128.25
2023-06-23 11:00:00,128.1,128.1,128.0,128.0
2023-06-23 11:05:00,128.0,128.25,128.0,128.25
2023-06-23 11:10:00,128.0,128.25,128.0,128.0
2023-06-23 11:15:00,128.4,128.4,128.35,128.35
2023-06-23 11:20:00,128.5,128.5,128.5,128.5
2023-06-23 11:25:00,128.5,128.75,128.5,128.75
2023-06-23 11:35:00,129.1,129.1,129.0,129.0
2023-06-23 11:40:00,129.0,129.0,129.0,129.0
2023-06-23 11:45:00,129.0,129.65,129.0,129.65
2023-06-23 11:50:00,129.65,129.65,129.0,129.5
2023-06-23 12:00:00,128.85,128.85,128.85,128.85
2023-06-23 12:10:00,128.8,128.8,128.8,128.8
2023-06-23 12:20:00,128.65,128.65,128.65,128.65
2023-06-23 12:30:00,128.65,128.65,128.65,128.65
2023-06-23 12:55:00,129.6,129.6,129.6,129.6
2023-06-23 13:00:00,128.8,128.8,128.8,128.8
2023-06-23 13:05:00,128.95,128.95,128.8,128.8
2023-06-23 13:10:00,128.8,128.8,128.8,128.8
2023-06-23 13:15:00,128.8,128.8,128.8,128.8
2023-06-23 13:30:00,128.7,129.0,128.7,129.0
2023-06-23 13:35:00,129.1,129.1,129.1,129.1
2023-06-23 13:40:00,130.05,130.45,130.0,130.0
2023-06-23 13:50:00,130.0,130.0,130.0,130.0
2023-06-23 13:55:00,130.0,130.0,130.0,130.0
2023-06-23 14:00:00,130.0,130.0,130.0,130.0
2023-06-23 14:05:00,130.4,131.2,130.4,130.6
2023-06-23 14:10:00,131.05,131.05,130.9,130.9
2023-06-23 14:15:00,130.3,130.3,130.3,130.3
2023-06-23 14:20:00,130.3,130.3,130.0,130.15
2023-06-23 14:25:00,130.15,130.4,130.1,130.1
2023-06-23 14:30:00,130.1,130.1,130.0,130.0
2023-06-23 14:35:00,130.4,131.1,129.55,131.1
2023-06-23 14:40:00,130.2,131.1,130.05,131.1
2023-06-23 14:45:00,131.1,131.1,130.55,130.55
2023-06-23 14:50:00,130.55,130.7,130.55,130.7
2023-06-23 14:55:00,131.1,131.1,131.05,131.05
2023-06-23 15:00:00,131.05,131.05,130.65,130.95
2023-06-23 15:05:00,131.0,131.1,130.3,130.3
2023-06-23 15:10:00,132.0,132.0,130.35,130.35
2023-06-23 15:15:00,131.5,131.5,131.5,131.5
2023-06-23 15:20:00,131.2,131.2,130.75,131.0
2023-06-23 15:25:00,130.65,131.5,130.15,130.15
2023-06-26 09:15:00,131.9,132.65,130.0,130.0
2023-06-26 09:25:00,130.95,130.95,130.95,130.95
2023-06-26 09:35:00,130.9,130.9,130.9,130.9
2023-06-26 09:50:00,130.35,130.95,130.05,130.05
2023-06-26 09:55:00,130.7,130.7,130.05,130.05
2023-06-26 10:00:00,130.4,130.4,129.9,129.9
2023-06-26 10:05:00,129.9,129.9,129.35,129.35
2023-06-26 10:10:00,129.45,129.45,129.45,129.45
2023-06-26 10:20:00,129.4,129.6,129.1,129.6
2023-06-26 10:30:00,129.6,129.6,129.6,129.6
2023-06-26 10:35:00,128.6,128.6,128.1,128.1
2023-06-26 10:40:00,129.4,129.4,129.35,129.35
2023-06-26 10:45:00,128.6,128.6,128.6,128.6
2023-06-26 10:55:00,129.2,129.4,129.2,129.4
2023-06-26 11:05:00,129.7,129.7,129.7,129.7
2023-06-26 11:10:00,129.4,129.4,129.4,129.4
2023-06-26 11:20:00,129.7,129.7,129.55,129.55
2023-06-26 11:40:00,129.6,129.6,129.55,129.55
2023-06-26 11:45:00,130.0,130.0,130.0,130.0
2023-06-26 11:50:00,129.6,129.6,129.6,129.6
2023-06-26 12:00:00,130.0,130.0,130.0,130.0
2023-06-26 12:15:00,130.15,130.15,130.15,130.15
2023-06-26 12:40:00,130.15,130.15,130.15,130.15
2023-06-26 13:00:00,130.2,130.2,130.2,130.2
2023-06-26 13:15:00,130.4,130.4,130.4,130.4
2023-06-26 13:30:00,130.4,131.35,130.4,131.15
2023-06-26 13:35:00,131.15,131.15,131.15,131.15
2023-06-26 13:40:00,131.25,131.9,130.8,131.9
2023-06-26 13:45:00,131.9,131.9,131.9,131.9
2023-06-26 13:50:00,132.0,132.0,131.9,131.9
2023-06-26 13:55:00,131.55,131.9,130.05,130.85
2023-06-26 14:00:00,130.2,130.45,129.45,130.45
2023-06-26 14:05:00,130.2,130.2,130.2,130.2
2023-06-26 14:10:00,130.9,130.9,130.9,130.9
2023-06-26 14:15:00,131.95,131.95,130.55,130.55
2023-06-26 14:20:00,131.5,133.65,130.6,132.65
2023-06-26 14:25:00,132.0,132.0,131.5,132.0
2023-06-26 14:30:00,132.45,133.3,132.45,133.0
2023-06-26 14:35:00,132.95,132.95,132.0,132.55
2023-06-26 14:40:00,132.0,132.75,131.35,132.7
2023-06-26 14:45:00,132.2,132.2,132.2,132.2
2023-06-26 14:50:00,132.0,132.0,131.55,131.85
2023-06-26 14:55:00,131.95,131.95,131.0,131.0
2023-06-26 15:00:00,131.8,132.0,131.75,131.75
2023-06-26 15:05:00,132.3,132.3,131.8,131.8
2023-06-26 15:10:00,131.8,131.8,131.2,131.7
2023-06-26 15:15:00,131.7,131.7,131.1,131.2
2023-06-26 15:20:00,131.2,131.65,131.2,131.55
2023-06-26 15:25:00,131.7,132.05,130.25,130.25
2023-06-27 09:25:00,133.2,133.2,133.2,133.2
2023-06-27 09:30:00,132.45,132.95,132.0,132.0
2023-06-27 09:35:00,132.45,132.45,132.05,132.45
2023-06-27 09:40:00,132.5,132.9,132.5,132.65
2023-06-27 09:45:00,132.5,133.2,132.5,133.2
2023-06-27 09:50:00,133.0,134.0,132.7,132.7
2023-06-27 09:55:00,132.25,132.75,132.1,132.75
2023-06-27 10:00:00,132.0,132.0,131.4,131.75
2023-06-27 10:05:00,131.4,131.75,131.0,131.75
2023-06-27 10:10:00,131.75,132.0,131.75,131.75
2023-06-27 10:15:00,132.0,132.0,131.75,131.75
