date,open,high,low,close
2023-07-11 11:10:00,874.1,874.1,874.1,874.1
2023-07-11 11:15:00,875.3,875.3,874.05,874.05
2023-07-11 11:20:00,873.95,875.05,873.95,874.8
2023-07-11 11:25:00,873.4,873.4,871.35,871.35
2023-07-11 11:30:00,871.4,871.4,871.35,871.35
2023-07-11 11:35:00,872.95,872.95,870.0,870.0
2023-07-11 11:40:00,867.35,867.95,866.5,867.25
2023-07-11 11:45:00,866.75,868.75,866.05,866.45
2023-07-11 11:50:00,866.0,868.15,866.0,866.75
2023-07-11 11:55:00,868.15,870.0,868.15,869.0
2023-07-11 12:00:00,870.55,870.8,869.15,870.8
2023-07-11 12:05:00,870.55,870.85,868.7,868.7
2023-07-11 12:10:00,869.65,869.65,867.65,867.65
2023-07-11 12:15:00,867.4,867.4,866.15,866.45
2023-07-11 12:20:00,866.45,866.45,866.45,866.45
2023-07-11 12:25:00,866.45,866.55,866.45,866.55
2023-07-11 12:30:00,868.9,868.9,868.0,868.0
2023-07-11 12:35:00,868.0,868.0,868.0,868.0
2023-07-11 12:40:00,868.0,868.0,868.0,868.0
2023-07-11 12:45:00,868.0,869.1,868.0,869.1
2023-07-11 12:50:00,869.15,869.15,869.1,869.1
2023-07-11 12:55:00,869.1,869.25,869.1,869.25
2023-07-11 13:00:00,869.6,869.6,868.0,868.0
2023-07-11 13:10:00,868.0,869.25,868.0,869.25
2023-07-11 13:15:00,869.3,869.3,869.3,869.3
2023-07-11 13:20:00,869.3,869.3,869.25,869.25
2023-07-11 13:30:00,869.3,869.3,869.3,869.3
2023-07-11 13:35:00,868.7,868.7,868.7,868.7
2023-07-11 13:40:00,870.25,870.75,869.5,869.5
2023-07-11 13:45:00,869.5,869.5,869.5,869.5
2023-07-11 13:55:00,869.7,869.7,869.3,869.3
2023-07-11 14:00:00,869.15,869.15,869.15,869.15
2023-07-11 14:05:00,869.15,869.35,868.0,868.0
2023-07-11 14:10:00,869.95,869.95,869.95,869.95
2023-07-11 14:15:00,868.0,869.55,868.0,869.55
2023-07-11 14:20:00,869.5,869.5,867.55,867.55
2023-07-11 14:25:00,867.95,867.95,866.45,866.45
2023-07-11 14:30:00,866.3,866.3,866.3,866.3
2023-07-11 14:35:00,866.3,867.55,866.3,867.55
2023-07-11 14:40:00,866.3,869.4,866.3,866.4
2023-07-11 14:45:00,867.95,870.0,867.95,868.35
2023-07-11 14:50:00,867.35,867.65,867.0,867.0
2023-07-11 14:55:00,868.05,869.0,868.05,869.0
2023-07-11 15:00:00,869.0,869.5,869.0,869.1
2023-07-11 15:05:00,869.0,869.0,869.0,869.0
2023-07-11 15:10:00,867.75,868.15,867.05,867.05
2023-07-11 15:15:00,867.05,867.05,864.0,866.0
2023-07-11 15:20:00,867.9,867.9,866.0,866.0
2023-07-11 15:25:00,866.0,868.45,866.0,866.0
2023-07-12 09:15:00,868.0,872.95,868.0,870.55
2023-07-12 09:20:00,870.55,871.7,868.65,868.65
2023-07-12 09:25:00,868.15,869.95,868.0,868.0
2023-07-12 09:30:00,868.1,868.1,864.4,866.0
2023-07-12 09:35:00,866.9,867.45,866.45,866.45
2023-07-12 09:40:00,866.45,866.45,866.45,866.45
2023-07-12 09:45:00,868.15,868.15,868.15,868.15
2023-07-12 09:50:00,866.15,866.15,865.6,865.6
2023-07-12 09:55:00,866.55,867.25,865.6,865.6
2023-07-12 10:00:00,865.6,867.25,865.6,865.6
2023-07-12 10:05:00,865.65,867.15,865.35,865.45
2023-07-12 10:10:00,865.7,866.95,865.35,866.95
2023-07-12 10:15:00,865.0,866.4,864.0,866.4
2023-07-12 10:20:00,864.0,865.75,864.0,864.6
2023-07-12 10:25:00,866.0,866.0,864.0,864.0
2023-07-12 10:30:00,865.95,865.95,856.55,860.25
2023-07-12 10:35:00,858.8,859.0,858.8,858.85
2023-07-12 10:40:00,858.0,863.1,856.5,861.95
2023-07-12 10:45:00,863.35,863.8,862.1,862.15
2023-07-12 10:50:00,863.45,863.45,863.45,863.45
2023-07-12 10:55:00,863.2,867.0,861.65,867.0
2023-07-12 11:00:00,867.2,868.0,860.0,860.0
2023-07-12 11:05:00,858.95,858.95,858.8,858.8
2023-07-12 11:10:00,859.55,859.75,857.15,857.15
2023-07-12 11:15:00,857.75,857.75,856.6,856.6
2023-07-12 11:20:00,856.5,857.95,856.1,856.1
2023-07-12 11:25:00,855.4,856.7,855.4,855.4
2023-07-12 11:30:00,855.4,855.4,853.0,853.0
2023-07-12 11:35:00,853.0,853.0,852.4,852.4
2023-07-12 11:40:00,851.9,851.95,841.9,844.15
2023-07-12 11:45:00,844.0,846.0,842.85,843.95
2023-07-12 11:50:00,844.0,847.8,844.0,847.8
2023-07-12 11:55:00,848.25,848.9,846.5,846.95
2023-07-12 12:00:00,845.7,845.7,845.7,845.7
2023-07-12 12:05:00,845.1,848.05,840.05,840.05
2023-07-12 12:10:00,834.95,840.0,831.55,839.0
2023-07-12 12:15:00,839.2,839.2,835.5,836.95
2023-07-12 12:20:00,837.0,838.75,836.5,838.7
2023-07-12 12:25:00,838.85,841.5,837.0,841.0
2023-07-12 12:30:00,839.5,844.15,839.5,844.1
2023-07-12 12:35:00,843.95,850.4,843.95,850.4
2023-07-12 12:40:00,850.15,854.0,848.95,853.0
2023-07-12 12:45:00,851.4,854.25,850.0,854.2
2023-07-12 12:50:00,855.0,860.0,853.05,860.0
2023-07-12 12:55:00,858.55,859.75,857.35,858.15
2023-07-12 13:00:00,857.15,863.7,857.15,862.3
2023-07-12 13:05:00,861.3,862.3,859.7,860.9
2023-07-12 13:10:00,860.1,861.45,859.05,861.45
2023-07-12 13:15:00,861.6,864.2,861.6,864.2
2023-07-12 13:20:00,867.85,867.85,863.35,863.35
2023-07-12 13:25:00,864.45,864.45,863.25,863.25
2023-07-12 13:30:00,864.0,865.0,864.0,865.0
2023-07-12 13:35:00,866.25,867.4,863.95,863.95
2023-07-12 13:40:00,865.9,865.9,864.5,864.5
2023-07-12 13:45:00,864.3,865.45,861.25,862.85
2023-07-12 13:50:00,862.6,862.6,862.6,862.6
2023-07-12 13:55:00,859.9,860.35,858.75,859.3
2023-07-12 14:00:00,859.65,859.65,858.55,858.55
2023-07-12 14:05:00,858.2,858.8,857.75,858.8
2023-07-12 14:10:00,858.05,867.0,858.05,867.0
2023-07-12 14:15:00,866.8,869.05,865.6,865.6
2023-07-12 14:20:00,866.55,875.0,866.55,873.95
2023-07-12 14:25:00,872.0,876.0,869.5,874.9
2023-07-12 14:30:00,875.9,880.1,875.9,878.3
2023-07-12 14:35:00,876.65,880.05,875.05,875.35
2023-07-12 14:40:00,875.35,875.35,869.6,870.25
2023-07-12 14:45:00,871.7,872.6,871.6,872.45
2023-07-12 14:50:00,871.0,874.0,871.0,872.05
2023-07-12 14:55:00,873.4,876.05,872.35,873.1
2023-07-12 15:00:00,874.7,874.75,872.9,872.9
2023-07-12 15:05:00,872.8,872.8,872.7,872.7
2023-07-12 15:10:00,872.05,873.75,872.0,872.05
2023-07-12 15:15:00,872.0,873.05,867.0,867.0
2023-07-12 15:20:00,869.65,876.75,866.0,867.1
2023-07-12 15:25:00,869.35,876.75,869.35,870.0
2023-07-13 09:15:00,872.2,887.0,872.2,881.65
2023-07-13 09:20:00,881.65,883.45,881.0,881.45
2023-07-13 09:25:00,880.0,883.3,880.0,883.0
2023-07-13 09:30:00,883.35,883.9,883.35,883.8
2023-07-13 09:35:00,883.8,887.95,883.8,886.3
2023-07-13 09:40:00,885.55,887.45,884.5,887.4
2023-07-13 09:45:00,887.7,891.9,887.6,888.05
2023-07-13 09:50:00,888.25,890.9,887.55,890.0
2023-07-13 09:55:00,890.05,895.0,890.05,895.0
2023-07-13 10:00:00,898.45,898.45,895.15,897.95
2023-07-13 10:05:00,895.0,898.0,895.0,898.0
2023-07-13 10:10:00,898.0,898.0,895.0,897.6
2023-07-13 10:15:00,896.0,897.5,895.55,897.35
2023-07-13 10:20:00,895.6,897.5,895.6,895.9
2023-07-13 10:25:00,895.1,896.85,895.1,895.75
2023-07-13 10:30:00,897.0,897.45,897.0,897.4
2023-07-13 10:35:00,897.4,897.4,895.45,895.45
2023-07-13 10:40:00,895.0,896.65,895.0,896.65
2023-07-13 10:45:00,895.2,896.55,895.05,896.55
2023-07-13 10:50:00,896.6,896.85,895.4,895.85
2023-07-13 10:55:00,895.55,897.0,895.0,896.95
2023-07-13 11:00:00,896.05,896.05,894.1,894.1
2023-07-13 11:05:00,894.1,894.5,892.8,894.4
2023-07-13 11:10:00,893.0,893.0,893.0,893.0
2023-07-13 11:15:00,894.2,895.9,894.2,895.9
2023-07-13 11:20:00,893.8,895.0,892.55,892.55
2023-07-13 11:25:00,892.6,895.0,892.0,894.0
2023-07-13 11:30:00,892.75,894.0,891.55,892.85
2023-07-13 11:35:00,893.6,893.6,890.1,890.5
2023-07-13 11:40:00,890.5,891.25,888.85,888.85
2023-07-13 11:45:00,890.0,890.0,886.95,887.35
2023-07-13 11:50:00,888.0,888.0,884.85,886.3
2023-07-13 11:55:00,886.1,886.45,884.85,886.0
2023-07-13 12:00:00,886.75,886.75,883.05,883.05
2023-07-13 12:05:00,883.0,883.0,882.95,882.95
