date,open,high,low,close
2023-07-12 10:50:00,129.9,130.25,129.75,130.25
2023-07-12 10:55:00,130.05,130.15,130.0,130.0
2023-07-12 11:00:00,130.15,130.55,130.05,130.5
2023-07-12 11:05:00,130.3,130.55,130.0,130.0
2023-07-12 11:10:00,130.0,130.25,130.0,130.1
2023-07-12 11:15:00,130.0,130.0,129.95,129.95
2023-07-12 11:20:00,130.25,130.25,130.1,130.1
2023-07-12 11:25:00,130.05,130.45,130.0,130.45
2023-07-12 11:30:00,130.35,130.35,130.05,130.05
2023-07-12 11:35:00,130.05,130.05,129.75,129.8
2023-07-12 11:40:00,129.7,129.7,129.3,129.3
2023-07-12 11:45:00,129.25,129.45,129.1,129.45
2023-07-12 11:50:00,129.35,129.35,129.1,129.2
2023-07-12 11:55:00,129.15,129.55,129.15,129.4
2023-07-12 12:00:00,129.45,129.55,129.1,129.25
2023-07-12 12:05:00,129.15,129.25,129.15,129.25
2023-07-12 12:10:00,129.7,129.7,129.1,129.45
2023-07-12 12:15:00,129.2,129.3,129.15,129.3
2023-07-12 12:20:00,129.3,129.5,129.3,129.3
2023-07-12 12:25:00,129.25,129.45,129.25,129.3
2023-07-12 12:30:00,129.45,129.45,129.3,129.3
2023-07-12 12:35:00,129.45,129.65,129.3,129.4
2023-07-12 12:40:00,129.4,129.4,129.4,129.4
2023-07-12 12:45:00,129.3,129.45,129.1,129.45
2023-07-12 12:50:00,129.5,129.5,129.35,129.5
2023-07-12 12:55:00,129.3,129.5,129.3,129.5
2023-07-12 13:00:00,129.35,129.55,129.35,129.55
2023-07-12 13:05:00,129.35,129.35,129.35,129.35
2023-07-12 13:10:00,129.4,129.55,129.4,129.55
2023-07-12 13:15:00,129.6,129.7,129.6,129.65
2023-07-12 13:20:00,129.55,129.65,129.5,129.5
2023-07-12 13:25:00,129.7,129.7,129.55,129.55
2023-07-12 13:30:00,129.75,129.8,129.55,129.7
2023-07-12 13:35:00,129.7,129.7,129.5,129.65
2023-07-12 13:40:00,129.5,129.75,129.5,129.5
2023-07-12 13:45:00,129.5,129.8,129.5,129.8
2023-07-12 13:50:00,129.75,129.75,129.75,129.75
2023-07-12 13:55:00,129.55,129.6,129.45,129.55
2023-07-12 14:00:00,129.3,129.45,129.3,129.45
2023-07-12 14:05:00,129.5,129.75,129.3,129.75
2023-07-12 14:10:00,129.6,129.65,129.5,129.65
2023-07-12 14:15:00,129.7,129.7,129.65,129.65
2023-07-12 14:20:00,129.75,130.0,129.75,129.75
