date,open,high,low,close
2023-07-07 12:35:00,271.7,271.7,271.0,271.64
2023-07-07 12:40:00,271.41,271.41,271.3,271.41
2023-07-07 12:45:00,271.25,271.99,271.25,271.99
2023-07-07 12:50:00,271.99,271.99,271.99,271.99
2023-07-07 12:55:00,272.09,272.1,272.09,272.1
2023-07-07 13:00:00,272.0,272.29,271.48,271.48
2023-07-07 13:05:00,271.85,271.85,271.5,271.85
2023-07-07 13:10:00,271.96,271.96,271.95,271.95
2023-07-07 13:15:00,272.0,272.1,272.0,272.1
2023-07-07 13:20:00,272.1,272.1,271.9,272.09
2023-07-07 13:25:00,271.8,272.09,271.8,272.09
2023-07-07 13:30:00,272.15,272.15,271.5,272.13
2023-07-07 13:35:00,272.12,272.12,272.0,272.0
2023-07-07 13:40:00,272.1,272.1,271.0,272.07
2023-07-07 13:45:00,272.07,272.07,271.0,271.0
2023-07-07 13:50:00,271.01,271.95,271.0,271.56
2023-07-07 13:55:00,271.56,272.05,271.51,272.05
2023-07-07 14:00:00,272.05,272.05,271.6,271.8
2023-07-07 14:05:00,271.8,271.99,271.59,271.99
2023-07-07 14:10:00,271.99,271.99,271.04,271.87
2023-07-07 14:15:00,271.39,271.79,271.39,271.79
2023-07-07 14:20:00,271.5,271.85,271.01,271.5
2023-07-07 14:25:00,271.74,271.74,270.94,271.65
2023-07-07 14:30:00,271.68,271.68,271.0,271.53
2023-07-07 14:35:00,271.62,271.62,271.0,271.58
2023-07-07 14:40:00,271.58,271.73,271.58,271.73
2023-07-07 14:45:00,271.89,271.9,271.76,271.9
2023-07-07 14:50:00,271.9,271.98,271.8,271.85
2023-07-07 14:55:00,271.85,272.35,271.81,272.35
2023-07-07 15:00:00,272.35,272.85,272.33,272.85
2023-07-07 15:05:00,272.85,272.85,272.05,272.45
2023-07-07 15:10:00,272.45,272.45,272.39,272.39
2023-07-07 15:15:00,272.39,272.39,272.38,272.38
2023-07-07 15:20:00,272.38,272.38,271.25,272.0
2023-07-07 15:25:00,272.0,275.99,271.22,273.75
2023-07-10 09:15:00,275.0,275.0,272.6,273.94
2023-07-10 09:20:00,273.94,273.94,272.58,272.98
2023-07-10 09:25:00,273.8,273.99,273.36,273.99
2023-07-10 09:30:00,274.0,274.37,274.0,274.1
2023-07-10 09:35:00,274.1,274.3,274.1,274.3
2023-07-10 09:40:00,274.4,274.4,273.4,273.94
2023-07-10 09:45:00,273.94,274.0,273.43,274.0
2023-07-10 09:50:00,274.0,274.0,274.0,274.0
2023-07-10 09:55:00,273.0,273.57,273.0,273.57
2023-07-10 10:00:00,273.88,274.0,273.88,273.99
2023-07-10 10:05:00,273.99,273.99,273.1,273.1
2023-07-10 10:10:00,273.13,273.98,273.13,273.8
2023-07-10 10:15:00,273.8,273.8,273.8,273.8
2023-07-10 10:20:00,273.36,273.8,273.36,273.37
2023-07-10 10:25:00,273.98,273.99,273.98,273.99
2023-07-10 10:30:00,273.99,273.99,273.99,273.99
