date,open,high,low,close
2023-07-12 11:20:00,355.4,355.55,355.1,355.3
2023-07-12 11:25:00,355.1,355.25,354.8,354.85
2023-07-12 11:30:00,354.9,355.0,354.05,354.25
2023-07-12 11:35:00,354.25,354.7,353.55,353.65
2023-07-12 11:40:00,353.65,353.8,353.0,353.05
2023-07-12 11:45:00,353.05,354.4,353.05,354.0
2023-07-12 11:50:00,354.0,354.45,353.9,354.25
2023-07-12 11:55:00,354.35,354.45,354.05,354.45
2023-07-12 12:00:00,354.45,354.45,353.8,354.0
2023-07-12 12:05:00,354.0,354.6,354.0,354.1
2023-07-12 12:10:00,354.4,354.85,354.0,354.55
2023-07-12 12:15:00,354.8,354.8,354.0,354.2
2023-07-12 12:20:00,354.2,354.45,354.2,354.25
2023-07-12 12:25:00,354.25,354.45,354.1,354.1
2023-07-12 12:30:00,354.1,354.4,353.2,353.3
2023-07-12 12:35:00,353.3,353.5,353.2,353.5
2023-07-12 12:40:00,353.5,353.95,353.4,353.5
2023-07-12 12:45:00,353.5,353.5,353.35,353.4
2023-07-12 12:50:00,353.5,353.5,353.15,353.35
2023-07-12 12:55:00,353.15,353.45,353.05,353.45
2023-07-12 13:00:00,353.45,353.5,353.15,353.25
2023-07-12 13:05:00,353.05,353.45,352.75,353.3
2023-07-12 13:10:00,353.3,353.5,353.05,353.25
2023-07-12 13:15:00,353.35,353.5,353.2,353.4
2023-07-12 13:20:00,353.45,353.5,353.2,353.3
2023-07-12 13:25:00,353.5,353.5,353.25,353.5
2023-07-12 13:30:00,353.5,353.5,353.15,353.25
2023-07-12 13:35:00,353.4,353.4,352.5,352.5
2023-07-12 13:40:00,352.5,352.75,352.25,352.5
2023-07-12 13:45:00,352.4,353.15,352.35,353.15
2023-07-12 13:50:00,353.15,353.5,353.0,353.25
2023-07-12 13:55:00,353.4,353.4,353.15,353.35
2023-07-12 14:00:00,353.25,353.5,353.0,353.45
2023-07-12 14:05:00,353.45,353.5,353.25,353.5
2023-07-12 14:10:00,353.4,353.5,353.05,353.2
2023-07-12 14:15:00,353.05,353.3,353.0,353.25
2023-07-12 14:20:00,353.25,353.65,353.1,353.4
2023-07-12 14:25:00,353.4,353.5,353.1,353.35
2023-07-12 14:30:00,353.25,353.5,353.1,353.5
2023-07-12 14:35:00,353.5,353.5,353.2,353.35
2023-07-12 14:40:00,353.2,353.5,353.2,353.45
2023-07-12 14:45:00,353.45,354.0,353.2,353.35
2023-07-12 14:50:00,353.45,353.5,353.2,353.5
2023-07-12 14:55:00,353.5,353.5,352.85,352.85
2023-07-12 15:00:00,352.8,353.2,352.4,352.4
2023-07-12 15:05:00,352.7,352.75,352.05,352.1
2023-07-12 15:10:00,352.3,352.95,352.3,352.8
2023-07-12 15:15:00,352.95,353.15,352.6,352.7
2023-07-12 15:20:00,352.7,352.9,352.45,352.9
2023-07-12 15:25:00,352.9,353.1,352.1,352.9
2023-07-13 09:15:00,354.05,355.65,352.75,354.45
2023-07-13 09:20:00,354.4,354.75,353.0,354.0
2023-07-13 09:25:00,354.0,354.45,352.55,353.0
2023-07-13 09:30:00,353.0,353.0,351.5,352.5
2023-07-13 09:35:00,352.25,353.05,352.2,352.7
2023-07-13 09:40:00,352.85,352.95,352.1,352.5
2023-07-13 09:45:00,352.6,353.1,352.15,352.85
2023-07-13 09:50:00,352.35,353.0,352.35,352.8
2023-07-13 09:55:00,352.75,353.45,352.75,353.0
2023-07-13 10:00:00,353.0,353.1,352.5,352.85
2023-07-13 10:05:00,352.65,352.8,352.0,352.45
2023-07-13 10:10:00,352.2,352.35,351.7,351.95
2023-07-13 10:15:00,351.95,352.0,351.05,351.1
2023-07-13 10:20:00,351.15,351.4,350.45,351.15
2023-07-13 10:25:00,351.4,351.85,351.05,351.2
2023-07-13 10:30:00,351.05,351.85,351.05,351.6
2023-07-13 10:35:00,351.85,351.85,351.2,351.4
2023-07-13 10:40:00,351.5,351.65,351.1,351.1
2023-07-13 10:45:00,351.2,351.5,351.0,351.0
2023-07-13 10:50:00,351.0,351.25,350.5,350.95
2023-07-13 10:55:00,350.8,351.05,350.45,350.85
2023-07-13 11:00:00,351.1,351.2,350.75,350.75
2023-07-13 11:05:00,350.75,351.15,350.75,350.8
2023-07-13 11:10:00,350.8,351.4,350.65,351.4
2023-07-13 11:15:00,351.35,351.9,350.85,350.85
2023-07-13 11:20:00,350.9,351.45,350.9,351.25
2023-07-13 11:25:00,351.0,351.45,351.0,351.15
2023-07-13 11:30:00,351.4,351.4,351.0,351.0
2023-07-13 11:35:00,351.0,351.25,350.8,351.0
2023-07-13 11:40:00,350.8,351.2,350.8,351.0
2023-07-13 11:45:00,351.0,351.0,350.4,350.5
2023-07-13 11:50:00,350.45,350.5,349.55,349.65
2023-07-13 11:55:00,349.75,350.25,349.75,349.95
2023-07-13 12:00:00,349.8,350.15,349.8,350.0
2023-07-13 12:05:00,350.0,350.2,349.75,350.0
