date,open,high,low,close
2023-06-16 09:15:00,54.0,54.0,53.25,53.45
2023-06-16 09:20:00,53.45,53.7,53.45,53.7
2023-06-16 09:25:00,53.5,53.65,53.5,53.65
2023-06-16 09:30:00,53.6,53.8,53.4,53.45
2023-06-16 09:35:00,53.6,53.7,53.6,53.7
2023-06-16 09:40:00,53.6,53.6,53.3,53.4
2023-06-16 09:45:00,53.7,53.7,53.35,53.35
2023-06-16 09:50:00,53.35,53.55,53.35,53.55
2023-06-16 09:55:00,53.55,53.55,53.55,53.55
2023-06-16 10:00:00,53.5,53.6,53.5,53.55
2023-06-16 10:05:00,53.5,53.6,53.5,53.6
2023-06-16 10:10:00,53.6,53.6,53.6,53.6
2023-06-16 10:20:00,53.8,53.8,53.55,53.55
2023-06-16 10:25:00,53.7,53.7,53.65,53.65
2023-06-16 10:30:00,53.65,53.65,53.65,53.65
2023-06-16 10:35:00,53.5,53.5,53.5,53.5
2023-06-16 10:45:00,53.6,53.7,53.6,53.7
2023-06-16 10:50:00,53.65,53.7,53.65,53.7
2023-06-16 10:55:00,53.7,53.7,53.5,53.5
2023-06-16 11:00:00,53.5,53.65,53.5,53.65
2023-06-16 11:05:00,53.75,53.75,53.65,53.65
2023-06-16 11:10:00,53.65,53.7,53.6,53.65
2023-06-16 11:15:00,53.65,53.65,53.65,53.65
2023-06-16 11:20:00,53.6,53.7,53.2,53.55
2023-06-16 11:25:00,53.4,53.4,53.4,53.4
2023-06-16 11:30:00,53.6,53.85,53.5,53.5
2023-06-16 11:35:00,54.1,54.1,53.75,53.75
2023-06-16 11:40:00,53.6,53.6,53.5,53.5
2023-06-16 11:45:00,53.55,53.55,53.55,53.55
2023-06-16 11:50:00,53.6,53.6,53.6,53.6
2023-06-16 12:00:00,53.85,54.0,53.45,53.45
2023-06-16 12:05:00,53.55,53.55,53.55,53.55
2023-06-16 12:10:00,53.9,53.9,53.9,53.9
2023-06-16 12:15:00,53.9,53.9,53.9,53.9
2023-06-16 12:20:00,53.85,53.85,53.85,53.85
2023-06-16 12:35:00,53.65,53.95,53.65,53.95
2023-06-16 12:40:00,53.7,53.7,53.7,53.7
2023-06-16 13:05:00,53.1,53.5,53.1,53.5
2023-06-16 13:15:00,53.5,53.5,53.5,53.5
2023-06-16 13:20:00,53.4,53.4,53.4,53.4
2023-06-16 13:25:00,53.5,53.5,53.5,53.5
2023-06-16 13:30:00,53.5,53.5,52.9,52.9
2023-06-16 13:35:00,53.0,53.1,52.4,53.1
2023-06-16 13:40:00,53.1,54.6,53.1,53.4
2023-06-16 13:45:00,53.8,53.8,53.45,53.45
2023-06-16 13:50:00,53.5,53.5,53.25,53.25
2023-06-16 14:05:00,53.95,53.95,53.95,53.95
2023-06-16 14:10:00,53.55,53.55,53.55,53.55
2023-06-16 14:15:00,53.6,53.6,53.5,53.5
2023-06-16 14:20:00,53.4,53.65,53.4,53.65
2023-06-16 14:25:00,53.65,53.65,53.35,53.35
2023-06-16 14:30:00,53.5,53.7,53.5,53.7
2023-06-16 14:35:00,53.7,53.7,53.65,53.65
2023-06-16 14:40:00,53.7,53.7,53.35,53.65
2023-06-16 14:45:00,53.6,53.6,53.6,53.6
2023-06-16 14:50:00,53.35,53.95,53.35,53.95
2023-06-16 14:55:00,53.8,53.8,53.65,53.65
2023-06-16 15:00:00,53.5,53.5,53.3,53.5
2023-06-16 15:05:00,53.55,53.7,53.5,53.7
2023-06-16 15:10:00,53.7,53.9,53.7,53.8
2023-06-16 15:15:00,53.8,53.8,53.55,53.55
2023-06-16 15:20:00,53.75,53.75,53.35,53.65
2023-06-16 15:25:00,53.7,53.85,53.65,53.65
2023-06-19 09:15:00,54.0,54.15,53.7,53.8
2023-06-19 09:20:00,53.8,54.15,53.8,54.15
2023-06-19 09:25:00,54.05,54.05,54.0,54.0
2023-06-19 09:30:00,54.15,54.15,53.9,53.9
2023-06-19 09:35:00,53.75,53.75,53.5,53.5
2023-06-19 09:40:00,53.7,54.05,53.7,54.0
2023-06-19 09:50:00,53.55,54.0,53.55,53.9
2023-06-19 10:05:00,53.95,53.95,53.95,53.95
2023-06-19 10:15:00,53.95,53.95,53.95,53.95
2023-06-19 10:30:00,53.6,54.0,53.6,54.0
2023-06-19 10:50:00,54.0,54.0,54.0,54.0
2023-06-19 11:15:00,53.8,53.95,53.8,53.95
2023-06-19 11:20:00,53.8,53.8,53.8,53.8
2023-06-19 11:30:00,53.95,53.95,53.95,53.95
2023-06-19 11:35:00,54.0,54.0,53.95,53.95
2023-06-19 11:40:00,53.95,53.95,53.95,53.95
2023-06-19 11:45:00,53.95,53.95,53.8,53.8
2023-06-19 11:50:00,53.8,53.8,53.8,53.8
2023-06-19 12:05:00,54.0,54.0,53.75,53.75
2023-06-19 12:20:00,54.0,54.0,54.0,54.0
2023-06-19 12:25:00,53.95,53.95,53.95,53.95
2023-06-19 12:35:00,53.95,53.95,53.85,53.95
2023-06-19 12:40:00,54.5,54.5,53.6,53.6
2023-06-19 12:45:00,54.3,54.3,54.05,54.25
2023-06-19 12:50:00,54.25,54.25,54.25,54.25
2023-06-19 13:00:00,54.15,54.15,54.15,54.15
2023-06-19 13:10:00,53.0,53.85,52.8,53.0
2023-06-19 13:15:00,53.15,53.15,53.15,53.15
2023-06-19 13:20:00,53.35,53.35,53.2,53.2
2023-06-19 13:25:00,53.25,53.3,53.25,53.3
2023-06-19 13:30:00,53.25,53.4,53.25,53.4
2023-06-19 13:35:00,53.25,53.45,53.25,53.45
2023-06-19 13:40:00,53.45,53.45,53.45,53.45
2023-06-19 13:50:00,53.4,53.4,53.4,53.4
2023-06-19 14:00:00,53.35,53.35,53.2,53.2
2023-06-19 14:05:00,53.4,53.4,53.4,53.4
2023-06-19 14:10:00,53.35,53.35,53.2,53.2
2023-06-19 14:15:00,53.3,53.3,53.3,53.3
2023-06-19 14:20:00,53.3,53.3,53.25,53.25
2023-06-19 14:25:00,53.3,53.3,53.3,53.3
2023-06-19 14:30:00,53.15,53.15,53.15,53.15
2023-06-19 14:35:00,53.25,53.3,53.15,53.15
2023-06-19 14:40:00,53.35,53.35,53.3,53.3
2023-06-19 14:45:00,53.2,53.3,53.2,53.3
2023-06-19 14:50:00,53.35,53.35,53.35,53.35
2023-06-19 14:55:00,53.4,53.45,53.4,53.45
2023-06-19 15:00:00,53.45,53.5,53.3,53.3
2023-06-19 15:05:00,53.3,53.3,53.2,53.2
2023-06-19 15:10:00,53.25,53.3,53.25,53.3
2023-06-19 15:15:00,53.4,53.55,53.3,53.55
2023-06-19 15:20:00,53.55,53.55,53.3,53.45
2023-06-19 15:25:00,53.35,53.5,53.3,53.5
2023-06-20 09:15:00,53.35,53.5,53.25,53.5
2023-06-20 09:20:00,53.0,53.35,52.7,53.35
2023-06-20 09:25:00,52.8,52.8,52.7,52.8
2023-06-20 09:30:00,52.8,52.95,52.7,52.9
2023-06-20 09:35:00,52.95,53.0,52.95,53.0
2023-06-20 09:40:00,53.0,53.0,53.0,53.0
2023-06-20 09:45:00,53.0,53.0,52.9,52.9
2023-06-20 09:55:00,53.0,53.0,53.0,53.0
2023-06-20 10:00:00,53.0,53.0,53.0,53.0
2023-06-20 10:05:00,52.95,53.0,52.95,52.95
2023-06-20 10:10:00,52.95,53.0,52.95,53.0
2023-06-20 10:15:00,53.0,53.0,53.0,53.0
2023-06-20 10:20:00,53.0,53.0,53.0,53.0
2023-06-20 10:25:00,52.85,52.95,52.85,52.95
2023-06-20 10:30:00,52.95,52.95,52.95,52.95
2023-06-20 10:35:00,52.05,52.8,52.05,52.8
2023-06-20 10:40:00,52.95,53.0,52.95,53.0
2023-06-20 10:45:00,52.95,52.95,52.95,52.95
2023-06-20 10:50:00,52.9,52.9,52.9,52.9
2023-06-20 11:00:00,52.75,52.9,52.75,52.9
2023-06-20 11:05:00,52.9,52.95,52.9,52.95
2023-06-20 11:15:00,54.4,54.4,52.85,53.45
2023-06-20 11:20:00,53.35,53.35,53.2,53.2
2023-06-20 11:35:00,53.2,53.2,53.2,53.2
2023-06-20 11:40:00,53.05,53.05,53.0,53.0
2023-06-20 11:45:00,53.15,53.15,53.05,53.05
2023-06-20 11:50:00,53.2,53.2,53.2,53.2
2023-06-20 11:55:00,53.2,53.2,53.2,53.2
2023-06-20 12:00:00,53.0,53.15,53.0,53.15
2023-06-20 12:05:00,53.5,53.6,53.5,53.6
2023-06-20 12:10:00,53.25,53.25,53.25,53.25
2023-06-20 12:15:00,53.25,53.3,53.25,53.3
2023-06-20 12:25:00,53.0,53.0,52.8,52.9
2023-06-20 12:30:00,52.9,52.9,52.9,52.9
2023-06-20 12:35:00,53.2,53.2,52.9,52.9
2023-06-20 12:40:00,53.0,53.0,53.0,53.0
2023-06-20 12:45:00,52.9,52.9,52.9,52.9
2023-06-20 12:50:00,52.9,52.9,52.9,52.9
2023-06-20 12:55:00,52.95,53.0,52.95,53.0
2023-06-20 13:00:00,53.15,53.15,53.15,53.15
2023-06-20 13:05:00,53.25,53.25,53.25,53.25
2023-06-20 13:15:00,53.2,53.2,53.2,53.2
2023-06-20 13:20:00,53.2,53.2,53.2,53.2
2023-06-20 13:30:00,53.2,53.2,53.1,53.1
2023-06-20 13:50:00,53.2,53.55,53.2,53.55
2023-06-20 13:55:00,53.3,53.3,53.3,53.3
2023-06-20 14:00:00,53.4,53.45,53.4,53.45
2023-06-20 14:05:00,53.45,53.45,53.45,53.45
2023-06-20 14:15:00,53.3,53.3,53.2,53.2
2023-06-20 14:20:00,53.25,53.25,53.25,53.25
2023-06-20 14:25:00,53.3,53.3,53.3,53.3
2023-06-20 14:30:00,53.35,53.35,53.35,53.35
2023-06-20 14:35:00,53.45,53.45,53.45,53.45
2023-06-20 14:40:00,53.25,53.25,53.25,53.25
2023-06-20 14:45:00,53.45,53.45,53.25,53.25
2023-06-20 14:50:00,53.25,53.35,53.25,53.35
2023-06-20 15:00:00,53.45,53.45,53.45,53.45
2023-06-20 15:05:00,53.45,53.45,53.45,53.45
2023-06-20 15:10:00,53.55,53.55,53.55,53.55
2023-06-20 15:15:00,53.35,53.35,53.35,53.35
2023-06-20 15:20:00,53.5,53.55,53.5,53.5
2023-06-20 15:25:00,53.5,54.2,53.5,53.5
2023-06-21 09:15:00,53.55,53.55,52.3,53.0
2023-06-21 09:20:00,52.5,53.0,52.5,52.5
2023-06-21 09:25:00,52.75,52.75,52.5,52.5
2023-06-21 09:30:00,52.55,52.65,52.55,52.65
2023-06-21 09:35:00,52.65,52.65,52.3,52.35
2023-06-21 09:40:00,52.65,52.7,52.6,52.7
2023-06-21 09:45:00,52.65,52.65,52.65,52.65
2023-06-21 09:50:00,52.9,52.9,52.85,52.85
2023-06-21 09:55:00,52.8,52.8,52.8,52.8
2023-06-21 10:00:00,52.8,53.0,52.8,52.9
2023-06-21 10:05:00,52.95,52.95,52.85,52.85
2023-06-21 10:10:00,52.7,52.9,52.7,52.9
2023-06-21 10:15:00,52.75,52.75,52.75,52.75
2023-06-21 10:20:00,52.9,52.9,52.85,52.85
2023-06-21 10:25:00,52.7,52.95,52.7,52.9
2023-06-21 10:30:00,52.85,52.9,52.85,52.9
2023-06-21 10:35:00,52.9,52.9,52.9,52.9
2023-06-21 10:50:00,52.95,52.95,52.45,52.45
2023-06-21 10:55:00,52.8,52.8,52.8,52.8
2023-06-21 11:00:00,52.8,52.8,52.8,52.8
2023-06-21 11:05:00,52.65,52.65,52.65,52.65
2023-06-21 11:10:00,52.65,52.65,52.65,52.65
2023-06-21 11:15:00,52.65,52.65,52.65,52.65
2023-06-21 11:20:00,52.7,52.7,52.7,52.7
2023-06-21 11:30:00,52.7,52.7,52.7,52.7
2023-06-21 11:35:00,52.7,52.7,52.7,52.7
2023-06-21 11:50:00,52.7,52.7,52.7,52.7
2023-06-21 11:55:00,52.65,52.75,52.6,52.65
2023-06-21 12:05:00,52.65,52.65,52.65,52.65
2023-06-21 12:10:00,52.65,52.65,52.65,52.65
2023-06-21 12:20:00,52.65,52.65,52.65,52.65
2023-06-21 12:30:00,52.8,52.8,52.8,52.8
2023-06-21 12:35:00,52.75,52.75,52.75,52.75
2023-06-21 12:40:00,52.7,52.7,52.6,52.6
2023-06-21 12:45:00,52.7,52.75,52.7,52.75
2023-06-21 12:55:00,52.75,52.75,52.75,52.75
2023-06-21 13:00:00,52.75,52.75,52.75,52.75
2023-06-21 13:05:00,52.75,52.75,52.75,52.75
2023-06-21 13:10:00,52.75,52.75,52.75,52.75
2023-06-21 13:30:00,52.75,52.75,52.75,52.75
2023-06-21 13:40:00,52.65,52.75,52.65,52.75
2023-06-21 13:45:00,52.8,53.15,52.8,53.1
2023-06-21 13:50:00,53.0,53.0,53.0,53.0
2023-06-21 13:55:00,52.85,53.05,52.75,53.05
2023-06-21 14:00:00,53.0,53.0,53.0,53.0
2023-06-21 14:05:00,53.0,53.1,53.0,53.1
2023-06-21 14:10:00,53.0,53.0,52.95,52.95
2023-06-21 14:20:00,52.8,52.8,52.8,52.8
2023-06-21 14:30:00,53.0,53.0,53.0,53.0
2023-06-21 14:35:00,52.85,52.85,52.85,52.85
2023-06-21 14:40:00,52.8,52.8,52.8,52.8
2023-06-21 14:45:00,52.75,52.75,52.75,52.75
2023-06-21 14:50:00,53.05,53.05,53.05,53.05
2023-06-21 14:55:00,53.05,53.05,52.85,53.0
2023-06-21 15:05:00,53.0,53.0,53.0,53.0
2023-06-21 15:10:00,52.95,53.0,52.95,53.0
2023-06-21 15:15:00,53.0,53.0,52.95,52.95
2023-06-21 15:20:00,52.9,52.9,52.8,52.85
2023-06-21 15:25:00,52.85,53.0,52.85,53.0
2023-06-22 09:15:00,53.15,53.15,52.9,52.9
2023-06-22 09:20:00,52.8,52.85,52.8,52.85
2023-06-22 09:25:00,52.85,52.95,52.85,52.95
2023-06-22 09:30:00,52.95,52.95,52.95,52.95
2023-06-22 09:40:00,52.95,52.95,52.95,52.95
2023-06-22 09:50:00,52.5,52.8,52.5,52.8
2023-06-22 09:55:00,52.75,52.75,52.75,52.75
2023-06-22 10:00:00,52.65,52.95,52.65,52.95
2023-06-22 10:05:00,52.75,52.75,52.75,52.75
2023-06-22 10:10:00,52.7,52.7,52.55,52.65
2023-06-22 10:15:00,52.7,52.7,52.6,52.7
2023-06-22 10:20:00,52.7,52.7,52.7,52.7
2023-06-22 10:25:00,52.55,52.55,52.55,52.55
2023-06-22 10:30:00,52.95,52.95,52.65,52.7
2023-06-22 10:45:00,52.7,52.7,52.7,52.7
2023-06-22 11:00:00,52.7,52.7,52.7,52.7
2023-06-22 11:05:00,52.7,52.75,52.7,52.75
2023-06-22 11:10:00,52.75,52.75,52.55,52.7
2023-06-22 11:15:00,52.6,52.6,52.6,52.6
2023-06-22 11:20:00,52.6,52.6,52.6,52.6
2023-06-22 11:55:00,52.6,52.6,52.6,52.6
