date,open,high,low,close
2023-07-12 11:20:00,688.7,688.7,687.0,687.8
2023-07-12 11:25:00,687.2,688.0,686.35,687.45
2023-07-12 11:30:00,687.5,690.35,686.75,688.3
2023-07-12 11:35:00,688.0,688.0,686.4,686.65
2023-07-12 11:40:00,686.55,686.85,685.6,686.0
2023-07-12 11:45:00,685.6,685.6,682.85,683.45
2023-07-12 11:50:00,683.65,687.25,683.15,685.9
2023-07-12 11:55:00,685.55,687.0,684.95,685.7
2023-07-12 12:00:00,685.1,686.0,684.35,684.9
2023-07-12 12:05:00,685.0,685.9,684.55,685.75
2023-07-12 12:10:00,685.1,688.95,684.9,688.0
2023-07-12 12:15:00,688.55,688.8,686.0,686.65
2023-07-12 12:20:00,686.25,687.0,685.3,685.65
2023-07-12 12:25:00,685.6,685.95,685.3,685.6
2023-07-12 12:30:00,685.3,688.0,685.3,687.05
2023-07-12 12:35:00,687.05,688.45,687.0,687.2
2023-07-12 12:40:00,687.15,687.7,686.35,686.45
2023-07-12 12:45:00,686.95,687.0,686.1,686.45
2023-07-12 12:50:00,687.1,687.35,686.15,687.05
2023-07-12 12:55:00,686.95,687.9,686.5,687.7
2023-07-12 13:00:00,687.7,687.9,687.45,687.45
2023-07-12 13:05:00,687.8,690.35,687.45,688.2
2023-07-12 13:10:00,688.15,691.0,688.15,690.9
2023-07-12 13:15:00,690.4,690.95,688.0,688.45
2023-07-12 13:20:00,688.0,688.15,686.45,687.5
2023-07-12 13:25:00,687.8,688.0,686.8,687.0
2023-07-12 13:30:00,687.0,687.5,686.1,686.35
2023-07-12 13:35:00,687.1,687.1,683.55,683.7
2023-07-12 13:40:00,683.65,686.15,683.55,684.35
2023-07-12 13:45:00,684.3,686.75,684.1,685.4
2023-07-12 13:50:00,685.8,690.0,685.4,686.85
2023-07-12 13:55:00,686.85,688.45,686.2,688.05
2023-07-12 14:00:00,688.0,691.8,688.0,691.8
2023-07-12 14:05:00,692.0,692.3,690.75,691.35
2023-07-12 14:10:00,691.2,692.4,690.3,690.3
2023-07-12 14:15:00,690.1,691.8,688.7,691.0
2023-07-12 14:20:00,691.0,693.75,690.0,693.0
2023-07-12 14:25:00,692.6,693.5,689.0,689.45
2023-07-12 14:30:00,689.45,691.85,689.0,691.45
2023-07-12 14:35:00,691.45,692.9,691.45,692.4
2023-07-12 14:40:00,692.15,692.6,686.6,688.5
2023-07-12 14:45:00,688.5,690.2,688.0,690.2
