date,open,high,low,close
2023-07-12 11:20:00,480.0,480.15,479.6,479.8
2023-07-12 11:25:00,479.45,479.95,479.05,479.75
2023-07-12 11:30:00,479.75,479.75,478.95,479.05
2023-07-12 11:35:00,479.4,479.85,478.95,479.45
2023-07-12 11:40:00,479.0,479.6,478.95,479.05
2023-07-12 11:45:00,479.05,479.05,478.0,478.3
2023-07-12 11:50:00,478.5,479.35,478.0,479.35
2023-07-12 11:55:00,479.35,480.7,478.2,480.2
2023-07-12 12:00:00,480.55,480.7,480.0,480.55
2023-07-12 12:05:00,480.9,481.65,480.15,481.5
2023-07-12 12:10:00,481.3,481.7,480.5,481.65
2023-07-12 12:15:00,481.25,481.6,480.85,481.0
2023-07-12 12:20:00,480.85,481.15,480.2,480.2
2023-07-12 12:25:00,480.6,480.9,480.0,480.3
2023-07-12 12:30:00,480.3,480.95,480.0,480.55
2023-07-12 12:35:00,480.05,480.6,480.05,480.6
2023-07-12 12:40:00,480.55,481.15,480.5,480.55
2023-07-12 12:45:00,480.55,481.0,480.5,480.95
2023-07-12 12:50:00,480.95,481.3,480.5,480.65
2023-07-12 12:55:00,480.05,480.7,480.05,480.2
2023-07-12 13:00:00,480.2,480.5,480.05,480.5
2023-07-12 13:05:00,480.5,480.5,480.0,480.35
2023-07-12 13:10:00,480.0,481.0,480.0,480.5
2023-07-12 13:15:00,480.95,481.0,480.0,480.2
2023-07-12 13:20:00,480.2,480.7,480.0,480.0
2023-07-12 13:25:00,480.45,480.45,480.0,480.4
2023-07-12 13:30:00,480.1,480.7,480.0,480.7
2023-07-12 13:35:00,480.7,481.0,480.2,480.3
2023-07-12 13:40:00,480.3,480.7,480.0,480.0
2023-07-12 13:45:00,480.5,480.5,479.75,479.95
2023-07-12 13:50:00,479.55,479.55,478.0,478.6
2023-07-12 13:55:00,478.85,478.85,478.0,478.0
2023-07-12 14:00:00,477.5,478.45,477.5,477.95
2023-07-12 14:05:00,478.0,479.0,477.7,479.0
2023-07-12 14:10:00,480.15,480.5,480.15,480.2
2023-07-12 14:15:00,480.2,480.5,480.0,480.05
2023-07-12 14:20:00,480.0,481.0,480.0,481.0
2023-07-12 14:25:00,481.0,481.0,480.0,480.0
2023-07-12 14:30:00,480.35,480.5,480.0,480.0
2023-07-12 14:35:00,480.5,480.85,480.0,480.85
2023-07-12 14:40:00,480.5,480.75,480.1,480.5
2023-07-12 14:45:00,480.5,480.85,480.05,480.2
2023-07-12 14:50:00,480.05,480.7,480.0,480.35
