date,open,high,low,close
2023-07-12 11:20:00,760.4,760.45,759.2,759.2
2023-07-12 11:25:00,760.15,760.15,758.25,758.25
2023-07-12 11:30:00,759.0,759.0,757.0,757.0
2023-07-12 11:35:00,757.7,758.0,757.05,757.05
2023-07-12 11:40:00,757.95,758.0,757.05,757.45
2023-07-12 11:45:00,757.0,757.0,756.05,756.95
2023-07-12 11:50:00,756.1,757.0,756.05,756.15
2023-07-12 11:55:00,756.05,757.05,756.05,757.05
2023-07-12 12:00:00,756.8,756.85,756.05,756.05
2023-07-12 12:05:00,756.75,756.75,755.8,756.25
2023-07-12 12:10:00,757.15,757.35,756.2,756.45
2023-07-12 12:15:00,757.35,757.35,756.35,757.05
2023-07-12 12:20:00,757.0,757.0,755.15,756.3
2023-07-12 12:25:00,757.25,757.8,757.0,757.0
2023-07-12 12:30:00,757.0,757.3,757.0,757.0
2023-07-12 12:35:00,757.0,758.0,757.0,758.0
2023-07-12 12:40:00,757.2,758.0,757.1,757.3
2023-07-12 12:45:00,757.3,758.0,757.0,757.2
2023-07-12 12:50:00,758.0,758.0,757.05,757.05
2023-07-12 12:55:00,757.8,757.8,756.85,756.85
2023-07-12 13:00:00,756.85,757.65,756.85,757.65
2023-07-12 13:05:00,757.65,757.65,756.0,756.3
2023-07-12 13:10:00,756.1,756.95,751.35,754.0
2023-07-12 13:15:00,754.0,754.0,752.7,752.7
2023-07-12 13:20:00,753.5,753.95,753.45,753.85
2023-07-12 13:25:00,753.8,754.0,752.8,753.05
2023-07-12 13:30:00,753.0,753.1,751.55,752.5
2023-07-12 13:35:00,752.45,753.1,751.8,753.05
2023-07-12 13:40:00,753.0,753.05,751.8,752.5
2023-07-12 13:45:00,752.6,753.2,751.85,752.75
2023-07-12 13:50:00,752.75,753.15,751.9,753.1
2023-07-12 13:55:00,752.2,752.65,752.0,752.45
2023-07-12 14:00:00,752.4,753.0,750.05,750.05
2023-07-12 14:05:00,749.5,750.0,749.0,750.0
2023-07-12 14:10:00,749.95,750.75,749.45,750.75
2023-07-12 14:15:00,750.75,750.95,749.95,750.05
2023-07-12 14:20:00,750.9,750.95,750.25,750.25
2023-07-12 14:25:00,750.95,750.95,750.05,750.05
2023-07-12 14:30:00,750.45,750.45,749.65,750.0
2023-07-12 14:35:00,750.0,750.0,749.3,749.75
2023-07-12 14:40:00,750.0,750.0,750.0,750.0
2023-07-12 14:45:00,749.9,749.95,748.15,749.8
2023-07-12 14:50:00,749.85,749.95,749.8,749.9
2023-07-12 14:55:00,749.9,749.95,749.15,749.15
2023-07-12 15:00:00,749.95,752.15,749.25,752.15
2023-07-12 15:05:00,752.15,753.2,751.25,752.2
2023-07-12 15:10:00,753.9,755.5,752.1,753.05
