date,open,high,low,close
2023-07-12 11:20:00,77.85,77.9,77.75,77.9
2023-07-12 11:25:00,77.8,77.95,77.7,77.7
2023-07-12 11:30:00,77.7,77.9,77.7,77.9
2023-07-12 11:35:00,77.85,78.0,77.85,77.85
2023-07-12 11:40:00,77.9,78.0,77.9,77.95
2023-07-12 11:45:00,78.0,78.0,77.85,77.9
2023-07-12 11:50:00,77.9,78.0,77.85,77.95
2023-07-12 11:55:00,78.0,78.0,77.85,77.9
2023-07-12 12:00:00,77.9,77.95,77.85,77.9
2023-07-12 12:05:00,77.85,78.0,77.85,77.95
2023-07-12 12:10:00,77.95,77.95,77.8,77.95
2023-07-12 12:15:00,77.95,78.0,77.9,77.95
2023-07-12 12:20:00,78.0,78.0,77.85,77.85
2023-07-12 12:25:00,77.9,77.95,77.85,77.95
2023-07-12 12:30:00,77.95,77.95,77.9,77.95
2023-07-12 12:35:00,77.95,77.95,77.9,77.95
2023-07-12 12:40:00,77.95,78.0,77.9,77.95
2023-07-12 12:45:00,77.95,78.0,77.9,78.0
2023-07-12 12:50:00,77.95,78.0,77.9,77.9
2023-07-12 12:55:00,77.9,77.95,77.9,77.95
2023-07-12 13:00:00,77.9,78.0,77.9,77.95
2023-07-12 13:05:00,78.0,78.0,77.85,77.85
2023-07-12 13:10:00,77.85,77.95,77.85,77.9
2023-07-12 13:15:00,77.85,77.9,77.85,77.9
2023-07-12 13:20:00,77.85,77.9,77.85,77.85
2023-07-12 13:25:00,77.85,77.95,77.85,77.9
2023-07-12 13:30:00,77.85,77.95,77.85,77.95
2023-07-12 13:35:00,77.95,77.95,77.6,77.7
2023-07-12 13:40:00,77.65,77.8,77.65,77.75
2023-07-12 13:45:00,77.8,77.85,77.75,77.8
2023-07-12 13:50:00,77.85,77.85,77.8,77.85
2023-07-12 13:55:00,77.85,77.9,77.75,77.8
2023-07-12 14:00:00,77.85,77.85,77.75,77.8
2023-07-12 14:05:00,77.75,77.9,77.75,77.85
2023-07-12 14:10:00,77.85,78.0,77.85,77.9
2023-07-12 14:15:00,77.9,77.95,77.7,77.75
2023-07-12 14:20:00,77.75,77.9,77.7,77.9
2023-07-12 14:25:00,77.85,77.9,77.8,77.85
2023-07-12 14:30:00,77.9,77.9,77.8,77.8
2023-07-12 14:35:00,77.8,77.85,77.75,77.75
2023-07-12 14:40:00,77.75,77.85,77.7,77.85
2023-07-12 14:45:00,77.85,77.85,77.7,77.75
2023-07-12 14:50:00,77.75,77.75,77.65,77.65
2023-07-12 14:55:00,77.65,77.8,77.65,77.8
2023-07-12 15:00:00,77.75,77.8,77.45,77.55
2023-07-12 15:05:00,77.55,77.7,77.5,77.6
2023-07-12 15:10:00,77.55,77.6,77.55,77.55
2023-07-12 15:15:00,77.55,77.6,77.25,77.45
2023-07-12 15:20:00,77.45,77.55,77.15,77.4
2023-07-12 15:25:00,77.4,77.8,77.4,77.45
2023-07-13 09:15:00,77.7,78.7,77.65,78.5
2023-07-13 09:20:00,78.45,78.6,78.3,78.45
2023-07-13 09:25:00,78.45,79.5,78.35,79.25
2023-07-13 09:30:00,79.3,79.35,78.95,78.95
2023-07-13 09:35:00,78.95,79.7,78.95,79.55
2023-07-13 09:40:00,79.6,80.2,79.5,80.05
2023-07-13 09:45:00,80.05,80.6,80.0,80.5
2023-07-13 09:50:00,80.5,81.3,80.4,81.25
2023-07-13 09:55:00,81.2,82.3,81.2,82.1
2023-07-13 10:00:00,82.15,82.45,81.6,81.75
2023-07-13 10:05:00,81.7,82.1,81.45,82.0
2023-07-13 10:10:00,82.05,82.25,81.85,82.05
2023-07-13 10:15:00,82.05,82.8,82.05,82.75
2023-07-13 10:20:00,82.75,83.45,82.7,83.35
2023-07-13 10:25:00,83.4,84.5,82.75,82.75
2023-07-13 10:30:00,82.8,82.9,82.15,82.3
2023-07-13 10:35:00,82.25,82.65,82.1,82.4
2023-07-13 10:40:00,82.35,82.45,82.0,82.45
2023-07-13 10:45:00,82.45,82.45,82.2,82.4
2023-07-13 10:50:00,82.4,82.95,82.0,82.7
2023-07-13 10:55:00,82.7,83.15,82.45,82.5
2023-07-13 11:00:00,82.45,82.55,82.25,82.25
2023-07-13 11:05:00,82.25,82.35,82.0,82.2
2023-07-13 11:10:00,82.15,82.3,82.15,82.25
2023-07-13 11:15:00,82.25,82.3,82.05,82.05
2023-07-13 11:20:00,82.05,82.1,81.8,81.8
2023-07-13 11:25:00,81.8,81.85,81.65,81.7
2023-07-13 11:30:00,81.7,82.15,81.65,82.15
2023-07-13 11:35:00,82.1,82.3,82.05,82.25
2023-07-13 11:40:00,82.25,82.35,82.2,82.2
2023-07-13 11:45:00,82.2,82.25,81.9,81.95
2023-07-13 11:50:00,81.95,82.1,81.95,82.05
2023-07-13 11:55:00,82.1,82.15,82.05,82.1
2023-07-13 12:00:00,82.1,82.15,81.8,81.85
2023-07-13 12:05:00,81.85,82.0,81.8,81.95
2023-07-13 12:10:00,82.0,82.0,81.8,81.95
2023-07-13 12:15:00,82.0,82.0,81.9,81.95
2023-07-13 12:20:00,81.95,82.1,81.95,82.1
2023-07-13 12:25:00,82.05,82.2,81.95,82.05
2023-07-13 12:30:00,82.05,82.05,81.9,81.95
2023-07-13 12:35:00,81.9,81.95,81.8,81.9
2023-07-13 12:40:00,81.9,81.9,81.8,81.85
2023-07-13 12:45:00,81.8,82.0,81.65,82.0
2023-07-13 12:50:00,82.0,82.35,81.95,82.2
2023-07-13 12:55:00,82.2,82.2,82.05,82.15
2023-07-13 13:00:00,82.2,82.2,82.15,82.15
2023-07-13 13:05:00,82.15,82.2,82.0,82.1
2023-07-13 13:10:00,82.1,82.25,82.0,82.25
2023-07-13 13:15:00,82.2,82.55,82.2,82.25
2023-07-13 13:20:00,82.3,82.45,82.25,82.3
2023-07-13 13:25:00,82.25,82.35,82.05,82.1
2023-07-13 13:30:00,82.15,82.15,82.0,82.15
2023-07-13 13:35:00,82.15,82.5,82.1,82.45
2023-07-13 13:40:00,82.4,82.5,81.95,82.05
2023-07-13 13:45:00,82.0,82.2,82.0,82.15
2023-07-13 13:50:00,82.2,82.2,81.85,81.85
2023-07-13 13:55:00,81.85,82.05,81.85,81.85
2023-07-13 14:00:00,81.9,81.95,81.8,81.85
2023-07-13 14:05:00,81.85,81.9,81.2,81.25
2023-07-13 14:10:00,81.25,81.35,80.85,81.25
2023-07-13 14:15:00,81.2,81.25,80.85,80.9
2023-07-13 14:20:00,80.95,81.05,80.65,81.0
2023-07-13 14:25:00,81.05,81.5,81.0,81.45
2023-07-13 14:30:00,81.45,81.45,81.2,81.25
2023-07-13 14:35:00,81.3,81.4,81.0,81.0
2023-07-13 14:40:00,81.05,81.1,80.85,80.9
2023-07-13 14:45:00,80.9,81.3,80.65,81.3
2023-07-13 14:50:00,81.35,81.35,81.0,81.05
2023-07-13 14:55:00,81.05,81.35,81.05,81.25
2023-07-13 15:00:00,81.25,81.45,81.2,81.25
2023-07-13 15:05:00,81.2,82.15,81.2,82.05
2023-07-13 15:10:00,82.05,82.35,82.05,82.15
2023-07-13 15:15:00,82.15,82.35,81.6,82.35
2023-07-13 15:20:00,82.35,82.9,82.15,82.75
2023-07-13 15:25:00,82.7,83.0,82.7,82.9
2023-07-14 09:15:00,84.3,85.25,83.2,83.75
2023-07-14 09:20:00,83.7,83.7,82.35,82.65
2023-07-14 09:25:00,82.6,83.1,82.6,82.85
2023-07-14 09:30:00,82.8,82.9,82.6,82.85
2023-07-14 09:35:00,82.8,83.35,82.8,83.2
2023-07-14 09:40:00,83.2,83.3,82.85,83.25
2023-07-14 09:45:00,83.25,83.35,83.0,83.0
2023-07-14 09:50:00,83.05,83.05,82.85,82.95
2023-07-14 09:55:00,82.9,83.0,82.4,82.5
2023-07-14 10:00:00,82.5,82.7,82.0,82.1
2023-07-14 10:05:00,82.05,82.2,81.65,81.75
2023-07-14 10:10:00,81.7,82.15,81.7,82.1
2023-07-14 10:15:00,82.05,82.15,81.8,81.85
2023-07-14 10:20:00,81.85,82.3,81.8,82.3
2023-07-14 10:25:00,82.2,82.5,82.2,82.4
2023-07-14 10:30:00,82.4,82.6,82.3,82.6
2023-07-14 10:35:00,82.6,82.85,82.6,82.75
2023-07-14 10:40:00,82.75,83.15,82.55,83.15
2023-07-14 10:45:00,83.15,83.2,82.8,82.9
2023-07-14 10:50:00,82.85,82.9,82.8,82.9
2023-07-14 10:55:00,82.95,83.1,82.75,82.75
2023-07-14 11:00:00,82.75,82.85,82.55,82.55
2023-07-14 11:05:00,82.65,82.95,82.6,82.85
2023-07-14 11:10:00,82.85,83.05,82.85,82.95
2023-07-14 11:15:00,82.9,83.1,82.9,82.9
2023-07-14 11:20:00,82.9,82.9,82.65,82.65
2023-07-14 11:25:00,82.7,82.85,82.65,82.8
2023-07-14 11:30:00,82.75,82.85,82.7,82.8
2023-07-14 11:35:00,82.75,82.8,82.75,82.75
2023-07-14 11:40:00,82.75,82.8,82.7,82.7
2023-07-14 11:45:00,82.7,82.8,82.7,82.75
2023-07-14 11:50:00,82.75,82.8,82.75,82.8
2023-07-14 11:55:00,82.8,82.8,82.75,82.8
2023-07-14 12:00:00,82.8,82.8,82.75,82.8
2023-07-14 12:05:00,82.75,82.8,82.75,82.8
2023-07-14 12:10:00,82.75,82.8,82.75,82.75
2023-07-14 12:15:00,82.75,82.85,82.45,82.6
2023-07-14 12:20:00,82.55,82.75,82.55,82.7
2023-07-14 12:25:00,82.75,82.75,82.55,82.65
2023-07-14 12:30:00,82.65,82.7,82.55,82.6
2023-07-14 12:35:00,82.6,82.65,82.3,82.45
2023-07-14 12:40:00,82.45,82.45,82.3,82.45
2023-07-14 12:45:00,82.4,82.6,82.4,82.5
2023-07-14 12:50:00,82.5,82.55,82.4,82.45
2023-07-14 12:55:00,82.4,82.5,82.35,82.45
2023-07-14 13:00:00,82.45,82.55,82.4,82.4
2023-07-14 13:05:00,82.4,82.6,82.4,82.5
2023-07-14 13:10:00,82.5,82.8,82.5,82.75
2023-07-14 13:15:00,82.75,82.8,82.7,82.75
2023-07-14 13:20:00,82.75,82.8,82.7,82.75
2023-07-14 13:25:00,82.75,82.8,82.7,82.75
2023-07-14 13:30:00,82.75,82.8,82.7,82.7
2023-07-14 13:35:00,82.7,82.8,82.35,82.45
2023-07-14 13:40:00,82.5,82.6,82.3,82.3
2023-07-14 13:45:00,82.35,82.5,82.3,82.4
2023-07-14 13:50:00,82.45,82.45,82.0,82.35
2023-07-14 13:55:00,82.4,82.45,82.35,82.35
2023-07-14 14:00:00,82.4,82.55,82.35,82.45
2023-07-14 14:05:00,82.45,82.65,82.35,82.55
2023-07-14 14:10:00,82.6,82.7,82.55,82.65
2023-07-14 14:15:00,82.65,82.7,82.5,82.6
2023-07-14 14:20:00,82.55,82.65,82.5,82.55
2023-07-14 14:25:00,82.6,82.6,82.45,82.45
2023-07-14 14:30:00,82.5,82.65,82.45,82.65
2023-07-14 14:35:00,82.7,82.75,82.5,82.6
2023-07-14 14:40:00,82.6,82.7,82.5,82.7
2023-07-14 14:45:00,82.7,82.85,82.55,82.6
2023-07-14 14:50:00,82.6,82.7,82.55,82.6
2023-07-14 14:55:00,82.55,82.75,82.35,82.7
2023-07-14 15:00:00,82.75,82.85,82.75,82.8
2023-07-14 15:05:00,82.8,82.9,82.75,82.75
2023-07-14 15:10:00,82.75,82.8,82.55,82.55
2023-07-14 15:15:00,82.55,82.7,82.4,82.6
2023-07-14 15:20:00,82.55,82.55,82.05,82.15
2023-07-14 15:25:00,82.15,82.65,82.15,82.6
2023-07-17 09:15:00,83.4,83.4,82.0,82.65
2023-07-17 09:20:00,82.65,82.65,81.75,81.9
2023-07-17 09:25:00,81.95,81.95,81.7,81.8
2023-07-17 09:30:00,81.8,82.15,81.8,81.95
2023-07-17 09:35:00,81.9,81.95,81.6,81.8
2023-07-17 09:40:00,81.75,81.8,81.7,81.8
2023-07-17 09:45:00,81.8,81.85,81.7,81.8
2023-07-17 09:50:00,81.8,81.85,81.75,81.8
2023-07-17 09:55:00,81.8,81.85,81.75,81.75
2023-07-17 10:00:00,81.75,81.8,81.6,81.65
