time,open,high,low,close
2023-08-18 09:15:00,89.9,112.25,76.6,78.3
2023-08-18 09:20:00,78.15,79.6,65.6,65.6
2023-08-18 09:25:00,65.3,67.2,60.85,60.85
2023-08-18 09:30:00,61.4,64.25,60.15,61.35
2023-08-18 09:35:00,61.15,68.25,61.05,66.2
2023-08-18 09:40:00,66.4,69.55,65.4,68.05
2023-08-18 09:45:00,67.8,68.05,62.8,64.55
2023-08-18 09:50:00,64.4,69.0,63.05,67.65
2023-08-18 09:55:00,68.2,72.8,66.55,72.35
2023-08-18 10:00:00,72.5,74.35,66.35,67.05
2023-08-18 10:05:00,67.25,71.45,67.05,67.6
2023-08-18 10:10:00,67.75,72.05,67.5,68.1
2023-08-18 10:15:00,68.1,69.5,58.4,58.9
2023-08-18 10:20:00,58.85,62.1,58.0,61.45
2023-08-18 10:25:00,61.65,62.95,60.3,62.5
2023-08-18 10:30:00,62.4,62.95,58.5,58.75
2023-08-18 10:35:00,59.1,62.6,58.45,62.3
2023-08-18 10:40:00,62.45,65.2,62.0,63.75
2023-08-18 10:45:00,64.2,65.95,61.15,61.35
2023-08-18 10:50:00,61.3,65.75,59.45,65.75
2023-08-18 10:55:00,65.55,66.15,60.1,61.65
2023-08-18 11:00:00,61.35,63.4,60.0,61.15
2023-08-18 11:05:00,60.85,63.35,60.5,61.25
2023-08-18 11:10:00,61.1,63.7,60.15,60.75
2023-08-18 11:15:00,60.5,62.7,60.3,62.45
2023-08-18 11:20:00,62.5,63.7,60.25,61.0
2023-08-18 11:25:00,61.9,62.75,59.1,59.8
2023-08-18 11:30:00,60.05,60.55,58.8,59.1
2023-08-18 11:35:00,59.15,60.0,52.05,59.45
2023-08-18 11:40:00,59.45,60.4,57.1,58.2
2023-08-18 11:45:00,58.15,61.4,57.6,59.4
2023-08-18 11:50:00,59.65,62.45,59.4,61.3
2023-08-18 11:55:00,61.2,62.0,59.15,61.2
2023-08-18 12:00:00,61.0,61.6,57.75,59.15
2023-08-18 12:05:00,59.05,61.55,59.05,60.0
2023-08-18 12:10:00,60.0,61.15,59.0,60.35
2023-08-18 12:15:00,60.35,66.1,59.7,64.85
2023-08-18 12:20:00,64.75,66.8,62.0,64.45
2023-08-18 12:25:00,65.0,65.75,63.4,64.1
2023-08-18 12:30:00,64.05,67.3,60.55,63.6
2023-08-18 12:35:00,63.9,64.45,59.45,60.3
2023-08-18 12:40:00,60.2,61.6,59.65,61.0
2023-08-18 12:45:00,61.05,62.05,60.4,61.4
2023-08-18 12:50:00,61.4,62.9,59.7,62.55
2023-08-18 12:55:00,62.65,63.0,60.35,60.55
2023-08-18 13:00:00,60.4,61.05,57.15,60.25
2023-08-18 13:05:00,60.4,64.9,60.15,63.2
2023-08-18 13:10:00,63.15,65.7,62.6,65.15
2023-08-18 13:15:00,65.4,65.85,61.0,63.55
2023-08-18 13:20:00,63.35,66.1,62.2,65.85
2023-08-18 13:25:00,65.45,70.75,64.75,65.75
2023-08-18 13:30:00,65.7,66.85,62.8,65.8
2023-08-18 13:35:00,65.6,68.0,64.35,65.7
2023-08-18 13:40:00,65.35,66.05,60.1,64.25
2023-08-18 13:45:00,64.65,65.45,62.0,64.1
2023-08-18 13:50:00,64.0,64.45,61.15,63.7
2023-08-18 13:55:00,63.45,63.9,61.55,61.85
2023-08-18 14:00:00,62.05,62.35,53.8,53.95
2023-08-18 14:05:00,53.95,57.6,53.5,57.1
2023-08-18 14:10:00,57.05,57.2,51.25,52.95
2023-08-18 14:15:00,53.2,53.25,44.25,44.5
2023-08-18 14:20:00,44.5,48.7,43.95,48.5
2023-08-18 14:25:00,48.3,49.7,47.4,48.2
2023-08-18 14:30:00,48.05,48.55,46.9,47.4
2023-08-18 14:35:00,47.1,50.75,46.15,50.4
2023-08-18 14:40:00,50.65,50.75,46.3,47.55
2023-08-18 14:45:00,47.6,49.2,46.9,48.45
2023-08-18 14:50:00,48.6,50.0,47.45,49.9
2023-08-18 14:55:00,50.25,50.6,48.4,49.3
2023-08-18 15:00:00,49.45,52.8,46.45,50.4
2023-08-18 15:05:00,50.1,53.55,49.85,52.75
2023-08-18 15:10:00,52.95,54.75,51.0,54.25
2023-08-18 15:15:00,54.4,55.5,52.7,54.75
2023-08-18 15:20:00,54.7,61.65,54.0,60.25
2023-08-18 15:25:00,60.95,63.6,59.85,62.4
